n,target,protocol,best_model,MAE,RMSE,MaxAE,median|y|,MaxAE/median|y|,frac(|dE2|<eps)
1.2,E0,LOAO,ridge,1.1042e-03,1.3760e-03,4.3433e-03,3.9893e+00,1.0887e-03,-
1.2,dE1,LOAO,ridge,1.3636e-03,1.6121e-03,4.0374e-03,1.4250e-02,2.8333e-01,-
1.2,dE3,LOAO,ridge,1.2568e-03,1.6112e-03,3.4906e-03,1.3202e-02,2.6440e-01,-
1.2,dE2,LOAO,knn,7.9754e-04,1.2806e-03,5.7565e-03,3.4568e-03,1.6653e+00,0.657
2.0,E0,LOAO,ridge,8.0907e-04,1.0112e-03,3.1942e-03,3.9923e+00,8.0010e-04,-
2.0,dE1,LOAO,ridge,9.8554e-04,1.1384e-03,2.4237e-03,1.0089e-02,2.4024e-01,-
2.0,dE3,LOAO,ridge,1.2530e-03,1.6176e-03,3.4787e-03,9.9620e-03,3.4919e-01,-
2.0,dE2,LOAO,knn,7.8782e-04,1.2555e-03,5.6345e-03,3.4876e-03,1.6156e+00,0.629
3.0,E0,LOAO,ridge,7.3791e-04,9.1703e-04,2.8169e-03,3.9929e+00,7.0547e-04,-
3.0,dE1,LOAO,ridge,8.6900e-04,9.9948e-04,1.9341e-03,8.8128e-03,2.1947e-01,-
3.0,dE3,LOAO,ridge,1.3480e-03,1.6297e-03,3.6702e-03,8.7253e-03,4.2064e-01,-
3.0,dE2,LOAO,knn,7.6125e-04,1.2340e-03,5.4787e-03,3.3637e-03,1.6288e+00,0.629
4.0,E0,LOAO,ridge,7.0994e-04,8.7995e-04,2.6511e-03,3.9931e+00,6.6391e-04,-
4.0,dE1,LOAO,ridge,8.2491e-04,9.4691e-04,1.8562e-03,8.5191e-03,2.1789e-01,-
4.0,dE3,LOAO,ridge,1.1876e-03,1.4169e-03,3.0944e-03,8.1913e-03,3.7776e-01,-
4.0,dE2,LOAO,knn,7.4872e-04,1.1991e-03,5.1866e-03,3.2534e-03,1.5942e+00,0.629
