geometry_label,n,a,rAR,lead_width,energy,transmission,conductance_spinless_units,lead_mode_count_if_available
n1.2_W4,1.2,30.0,1.0,4,-3.8,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.7966666666666664,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.793333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.79,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.7866666666666666,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.783333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.78,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.7766666666666664,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.773333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.77,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.7666666666666666,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.763333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.76,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.7566666666666664,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.753333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.75,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.7466666666666666,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.743333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.7399999999999998,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.7366666666666664,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.7333333333333334,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.73,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.7266666666666666,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.723333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.7199999999999998,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.7166666666666663,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.7133333333333334,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.71,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.7066666666666666,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.703333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6999999999999997,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6966666666666663,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6933333333333334,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.69,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6866666666666665,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.683333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6799999999999997,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6766666666666663,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6733333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.67,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6666666666666665,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.663333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6599999999999997,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6566666666666663,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6533333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.65,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6466666666666665,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.643333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6399999999999997,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6366666666666667,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6333333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.63,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6266666666666665,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.623333333333333,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6199999999999997,0.0,0.0,0
n1.2_W4,1.2,30.0,1.0,4,-3.6166666666666667,0.5987404245856641,0.5987404245856641,1
n1.2_W4,1.2,30.0,1.0,4,-3.6133333333333333,0.3496360500517447,0.3496360500517447,1
n1.2_W4,1.2,30.0,1.0,4,-3.61,0.3413737584594286,0.3413737584594286,1
n1.2_W4,1.2,30.0,1.0,4,-3.6066666666666665,0.49038738753798705,0.49038738753798705,1
n1.2_W4,1.2,30.0,1.0,4,-3.603333333333333,0.9799667599240808,0.9799667599240808,1
n1.2_W4,1.2,30.0,1.0,4,-3.5999999999999996,0.060932919544015196,0.060932919544015196,1
n1.2_W4,1.2,30.0,1.0,4,-3.5966666666666667,0.0012776835446322494,0.0012776835446322494,1
n1.2_W4,1.2,30.0,1.0,4,-3.5933333333333333,0.021819577312630272,0.021819577312630272,1
n1.2_W4,1.2,30.0,1.0,4,-3.59,0.06330680918048794,0.06330680918048794,1
n1.2_W4,1.2,30.0,1.0,4,-3.5866666666666664,0.27567461035225205,0.27567461035225205,1
n1.2_W4,1.2,30.0,1.0,4,-3.583333333333333,0.9847385251008928,0.9847385251008928,1
n1.2_W4,1.2,30.0,1.0,4,-3.58,0.962729289791988,0.962729289791988,1
n1.2_W4,1.2,30.0,1.0,4,-3.5766666666666667,0.9526492667734803,0.9526492667734803,1
n1.2_W4,1.2,30.0,1.0,4,-3.5733333333333333,0.8604807329952812,0.8604807329952812,1
n1.2_W4,1.2,30.0,1.0,4,-3.57,0.9056118151497352,0.9056118151497352,1
n1.2_W4,1.2,30.0,1.0,4,-3.5666666666666664,0.9546898452827369,0.9546898452827369,1
n1.2_W4,1.2,30.0,1.0,4,-3.563333333333333,0.9969887116027808,0.9969887116027808,1
n1.2_W4,1.2,30.0,1.0,4,-3.56,0.8888017383512226,0.8888017383512226,1
n1.2_W4,1.2,30.0,1.0,4,-3.5566666666666666,0.6805867728638445,0.6805867728638445,1
n1.2_W4,1.2,30.0,1.0,4,-3.5533333333333332,0.466077825538219,0.466077825538219,1
n1.2_W4,1.2,30.0,1.0,4,-3.55,0.27175050094852354,0.27175050094852354,1
n1.2_W4,1.2,30.0,1.0,4,-3.5466666666666664,0.8496657499051463,0.8496657499051463,1
n1.2_W4,1.2,30.0,1.0,4,-3.543333333333333,0.13562205402568225,0.13562205402568225,1
n1.2_W4,1.2,30.0,1.0,4,-3.54,0.027550166599224123,0.027550166599224123,1
n1.2_W4,1.2,30.0,1.0,4,-3.5366666666666666,0.042215132351915936,0.042215132351915936,1
n1.2_W4,1.2,30.0,1.0,4,-3.533333333333333,0.3417982751755333,0.3417982751755333,1
n1.2_W4,1.2,30.0,1.0,4,-3.53,0.6843532873580112,0.6843532873580112,1
n1.2_W4,1.2,30.0,1.0,4,-3.5266666666666664,0.7340318799791122,0.7340318799791122,1
n1.2_W4,1.2,30.0,1.0,4,-3.5233333333333334,0.47008399316662386,0.47008399316662386,1
n1.2_W4,1.2,30.0,1.0,4,-3.52,0.4170398424089952,0.4170398424089952,1
n1.2_W4,1.2,30.0,1.0,4,-3.5166666666666666,0.004607782000121177,0.004607782000121177,1
n1.2_W4,1.2,30.0,1.0,4,-3.513333333333333,0.09262846888112294,0.09262846888112294,1
n1.2_W4,1.2,30.0,1.0,4,-3.51,0.26180059268060335,0.26180059268060335,1
n1.2_W4,1.2,30.0,1.0,4,-3.5066666666666664,0.4144778965419179,0.4144778965419179,1
n1.2_W4,1.2,30.0,1.0,4,-3.503333333333333,0.5397030002698819,0.5397030002698819,1
n1.2_W4,1.2,30.0,1.0,4,-3.5,0.617355982066282,0.617355982066282,1
n1.2_W4,1.2,30.0,1.0,4,-3.4966666666666666,0.5932347602969309,0.5932347602969309,1
n1.2_W4,1.2,30.0,1.0,4,-3.493333333333333,0.3522326946230976,0.3522326946230976,1
n1.2_W4,1.2,30.0,1.0,4,-3.4899999999999998,0.019113707474366547,0.019113707474366547,1
n1.2_W4,1.2,30.0,1.0,4,-3.4866666666666664,0.013565327693357039,0.013565327693357039,1
n1.2_W4,1.2,30.0,1.0,4,-3.4833333333333334,0.03777013263378166,0.03777013263378166,1
n1.2_W4,1.2,30.0,1.0,4,-3.48,0.03568069594155072,0.03568069594155072,1
n1.2_W4,1.2,30.0,1.0,4,-3.4766666666666666,0.018222481602488048,0.018222481602488048,1
n1.2_W4,1.2,30.0,1.0,4,-3.473333333333333,0.0031420576660538204,0.0031420576660538204,1
n1.2_W4,1.2,30.0,1.0,4,-3.4699999999999998,0.0006801695981798092,0.0006801695981798092,1
n1.2_W4,1.2,30.0,1.0,4,-3.466666666666667,0.0009553231645708872,0.0009553231645708872,1
n1.2_W4,1.2,30.0,1.0,4,-3.4633333333333334,0.19998552593312763,0.19998552593312763,1
n1.2_W4,1.2,30.0,1.0,4,-3.46,0.9602678479100302,0.9602678479100302,1
n1.2_W4,1.2,30.0,1.0,4,-3.4566666666666666,0.9974796808010412,0.9974796808010412,1
n1.2_W4,1.2,30.0,1.0,4,-3.453333333333333,0.9951491723226065,0.9951491723226065,1
n1.2_W4,1.2,30.0,1.0,4,-3.4499999999999997,0.9920343249614365,0.9920343249614365,1
n1.2_W4,1.2,30.0,1.0,4,-3.4466666666666663,0.9999372979609423,0.9999372979609423,1
n1.2_W4,1.2,30.0,1.0,4,-3.4433333333333334,0.9884252179830509,0.9884252179830509,1
n1.2_W4,1.2,30.0,1.0,4,-3.44,0.9998403323001848,0.9998403323001848,1
n1.2_W4,1.2,30.0,1.0,4,-3.4366666666666665,0.9709387590679315,0.9709387590679315,1
n1.2_W4,1.2,30.0,1.0,4,-3.433333333333333,0.147426711831658,0.147426711831658,1
n1.2_W4,1.2,30.0,1.0,4,-3.4299999999999997,0.9998436633986231,0.9998436633986231,1
n1.2_W4,1.2,30.0,1.0,4,-3.4266666666666667,0.9162019296145302,0.9162019296145302,1
n1.2_W4,1.2,30.0,1.0,4,-3.4233333333333333,0.7467580906967854,0.7467580906967854,1
n1.2_W4,1.2,30.0,1.0,4,-3.42,0.5006106341831152,0.5006106341831152,1
n1.2_W4,1.2,30.0,1.0,4,-3.4166666666666665,0.23663292711478034,0.23663292711478034,1
n1.2_W4,1.2,30.0,1.0,4,-3.413333333333333,0.08990994028519393,0.08990994028519393,1
n1.2_W4,1.2,30.0,1.0,4,-3.41,0.00394007720042173,0.00394007720042173,1
n1.2_W4,1.2,30.0,1.0,4,-3.4066666666666667,0.008659574959147124,0.008659574959147124,1
n1.2_W4,1.2,30.0,1.0,4,-3.4033333333333333,0.17198982809205138,0.17198982809205138,1
n1.2_W4,1.2,30.0,1.0,4,-3.4,0.9760206101276424,0.9760206101276424,1
n1.2_W4,1.2,30.0,1.0,4,-3.3966666666666665,0.2551674718096439,0.2551674718096439,1
n1.2_W4,1.2,30.0,1.0,4,-3.393333333333333,0.1057887337544926,0.1057887337544926,1
n1.2_W4,1.2,30.0,1.0,4,-3.3899999999999997,0.3370971346986247,0.3370971346986247,1
n1.2_W4,1.2,30.0,1.0,4,-3.3866666666666667,0.10787560478919668,0.10787560478919668,1
n1.2_W4,1.2,30.0,1.0,4,-3.3833333333333333,0.20953787873949326,0.20953787873949326,1
n1.2_W4,1.2,30.0,1.0,4,-3.38,0.23716008066794628,0.23716008066794628,1
n1.2_W4,1.2,30.0,1.0,4,-3.3766666666666665,0.21801849551437535,0.21801849551437535,1
n1.2_W4,1.2,30.0,1.0,4,-3.373333333333333,0.15742819218621673,0.15742819218621673,1
n1.2_W4,1.2,30.0,1.0,4,-3.37,0.06540554192796583,0.06540554192796583,1
n1.2_W4,1.2,30.0,1.0,4,-3.3666666666666667,0.0002631085911603182,0.0002631085911603182,1
n1.2_W4,1.2,30.0,1.0,4,-3.3633333333333333,0.9749912821093366,0.9749912821093366,1
n1.2_W4,1.2,30.0,1.0,4,-3.36,0.003009384992585614,0.003009384992585614,1
n1.2_W4,1.2,30.0,1.0,4,-3.3566666666666665,0.0036546195013281257,0.0036546195013281257,1
n1.2_W4,1.2,30.0,1.0,4,-3.353333333333333,0.0028831295143876595,0.0028831295143876595,1
n1.2_W4,1.2,30.0,1.0,4,-3.35,0.04773105104904788,0.04773105104904788,1
n1.2_W4,1.2,30.0,1.0,4,-3.3466666666666667,0.15018735472620645,0.15018735472620645,1
n1.2_W4,1.2,30.0,1.0,4,-3.3433333333333333,0.2885708022409154,0.2885708022409154,1
n1.2_W4,1.2,30.0,1.0,4,-3.34,0.4376247812993928,0.4376247812993928,1
n1.2_W4,1.2,30.0,1.0,4,-3.3366666666666664,0.585565747665412,0.585565747665412,1
n1.2_W4,1.2,30.0,1.0,4,-3.333333333333333,0.7710842013700706,0.7710842013700706,1
n1.2_W4,1.2,30.0,1.0,4,-3.33,0.0023699798681252244,0.0023699798681252244,1
n1.2_W4,1.2,30.0,1.0,4,-3.3266666666666667,0.9492583246920072,0.9492583246920072,1
n1.2_W4,1.2,30.0,1.0,4,-3.3233333333333333,0.987675111313078,0.987675111313078,1
n1.2_W4,1.2,30.0,1.0,4,-3.32,0.9861127996900015,0.9861127996900015,1
n1.2_W4,1.2,30.0,1.0,4,-3.3166666666666664,0.989538975916902,0.989538975916902,1
n1.2_W4,1.2,30.0,1.0,4,-3.3133333333333335,0.987380315000556,0.987380315000556,1
n1.2_W4,1.2,30.0,1.0,4,-3.31,0.3099344772817901,0.3099344772817901,1
n1.2_W4,1.2,30.0,1.0,4,-3.3066666666666666,0.8297033929311739,0.8297033929311739,1
n1.2_W4,1.2,30.0,1.0,4,-3.3033333333333332,0.6826047632527412,0.6826047632527412,1
n1.2_W4,1.2,30.0,1.0,4,-3.3,0.9360791548698957,0.9360791548698957,1
n1.2_W4,1.2,30.0,1.0,4,-3.296666666666667,0.9698305923281666,0.9698305923281666,1
n1.2_W4,1.2,30.0,1.0,4,-3.293333333333333,0.9890246321186854,0.9890246321186854,1
n1.2_W4,1.2,30.0,1.0,4,-3.29,0.9976141031856304,0.9976141031856304,1
n1.2_W4,1.2,30.0,1.0,4,-3.2866666666666666,0.9983089990151601,0.9983089990151601,1
n1.2_W4,1.2,30.0,1.0,4,-3.283333333333333,0.9781849802823135,0.9781849802823135,1
n1.2_W4,1.2,30.0,1.0,4,-3.28,0.8528680107331871,0.8528680107331871,1
n1.2_W4,1.2,30.0,1.0,4,-3.2766666666666664,0.762683959290048,0.762683959290048,1
n1.2_W4,1.2,30.0,1.0,4,-3.2733333333333334,0.6590147281295623,0.6590147281295623,1
n1.2_W4,1.2,30.0,1.0,4,-3.27,0.633316890836593,0.633316890836593,1
n1.2_W4,1.2,30.0,1.0,4,-3.2666666666666666,0.7221033986548586,0.7221033986548586,1
n1.2_W4,1.2,30.0,1.0,4,-3.263333333333333,0.2541734609586216,0.2541734609586216,1
n1.2_W4,1.2,30.0,1.0,4,-3.26,0.8150872524459664,0.8150872524459664,1
