n,a,theta_deg,x0,y0,grid,N_sites,E0,E1,E2,E3,Ekin0,lamA_sites,lamA_an,S_lat
1.2,34.66908837111368,0.0,0.0,0.0,4x4+8x8,2821,-3.993414808068575,-3.9834656793946066,-3.983465679394606,-3.973009429798566,0.006585191931424816,5.913187509310696,5.926672738282336,6.743754995672184e-14
1.2,34.66908837111368,0.0,0.0,0.125,8x8,2823,-3.9934288039327037,-3.9834946745911237,-3.9834760002826104,-3.9729152068374773,0.006571196067296281,5.904803245825133,5.914076460566654,0.002841843147286556
1.2,34.66908837111368,0.0,0.0,0.25,4x4+8x8,2829,-3.9934593241909626,-3.983557660460193,-3.9835457302183146,-3.9729377644692896,0.006540675809037388,5.889869853949193,5.8866082281336505,0.001824007522573625
1.2,34.66908837111368,0.0,0.0,0.375,8x8,2832,-3.9934649485524236,-3.9835756027026017,-3.983551760199549,-3.9729381799270604,0.006535051447576379,5.8910456383925744,5.881546302818742,0.0036484032672159912
1.2,34.66908837111368,0.0,0.0,0.5,4x4+8x8,2838,-3.9934822154418432,-3.9836121864173784,-3.9835988427617126,-3.9729958336920372,0.0065177845581567695,5.887928390369919,5.866006102341093,0.002047268599733604
1.2,34.66908837111368,0.0,0.0,0.625,8x8,2832,-3.9934649485524236,-3.9835756027026017,-3.9835517601995494,-3.972938179927061,0.006535051447576379,5.8910456383925744,5.881546302818742,0.0036484032671480365
1.2,34.66908837111368,0.0,0.0,0.75,4x4+8x8,2829,-3.9934593241909626,-3.9835576604601926,-3.9835457302183137,-3.9729377644692887,0.006540675809037388,5.889869853949193,5.8866082281336505,0.0018240075226415215
1.2,34.66908837111368,0.0,0.0,0.875,8x8,2823,-3.9934288039327037,-3.9834946745911233,-3.98347600028261,-3.9729152068374773,0.006571196067296281,5.904803245825133,5.914076460566654,0.002841843147286556
1.2,34.66908837111368,0.0,0.125,0.0,8x8,2823,-3.9934288039327037,-3.9834946745911246,-3.9834760002826104,-3.972915206837477,0.006571196067296281,5.904803245825133,5.914076460566654,0.002841843147421718
1.2,34.66908837111368,0.0,0.125,0.125,8x8,2825,-3.9934353785079795,-3.9835533184343985,-3.983456159610472,-3.972970848670773,0.006564621492020528,5.903074573900335,5.908159342818476,0.014800369533078162
1.2,34.66908837111368,0.0,0.125,0.25,8x8,2827,-3.9934492452842627,-3.983571844922395,-3.9834878085243606,-3.9729310870234684,0.006550754715737295,5.894775556031527,5.895679244163566,0.012828506283813884
1.2,34.66908837111368,0.0,0.125,0.375,8x8,2833,-3.993467376645776,-3.9835848068380986,-3.983556612397559,-3.972958052974911,0.006532623354224221,5.890936223501152,5.8793610188017995,0.004315944607667407
1.2,34.66908837111368,0.0,0.125,0.5,8x8,2834,-3.993472667781233,-3.9835822159514547,-3.983581243666501,-3.9729570610794047,0.00652733221876689,5.888242540562283,5.874598996890202,0.00014895594728369377
1.2,34.66908837111368,0.0,0.125,0.625,8x8,2833,-3.9934673766457762,-3.9835848068380995,-3.9835566123975594,-3.9729580529749122,0.006532623354223777,5.890936223500751,5.8793610188014,0.004315944607735681
1.2,34.66908837111368,0.0,0.125,0.75,8x8,2827,-3.993449245284263,-3.983571844922395,-3.9834878085243615,-3.9729310870234675,0.006550754715736851,5.894775556031127,5.8956792441631665,0.012828506283679169
1.2,34.66908837111368,0.0,0.125,0.875,8x8,2825,-3.9934353785079795,-3.983553318434398,-3.983456159610472,-3.9729708486707733,0.006564621492020528,5.903074573900335,5.908159342818476,0.014800369533010513
1.2,34.66908837111368,0.0,0.25,0.0,4x4+8x8,2829,-3.9934593241909635,-3.9835576604601934,-3.9835457302183146,-3.9729377644692896,0.0065406758090365,5.889869853948392,5.886608228132851,0.0018240075226417694
1.2,34.66908837111368,0.0,0.25,0.125,8x8,2827,-3.9934492452842623,-3.9835718449223947,-3.983487808524361,-3.972931087023467,0.006550754715737739,5.8947755560319255,5.895679244163966,0.012828506283677429
1.2,34.66908837111368,0.0,0.25,0.25,4x4+8x8,2825,-3.993439143794952,-3.983581455660794,-3.9834384942930683,-3.972945428134154,0.006560856205048093,5.899688732109238,5.904770584543285,0.021790047405053255
1.2,34.66908837111368,0.0,0.25,0.375,8x8,2828,-3.9934524774081717,-3.9835787094866513,-3.983497306204448,-3.9729454898760674,0.006547522591828336,5.893951231561631,5.892770332645504,0.012432684433193543
1.2,34.66908837111368,0.0,0.25,0.5,4x4+8x8,2830,-3.9934572619910944,-3.9835483327991565,-3.983545211056493,-3.972930724720822,0.006542738008905591,5.893809480374633,5.888464208015033,0.0004771309288606625
1.2,34.66908837111368,0.0,0.25,0.625,8x8,2828,-3.9934524774081708,-3.983578709486651,-3.9834973062044474,-3.972945489876068,0.006547522591829225,5.893951231562432,5.892770332646303,0.012432684433191857
1.2,34.66908837111368,0.0,0.25,0.75,4x4+8x8,2825,-3.993439143794952,-3.983581455660793,-3.9834384942930674,-3.972945428134153,0.006560856205048093,5.899688732109238,5.904770584543285,0.021790047405053255
1.2,34.66908837111368,0.0,0.25,0.875,8x8,2827,-3.993449245284262,-3.983571844922395,-3.9834878085243606,-3.972931087023467,0.006550754715738183,5.894775556032326,5.8956792441643655,0.012828506283812144
1.2,34.66908837111368,0.0,0.375,0.0,8x8,2832,-3.9934649485524236,-3.9835756027026017,-3.983551760199549,-3.972938179927061,0.006535051447576379,5.8910456383925744,5.881546302818742,0.0036484032672159912
1.2,34.66908837111368,0.0,0.375,0.125,8x8,2833,-3.9934673766457762,-3.9835848068380995,-3.9835566123975594,-3.9729580529749122,0.006532623354223777,5.890936223500751,5.8793610188014,0.004315944607735681
1.2,34.66908837111368,0.0,0.375,0.25,8x8,2828,-3.9934524774081708,-3.983578709486651,-3.983497306204448,-3.972945489876067,0.006547522591829225,5.893951231562432,5.892770332646303,0.01243268443312403
