n,variant,intercept,vs_MFS_percent
1.2,linear,6.042774722934743,0.03870122202653814
1.2,quadratic,6.034225418497316,-0.10283331326332856
1.2,LOO drop a_circ=24,6.040708444795133,0.0044937939942535365
1.2,LOO drop a_circ=30,6.042892347691852,0.040648510891716505
1.2,LOO drop a_circ=36,6.042512249850555,0.03435595554683868
1.2,LOO drop a_circ=48,6.042076348523432,0.02713956827018471
1.2,LOO drop a_circ=72,6.046206239775849,0.0955103045665151
2.0,linear,5.779600471638553,-0.061999188015848805
2.0,quadratic,5.788877921067234,0.09842189179518623
2.0,LOO drop a_circ=24,5.782936141553033,-0.004320429032833584
2.0,LOO drop a_circ=30,5.779448137190901,-0.06463328015213765
2.0,LOO drop a_circ=36,5.779040688362506,-0.07167868433582969
2.0,LOO drop a_circ=48,5.7785334401090696,-0.080449770955493
3.0,linear,5.872456570200932,0.09853228985088336
3.0,quadratic,5.86778526713492,0.018907932446232678
3.0,LOO drop a_circ=24,5.874685132047881,0.13651907908125427
3.0,LOO drop a_circ=30,5.872184129528104,0.09388842213382542
3.0,LOO drop a_circ=36,5.869199221826468,0.04300939452712704
3.0,LOO drop a_circ=48,5.87862422042611,0.2036625241637724
4.0,linear,5.972464582328409,0.05770766940651484
4.0,quadratic,5.952249555332717,-0.2809580913999854
4.0,LOO drop a_circ=24,5.968805684954879,-0.0035904561405564195
4.0,LOO drop a_circ=30,5.972510128767537,0.058470716592284866
4.0,LOO drop a_circ=36,5.972144608828118,0.05234709932480097
4.0,LOO drop a_circ=48,5.968238689659165,-0.013089424073564615
4.0,LOO drop a_circ=72,5.983795285985851,0.2475328611036609
