n,eigenvalue,charge_factor,basis,value
3.0,lambda1,1.15,120,5.216340704917303
3.0,lambda1,1.15,200,5.216319884196995
3.0,lambda1,1.2,120,5.216323031406149
3.0,lambda1,1.2,200,5.216319298832969
3.0,lambda1,1.3,120,5.216319976352758
3.0,lambda1,1.3,200,5.2163186762029685
3.0,lambda2,1.15,120,13.190209886534834
3.0,lambda2,1.15,200,13.190178608905857
3.0,lambda2,1.2,120,13.190188235760505
3.0,lambda2,1.2,200,13.190177588587757
3.0,lambda2,1.3,120,13.19017901893384
3.0,lambda2,1.3,200,13.190179445932458
4.0,lambda1,1.15,120,5.056874294590148
4.0,lambda1,1.15,200,5.057011523428709
4.0,lambda1,1.2,120,5.056992422385227
4.0,lambda1,1.2,200,5.057043677401388
4.0,lambda1,1.3,120,5.057059085344522
4.0,lambda1,1.3,200,5.05707397795538
4.0,lambda2,1.15,120,12.725013014562807
4.0,lambda2,1.15,200,12.731604542555404
4.0,lambda2,1.2,120,12.731558622295724
4.0,lambda2,1.2,200,12.731812589764715
4.0,lambda2,1.3,120,12.731795571958864
4.0,lambda2,1.3,200,12.731848276715212
