n,a_circ,theta_deg,lamA_an_mean,lamA_an_std
1.2,24.0,0.0,5.8562342939789325,0.010532250908958603
1.2,24.0,22.5,5.850941179451834,0.00896896206188379
1.2,24.0,45.0,5.809418313975497,0.032743567182421454
1.2,48.0,0.0,5.9509267967977735,0.006443849017954372
1.2,48.0,22.5,5.944747931858778,0.004537432616100637
1.2,48.0,45.0,5.922075735057149,0.008766333375682701
4.0,24.0,0.0,5.727204158976697,0.02546136249966557
4.0,24.0,22.5,5.785064286888765,0.006789635322477272
4.0,24.0,45.0,5.805220874945178,0.04043966653940846
4.0,48.0,0.0,5.855893234174502,0.018153196007051765
4.0,48.0,22.5,5.876836767594924,0.001168317538495614
4.0,48.0,45.0,5.885291153809007,0.01918401323322628
