xi,removed,w1,w2,dE1,dE2,dSplit
0.25,18,1.2068571089743396e-05,1.7416998235815244e-05,2.648021691209479e-05,4.790712266844466e-05,2.1426905756349868e-05
0.5,16,1.0179338450482618e-05,1.1466858803487123e-05,3.210256735819428e-05,3.6193091032199476e-05,4.0905236740051976e-06
0.75,24,1.7514542218508782e-05,3.9782951383023035e-05,3.806025370822752e-05,8.070766514567396e-05,4.2647411437446436e-05
1.0,68,3.816772837648565e-05,0.000355119021702127,6.375552687210018e-05,0.0004237387616088384,0.0003599832347367382
1.25,10,4.447632243504716e-06,7.422842580036446e-06,1.41869398970762e-05,2.4300902513818556e-05,1.0113962616742356e-05
1.5,16,1.1826482601910725e-05,2.1082893363439176e-05,2.981557673420454e-05,5.1297976096265074e-05,2.1482399362060534e-05
1.75,28,2.2305107645561367e-05,4.696280480350177e-05,5.105076153943955e-05,9.826163583959158e-05,4.721087430015203e-05
2.0,64,3.8427603694512176e-05,0.0003877218818494367,5.9561324881940436e-05,0.000457255813981039,0.00039769448909909855
2.25,14,8.711078452600532e-06,1.0870909949067658e-05,2.763515401982275e-05,3.5163623420597645e-05,7.528469400774895e-06
2.5,20,1.6409656377196866e-05,2.4673856091076e-05,4.272905369351321e-05,6.06426964857576e-05,1.791364279224439e-05
2.75,20,1.5911689836478858e-05,3.096773084230264e-05,4.064230191680451e-05,7.556553849941139e-05,3.4923236582606876e-05
3.0,72,5.377639416521695e-05,0.00045717883767288373,8.129321952976554e-05,0.0005350700421633547,0.0004537768226335892
3.25,14,8.097343140299138e-06,1.34601303134128e-05,2.4421875503666257e-05,4.1818268766480315e-05,1.7396393262814058e-05
3.5,12,1.1913064384534612e-05,2.2655458925017795e-05,2.8682024294734987e-05,5.341307966366671e-05,2.473105536893172e-05
3.75,24,2.0957670386095146e-05,3.6550768036025126e-05,5.509767046429914e-05,9.041209141003037e-05,3.531442094573123e-05
4.0,72,6.11648516115203e-05,0.000505144999057309,9.90288608848644e-05,0.0005934361658943565,0.0004944073050094921
