xi,removed,cut_bonds,dE0_act,dE0_pred,dE1_act,dE1_pred,dE2_act,dE2_pred,dSplit_act,dSplit_pred
0.25,18,34,1.2549373653580886e-05,3.6450136582951836e-05,2.64802169116507e-05,7.80935543005512e-05,4.790712266755648e-05,0.0001399986102792461,2.142690575590578e-05,6.190505597869489e-05
0.5,16,32,1.130337151789007e-05,2.8471968631135403e-05,3.210256735863837e-05,8.119877219536775e-05,3.619309103397583e-05,9.146860163822268e-05,4.090523675337465e-06,1.0269829442854927e-05
0.75,24,48,2.1022015169513963e-05,7.06830083778289e-05,3.806025370733934e-05,0.00012423588738874614,8.07076651438976e-05,0.00027447326414042905,4.264741143655826e-05,0.00015023737675168292
1.0,68,136,0.00010359500249768061,0.0005285989526059158,6.375552687387653e-05,0.00024995892373924633,0.00042373876160972657,0.002188903160315281,0.00035998323473585003,0.0019389442365760345
1.25,10,18,6.647777921031661e-06,1.6214967893718076e-05,1.4186939894855755e-05,3.54767800558875e-05,2.4300902512930378e-05,5.920235068046509e-05,1.0113962618074623e-05,2.3725570624577585e-05
1.5,16,32,1.3543319921982544e-05,4.021763784527035e-05,2.981557673553681e-05,8.744240336566733e-05,5.1297976096709164e-05,0.00015383304216598503,2.1482399361172355e-05,6.63906388003177e-05
1.75,28,56,2.6066907742539058e-05,8.546285373584641e-05,5.105076153899546e-05,0.00016060287627572833,9.826163583959158e-05,0.00032721194864970826,4.721087430059612e-05,0.00016660907237397993
2.0,64,128,0.00011085788464137991,0.0005724625483123955,5.9561324882828615e-05,0.0002461220713039225,0.0004572558139801508,0.0023832678703588073,0.0003976944890973222,0.0021371457990548848
2.25,14,26,1.0706214332412145e-05,2.6427818315399722e-05,2.763515401982275e-05,6.948169648923752e-05,3.5163623422374e-05,8.668937306355318e-05,7.528469402551252e-06,1.7207676574315656e-05
2.5,20,40,1.718564013941659e-05,5.047027424610575e-05,4.272905369173685e-05,0.00012320728036296913,6.064269648486942e-05,0.00018097124191518432,1.7913642793132567e-05,5.776396155221519e-05
2.75,20,40,2.001583107658078e-05,5.961021239502938e-05,4.064230191769269e-05,0.00011919648373925895,7.556553849985548e-05,0.00022721883127685416,3.4923236582162787e-05,0.00010802234753759521
3.0,72,144,0.00013056113980169926,0.0006786261604567536,8.129321953065372e-05,0.00034674343585949785,0.0005350700421633547,0.002807815234178168,0.000453776822632701,0.0024610717983186703
3.25,14,26,1.1126296652896883e-05,2.8529559644495928e-05,2.4421875504554436e-05,6.458327900160654e-05,4.1818268766036226e-05,0.00010731792693263742,1.739639326148179e-05,4.273464793103088e-05
3.5,12,24,1.3933878350691487e-05,4.223184362641141e-05,2.868202429340272e-05,8.647324918920063e-05,5.341307966277853e-05,0.00016321710184241667,2.473105536937581e-05,7.674385265321604e-05
3.75,24,48,2.4837201349381388e-05,7.303172882702312e-05,5.5097670463410964e-05,0.0001585321223354086,9.041209141091855e-05,0.00026960261568387267,3.5314420947507585e-05,0.00011107049334846408
4.0,72,144,0.0001463962065235691,0.0007519493737451547,9.902886088575258e-05,0.00039628895180099377,0.0005934361658939125,0.0030992535105047736,0.0004944073050081599,0.00270296455870378
