dx,dy,xi,y
0.0,0.0,0.25,0.6131206324986004
0.0,0.0,0.5,0.36419212024814274
0.0,0.0,0.75,0.6456437994360774
0.0,0.0,1.0,2.9751519867269622
0.0,0.0,1.25,2.4329404824380974
0.0,0.0,1.5,2.120790724856587
0.0,0.0,1.75,1.9935950538187455
0.0,0.0,2.0,3.042495292955777
0.0,0.0,2.25,2.7210086549055736
0.0,0.0,2.5,2.4883028425441007
0.0,0.0,2.75,2.3375481109014045
0.0,0.0,3.0,3.0694395618594057
0.0,0.0,3.25,2.8618070699239473
0.0,0.0,3.5,2.6957808891071497
0.0,0.0,3.75,2.5644169436216684
0.0,0.0,4.0,3.109881314985261
0.0,0.25,0.25,0.23457287626619022
0.0,0.25,0.5,0.49535652998812746
0.0,0.25,0.75,2.0650485642277303
0.0,0.25,1.0,1.7177958960820494
0.0,0.25,1.25,2.447225292642602
0.0,0.25,1.5,2.1531356826721653
0.0,0.25,1.75,2.6080655721927277
0.0,0.25,2.0,2.3798964282264383
0.0,0.25,2.25,2.719642001596662
0.0,0.25,2.5,2.5284972262428296
0.0,0.25,2.75,2.7876550771164545
0.0,0.25,3.0,2.6054991324089034
0.0,0.25,3.25,2.8581880528081918
0.0,0.25,3.5,2.681830547452023
0.0,0.25,3.75,2.903997879244754
0.0,0.25,4.0,2.7564384126312302
0.0,0.5,0.25,4.071036851855132
0.0,0.5,0.5,2.8761676237487177
0.0,0.5,0.75,2.0184737382617746
0.0,0.5,1.0,1.6653888092917903
0.0,0.5,1.25,1.5683217815385793
0.0,0.5,1.5,2.979735218891854
0.0,0.5,1.75,2.581803175166517
0.0,0.5,2.0,2.3282415192625434
0.0,0.5,2.25,2.2114243074995663
0.0,0.5,2.5,3.0379464171097363
0.0,0.5,2.75,2.795972173582054
0.0,0.5,3.0,2.6081320440622786
0.0,0.5,3.25,2.4427251927525515
0.0,0.5,3.5,3.0817750538240247
0.0,0.5,3.75,2.895717786410177
0.0,0.5,4.0,2.7479189464813207
0.0,0.75,0.25,0.23457287622810202
0.0,0.75,0.5,0.49535652998807994
0.0,0.75,0.75,2.065048564219586
0.0,0.75,1.0,1.7177958960787698
0.0,0.75,1.25,2.447225292642602
0.0,0.75,1.5,2.15313568267032
0.0,0.75,1.75,2.6080655721912365
0.0,0.75,2.0,2.379896428228165
0.0,0.75,2.25,2.7196420015971525
0.0,0.75,2.5,2.5284972262440166
0.0,0.75,2.75,2.787655077117518
0.0,0.75,3.0,2.6054991324055266
0.0,0.75,3.25,2.858188052808441
0.0,0.75,3.5,2.681830547452023
0.0,0.75,3.75,2.903997879244506
0.0,0.75,4.0,2.75643841263006
0.25,0.0,0.25,5.010293195695611
0.25,0.0,0.5,2.6691988497445007
0.25,0.0,0.75,2.12277135273061
0.25,0.0,1.0,4.181712595101892
0.25,0.0,1.25,3.413948867125184
0.25,0.0,1.5,2.907896763029158
0.25,0.0,1.75,2.638249967360863
0.25,0.0,2.0,3.600826327789622
0.25,0.0,2.25,3.21307069874488
0.25,0.0,2.5,2.94657781871996
0.25,0.0,2.75,2.772001514405795
0.25,0.0,3.0,3.4628930887422467
0.25,0.0,3.25,3.2047187160834385
0.25,0.0,3.5,3.012675093968137
0.25,0.0,3.75,2.8635828753228996
0.25,0.0,4.0,3.4026831540573603
0.25,0.25,0.25,5.141813118090904
0.25,0.25,0.5,2.859753587339664
0.25,0.25,0.75,3.6720711709514724
0.25,0.25,1.0,2.918631733327715
0.25,0.25,1.25,3.3922464241751484
0.25,0.25,1.5,2.929205825736114
0.25,0.25,1.75,3.2960012398580063
0.25,0.25,2.0,2.9633041665590993
0.25,0.25,2.25,3.2512339523243865
0.25,0.25,2.5,2.9751479088929815
0.25,0.25,2.75,3.2243874498723653
0.25,0.25,3.0,2.9991249247886222
0.25,0.25,3.25,3.218405778068572
0.25,0.25,3.5,3.0228085024488376
0.25,0.25,3.75,3.2030494315852884
0.25,0.25,4.0,3.046793821069735
0.25,0.5,0.25,0.6858583711350692
0.25,0.5,0.5,5.437586085674112
0.25,0.5,0.75,3.6397246277538158
0.25,0.5,1.0,2.8062550514531184
0.25,0.5,1.25,2.441282078745904
0.25,0.5,1.5,3.780673029588371
0.25,0.5,1.75,3.290943407957719
0.25,0.5,2.0,2.931879970814621
0.25,0.5,2.25,2.7109888281561902
0.25,0.5,2.5,3.527634449858724
0.25,0.5,2.75,3.211510699974343
0.25,0.5,3.0,2.963013937852187
0.25,0.5,3.25,2.8083771184738335
0.25,0.5,3.5,3.418488825448791
0.25,0.5,3.75,3.200454377222639
0.25,0.5,4.0,3.0154557536852913
0.25,0.75,0.25,5.141813118090404
0.25,0.75,0.5,2.859753587339941
0.25,0.75,0.75,3.672071170947614
0.25,0.75,1.0,2.9186317333219773
0.25,0.75,1.25,3.392246424167374
0.25,0.75,1.5,2.929205825731712
0.25,0.75,1.75,3.296001239860057
0.25,0.75,2.0,2.963304166561169
0.25,0.75,2.25,3.2512339523203817
0.25,0.75,2.5,2.9751479088939092
0.25,0.75,2.75,3.22438744987315
0.25,0.75,3.0,2.9991249247900478
0.25,0.75,3.25,3.218405778068289
0.25,0.75,3.5,3.022808502449663
0.25,0.75,3.75,3.203049431583012
0.25,0.75,4.0,3.046793821069212
0.5,0.0,0.25,5.4983910479737075
0.5,0.0,0.5,3.003312212545089
0.5,0.0,0.75,2.218045118710005
0.5,0.0,1.0,4.240800545731589
0.5,0.0,1.25,3.428675263047488
0.5,0.0,1.5,2.9663055687504607
0.5,0.0,1.75,2.653913005937863
0.5,0.0,2.0,3.6493662070672643
0.5,0.0,2.25,3.283434238391851
0.5,0.0,2.5,2.969530986616351
0.5,0.0,2.75,2.7748621308408157
0.5,0.0,3.0,3.4740025962346355
0.5,0.0,3.25,3.2368272313170166
0.5,0.0,3.5,3.0077597800285054
0.5,0.0,3.75,2.8804785197413447
0.5,0.0,4.0,3.4176654386640752
0.5,0.25,0.25,5.454068046925904
0.5,0.25,0.5,3.033453837238098
0.5,0.25,0.75,3.8134791229362017
0.5,0.25,1.0,3.007425709331887
0.5,0.25,1.25,3.4762380967049538
0.5,0.25,1.5,2.9701894440346464
0.5,0.25,1.75,3.3463021638740043
0.5,0.25,2.0,3.0014787426994913
0.5,0.25,2.25,3.254451601643321
0.5,0.25,2.5,3.0044883803047915
0.5,0.25,2.75,3.243658218504432
0.5,0.25,3.0,3.034548027164148
0.5,0.25,3.25,3.2223068688918897
0.5,0.25,3.5,3.0446443258918596
0.5,0.25,3.75,3.2278118016946555
0.5,0.25,4.0,3.06017008284485
0.5,0.5,0.25,0.9185844158776466
0.5,0.5,0.5,5.507149678333109
0.5,0.5,0.75,3.767457231876632
0.5,0.5,1.0,2.9809968593620333
0.5,0.5,1.25,2.5496880533240565
0.5,0.5,1.5,3.872604127188886
0.5,0.5,1.75,3.312480480857526
0.5,0.5,2.0,2.9311330063657395
0.5,0.5,2.25,2.723303923206234
0.5,0.5,2.5,3.5470357901416483
0.5,0.5,2.75,3.2427235629913764
0.5,0.5,3.0,2.989625922811887
0.5,0.5,3.25,2.842495993412175
0.5,0.5,3.5,3.450877922538451
0.5,0.5,3.75,3.220161044562075
0.5,0.5,4.0,3.0318161545073856
0.5,0.75,0.25,5.454068046938733
0.5,0.75,0.5,3.033453837231997
0.5,0.75,0.75,3.8134791229319904
0.5,0.75,1.0,3.007425709331887
0.5,0.75,1.25,3.4762380966950106
0.5,0.75,1.5,2.9701894440364316
0.5,0.75,1.75,3.3463021638740043
0.5,0.75,2.0,3.0014787426982443
0.5,0.75,2.25,3.2544516016406484
0.5,0.75,2.5,3.0044883803026683
0.5,0.75,2.75,3.243658218502283
0.5,0.75,3.0,3.03454802716584
0.5,0.75,3.25,3.222306868892782
0.5,0.75,3.5,3.0446443258924187
0.5,0.75,3.75,3.227811801691619
0.5,0.75,4.0,3.0601700828405947
0.75,0.0,0.25,5.010293195669951
0.75,0.0,0.5,2.66919884975729
0.75,0.0,0.75,2.122771352717865
0.75,0.0,1.0,4.181712595095663
0.75,0.0,1.25,3.413948867122698
0.75,0.0,1.5,2.907896763027638
0.75,0.0,1.75,2.6382499673601227
0.75,0.0,2.0,3.6008263277963
0.75,0.0,2.25,3.2130706987440023
0.75,0.0,2.5,2.94657781871903
0.75,0.0,2.75,2.77200151440988
0.75,0.0,3.0,3.4628930887435203
0.75,0.0,3.25,3.2047187160816533
0.75,0.0,3.5,3.012675093968137
0.75,0.0,3.75,2.8635828753264856
0.75,0.0,4.0,3.402683154058638
0.75,0.25,0.25,5.14181311807708
0.75,0.25,0.5,2.8597535873268773
0.75,0.25,0.75,3.672071170947263
0.75,0.25,1.0,2.918631733325125
0.75,0.25,1.25,3.392246424167055
0.75,0.25,1.5,2.9292058257337756
0.75,0.25,1.75,3.296001239855955
0.75,0.25,2.0,2.9633041665575766
0.75,0.25,2.25,3.251233952323051
0.75,0.25,2.5,2.9751479088915143
0.75,0.25,2.75,3.22438744987315
0.75,0.25,3.0,2.9991249247888003
0.75,0.25,3.25,3.2184057780709643
0.75,0.25,3.5,3.0228085024485734
0.75,0.25,3.75,3.20304943158246
0.75,0.25,4.0,3.0467938210699206
0.75,0.5,0.25,0.6858583711609524
0.75,0.5,0.5,5.437586085668822
0.75,0.5,0.75,3.6397246277499535
0.75,0.5,1.0,2.8062550514473568
0.75,0.5,1.25,2.4412820787461365
0.75,0.5,1.5,3.780673029591114
0.75,0.5,1.75,3.2909434079612114
0.75,0.5,2.0,2.9318799708143497
0.75,0.5,2.25,2.710988828155941
0.75,0.5,2.5,3.5276344498605394
0.75,0.5,2.75,3.2115106999721954
0.75,0.5,3.0,2.9630139378514713
0.75,0.5,3.25,2.8083771184738335
0.75,0.5,3.5,3.418488825449606
0.75,0.5,3.75,3.2004543772196037
0.75,0.5,4.0,3.0154557536840634
0.75,0.75,0.25,5.141813118078079
0.75,0.75,0.5,2.859753587333548
0.75,0.75,0.75,3.672071170947966
0.75,0.75,1.0,2.9186317333279934
0.75,0.75,1.25,3.3922464241620847
0.75,0.75,1.5,2.9292058257337756
