a,xi,mean_y,std_y,frac_suppressed
24.0,0.25,3.2835745948219,2.1666098868875467,0.25
24.0,0.5,2.893754809393121,1.1884206874015955,0.109375
24.0,0.75,2.9011887315498415,0.9236224638133748,0.046875
24.0,1.5,2.9487293130938577,0.4054030697392293,0.0
24.0,3.0,3.029688350085872,0.2107987999707751,0.0
33.0,0.25,3.271225073550191,2.120776161875617,0.25
33.0,0.5,2.90782675777177,1.1469474110011308,0.109375
33.0,0.75,2.9126564740528487,0.8825970591417173,0.046875
33.0,1.5,2.9449867080306538,0.3853122804159464,0.0
33.0,3.0,3.008982230212875,0.19774410238362353,0.0
48.0,0.25,3.2603439044269455,1.977792566047463,0.203125
48.0,0.5,2.917187970901325,1.091353188573874,0.109375
48.0,0.75,2.9227741241610987,0.8298438521163193,0.046875
48.0,1.5,2.9428081955323098,0.3694153013349503,0.0
48.0,3.0,2.9878345309957255,0.18913696264580612,0.0
