n,a,xi,r_AR,N_sites,added_vs_prev,removed_vs_prev,dN_sym_vs_prev,dN_sym_vs_ref,E0,E1,E2,S,S_over_1mr,doublet_mean_shift
4.0,24.0,0.0,1.0,2105,0,0,0,0,-3.991331637433504,-3.978236405942697,-3.9782364059426953,2.0492415098856358e-13,0.0,0.0
4.0,24.0,0.25,0.9895833333333334,2091,0,14,14,14,-3.9913004520642623,-3.9781523072509257,-3.978132849879563,0.002236595683624154,0.21471318562791952,9.382737745156078e-05
4.0,24.0,0.5,0.9791666666666666,2071,0,20,20,34,-3.991254562141951,-3.978039233826429,-3.977965656308199,0.008413245788762572,0.40383579786060275,0.00023396087538207766
4.0,24.0,0.75,0.96875,2063,0,8,8,42,-3.991219181056986,-3.977985956127092,-3.977825763771014,0.018243441428130128,0.5837901257001641,0.00033054599364312764
4.0,24.0,1.0,0.9583333333333334,2011,0,52,52,94,-3.990937223776778,-3.9778043448687312,-3.976675738634812,0.12453206458162577,2.988769549959021,0.0009963641909243037
4.0,24.0,1.25,0.9479166666666666,2005,0,6,6,100,-3.990921399154617,-3.9777778409898557,-3.976613642015559,0.12823550612304238,2.462121717562412,0.0010406644399889586
4.0,24.0,1.5,0.9375,1989,0,16,16,116,-3.990873690701749,-3.9776655663085774,-3.9764361094228557,0.1347156715318881,2.1554507445102096,0.0011855680769796706
4.0,24.0,1.75,0.9270833333333334,1973,0,16,16,132,-3.9908310067335684,-3.977548531976308,-3.976298809064321,0.13629881445786463,1.869240883993573,0.001312735422381639
4.0,24.0,2.0,0.9166666666666666,1925,0,48,48,180,-3.9905044478387697,-3.977366806417413,-3.9749518681314813,0.2543231025354753,3.0518772304257022,0.0020770686682491935
4.0,24.0,2.25,0.90625,1915,0,10,10,190,-3.99047749941226,-3.977309801227732,-3.974849735790873,0.25834237700404056,2.7556520213764326,0.002156637433393449
4.0,24.0,2.5,0.8958333333333334,1899,0,16,16,206,-3.9904331010723135,-3.9771850254561247,-3.974697156430986,0.26004968213252555,2.496476948472246,0.0022953149991407074
