shape_n,scale_a0,deformation_mode,placement_grid,delta,xi,dx,dy,theta,n_sites_0,n_sites_delta,added_sites,removed_sites,symmetric_difference,cut_bonds,E0_0,Eminus_0,Eplus_0,E0_delta,Eminus_delta,Eplus_delta,S0_sorted,Sdelta_sorted,legacy_raw_ratio,sorted_baseline_corrected_ratio,chi_minus,chi_plus,chi_center,chi_split,overlap_11,overlap_12,overlap_21,overlap_22,assignment_score_best,assignment_score_second,assignment_margin,subspace_sv_min,subspace_sv_max,branch_status,symmetry_class_0,symmetry_class_delta,solve_status
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.0,0.0,0.0,3569,3573,4,0,4,0,-3.9950221792754976,-3.9873687827907656,-3.9873687827907656,-3.995027869263284,-3.987396547299796,-3.9873699196870085,0.0,2.662761278759973e-05,0.00897350550942111,0.00897350550942111,-0.009356639543287137,-0.0003831340338660283,-0.004869886788576583,0.00897350550942111,0.999976892665005,1.3497492111250186e-22,1.3490934434597203e-22,0.9999992194767526,1.9999761121417576,2.698842654584739e-22,1.9999761121417576,0.9999884462657581,0.9999996097383002,OK,C4v,C4v,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.0,0.03125,0.0,3569,3573,4,0,4,0,-3.995022179275498,-3.987368782790767,-3.9873687827907665,-3.9950278692632843,-3.987396547299796,-3.987369919687009,4.440892098500626e-16,2.662761278715564e-05,0.008973505509271451,0.008973505509121793,-0.009356639542838163,-0.0003831340337163702,-0.004869886788426925,0.008973505509121793,0.9585294417707533,0.04144837630507194,0.04144745089425509,0.9585508431716777,1.9170802849424309,0.08289582719932703,1.834184457743104,0.9999884462657598,0.9999996097382987,OK,Cs_axis,Cs_axis,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.0,0.0625,0.0,3571,3569,2,4,6,8,-3.9950250268188574,-3.987382685856845,-3.987369351325653,-3.995021968964063,-3.987356163928141,-3.987380381895642,1.3334531191677712e-05,2.4217967501183324e-05,0.00816145504789878,0.003667718036303391,0.008937889973211988,-0.0037173020862821815,0.002610293943464903,-0.01265519205949417,6.246108689415102e-22,0.9999776513671037,0.9999857991155713,6.245931642551207e-22,1.9999634504826749,1.249204033196631e-21,1.9999634504826749,0.9999888256211185,0.9999928995325773,OK,Cs_axis,Cs_axis,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.0,0.09375,0.0,3569,3569,2,2,4,4,-3.995021978738269,-3.9873695375089455,-3.9873670748241423,-3.9950218479965933,-3.9873588658200054,-3.9873771434664476,2.4626848031950033e-06,1.8277646442133033e-05,0.006159566850998832,0.005329642072322116,0.003596359172810093,-0.0033931324568654553,0.00010161335797231885,-0.006989491629675548,1.1095672941991357e-21,0.999989427837221,0.9999838896946222,1.1095360044143282e-21,1.9999733175318433,2.2191032986134637e-21,1.9999733175318433,0.9999919448148681,0.9999947139046393,OK,Cs_axis,Cs_axis,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.0,0.125,0.0,3565,3565,2,2,4,4,-3.995016094005225,-3.98735801824076,-3.9873488492186837,-3.9950159591836565,-3.9873715108602443,-3.987334661057729,9.169022076260802e-06,3.684980251517089e-05,0.012418383447612591,0.0093284230079127,-0.004547012766228153,0.004781410241684547,0.00011719873780302592,0.0093284230079127,0.9999886203592564,7.660998882166548e-23,7.659910657102109e-23,0.9999824437308962,1.9999710640901527,1.5320909539268656e-22,1.9999710640901527,0.9999912218269199,0.9999943101634411,OK,Cs_axis,Cs_axis,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.0,0.15625,0.0,3567,3561,2,8,10,16,-3.9950188596056253,-3.987361501782808,-3.987359445833875,-3.9950105963587963,-3.9873112979827994,-3.987367774983949,2.0559489333216163e-06,5.647700114952414e-05,0.019032749387389636,0.01833989459686025,0.016918680602949543,-0.0028069235749694776,0.007055878514064862,-0.01972560417791902,3.435939668952594e-20,0.9999325772496013,0.9999815201790198,3.435749089676393e-20,1.9999140974286211,6.871688758628986e-20,1.9999140974286211,0.9999662880565531,0.9999907600468215,OK,Cs_axis,Cs_axis,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.0,0.1875,0.0,3561,3563,4,2,6,4,-3.995010268559575,-3.9873527597466247,-3.9873246305837493,-3.9950133752507577,-3.9873692036773263,-3.9873240377142074,2.812916287542322e-05,4.516596311887611e-05,0.015220929571061248,0.005741401682043623,-0.005541604646421838,0.00019979703562178486,-0.0026709038054000267,0.005741401682043623,0.9999620459632242,1.4342079731717365e-23,1.4343862543079165e-23,0.9999770551407744,1.9999391011039986,2.868594227479653e-23,1.9999391011039986,0.9999810228015451,0.9999885275045781,OK,Cs_axis,Cs_axis,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.0,0.21875,0.0,3559,3563,4,0,4,0,-3.9950073670927235,-3.9873402406447696,-3.9873224366608584,-3.99501307771099,-3.987362597499356,-3.987329014442449,1.7803983911157673e-05,3.358305690692731e-05,0.011317490177634504,0.005317547599574368,-0.007534259995580328,-0.00221671239600596,-0.004875486195793144,0.005317547599574368,0.999984068730101,1.9719260852503514e-22,1.9718858632753066e-22,0.9999947159252331,1.999978784655334,3.9438119485256577e-22,1.999978784655334,0.9999920343333248,0.9999973579591261,OK,Cs_axis,Cs_axis,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.0,0.25,0.0,3561,3563,2,0,2,0,-3.9950101778285845,-3.9873501120049513,-3.987326820876938,-3.9950130777109893,-3.9873625974993563,-3.98732901444245,2.329112801335853e-05,3.358305690648322e-05,0.011317490177484846,0.003468380036983021,-0.004207611614492901,-0.0007392315775098801,-0.0024734215958517325,0.003468380036983021,0.9999894225148775,1.0604084263335568e-22,1.0599716734089266e-22,0.9999978472412872,1.9999872697561647,2.1203800997424834e-22,1.9999872697561647,0.9999947112434535,0.999998923620064,OK,Cs_axis,Cs_axis,OK
2.0,33.7,area_preserving,32,0.002967359050445104,0.1,0.0,0.28125,0.0,3563,3561,2,4,6,8,-3.995012936221072,-3.987350858947892,-3.987340105722625,-3.9950100742612156,-3.987362322596146,-3.987314002949632,1.0753225267112754e-05,4.8319646513750314e-05,0.016283720875133856,0.012659883960116858,-0.0038632494615216117,0.008796634498595246,0.002466692518536817,0.012659883960116858,0.9999883675273643,5.39051428018195e-23,5.389428690675976e-23,0.9999723091645474,1.9999606766919116,1.0779942970857928e-22,1.9999606766919116,0.9999861544864246,0.9999941837467677,OK,Cs_axis,Cs_axis,OK
