shape_n,scale_a0,deformation_mode,delta,xi,metric,mean16,mean32,mean_relchange,median16,median32,median_relchange,max_quantile_relchange,negfrac16,negfrac32,negfrac_change,status
2.0,33.7,area_preserving,0.002967359050445104,0.1,chi_split,-0.00018298217098225477,-0.0007974807497309042,3.3582429121372828,0.004269310453675734,0.004247899397479493,0.0050151087461458455,0.14307004945258056,0.35714285714285715,0.397,0.03985714285714287,GRID_UNRESOLVED
2.0,33.7,area_preserving,0.002967359050445104,0.1,chi_center,1.545293710212563e-05,5.0408611180678965e-05,2.2620731481360266,4.549149069088543e-05,4.6040688268300656e-05,0.012072534205287408,0.09369000485381135,0.4603174603174603,0.473,0.012682539682539684,GRID_UNRESOLVED
2.0,33.7,area_preserving,0.011869436201780416,0.4,chi_split,-0.001806115786565554,-0.0018258817220335537,0.010943891645831774,-0.009086033336481614,-0.009340262978386804,0.02798026734993642,0.009193178748212093,0.5041666666666667,0.507201646090535,0.0030349794238683225,GRID_UNRESOLVED
2.0,33.7,area_preserving,0.011869436201780416,0.4,chi_center,6.14931256139655e-05,9.15194081332066e-05,0.4882868161188726,-0.00010963217067105901,-4.762611541669903e-05,0.5655826649679618,0.12134662682843204,0.5166666666666667,0.5082304526748971,0.008436213991769637,GRID_UNRESOLVED
4.0,33.7,area_preserving,0.002967359050445104,0.1,chi_split,-0.002053204000198509,-0.004266399053803842,1.0779226289211183,-0.001442605952166609,-0.0001700229525816166,0.8821417918550357,0.375362726114386,0.5083333333333333,0.5020325203252033,0.006300813008130013,GRID_UNRESOLVED
4.0,33.7,area_preserving,0.002967359050445104,0.1,chi_center,0.001074144307028955,0.0006009914448486193,0.4404928267869889,0.00028953933040387625,1.238543421377969e-06,0.9957223655257808,0.7594009177994854,0.4666666666666667,0.4949186991869919,0.02825203252032521,GRID_UNRESOLVED
4.0,33.7,area_preserving,0.004,0.1348,chi_split,-0.004092093556295103,-0.004790970551480006,0.17078714979763374,-0.0012879412368271836,-0.0012879412367161613,8.620137261542831e-11,0.14496445497933116,0.5041666666666667,0.5236625514403292,0.019495884773662597,GRID_UNRESOLVED
4.0,33.7,area_preserving,0.004,0.1348,chi_center,7.25944187910758e-05,-1.4625912588732226e-05,1.2014743396572276,1.5623633775607715e-05,-0.0001632790613270707,11.450773723459196,0.14364109676303022,0.49166666666666664,0.5082304526748971,0.01656378600823044,GRID_UNRESOLVED
4.0,33.7,area_preserving,0.011869436201780416,0.4,chi_split,-0.006153870498997228,-0.005768921067688179,0.06255403511851225,-0.008929193995937723,0.001163254730078056,1.130275445981717,0.08344486444975617,0.5127118644067796,0.4989539748953975,0.013757889511382126,GRID_UNRESOLVED
4.0,33.7,area_preserving,0.011869436201780416,0.4,chi_center,0.00036310321596805766,0.0003302748192855412,0.09041064699742124,-0.000625306578908913,-0.00012376259725499494,0.8020769308537482,0.2573080822765155,0.5127118644067796,0.5052301255230126,0.0074817388837670196,GRID_UNRESOLVED
