n,a0,xi,symmetry_class_0,count,count_ok,mean,median,std,frac_neg,frac_ambiguous,enough_points
2.0,24.3,0.4,C1,168,164,-0.4103232326203152,1.289669271580193,2.557876457746152,0.4878048780487805,0.023809523809523808,True
2.0,24.3,0.4,C2v,2,2,0.2204881364990512,0.2204881364990512,2.268607032366035,0.5,0.0,False
2.0,24.3,0.4,C4v,2,2,2.087788033874001,2.087788033874001,0.15657394015008153,0.0,0.0,False
2.0,24.3,0.4,Cs_axis,56,56,-0.40850547549562954,-0.46358148968499535,2.3959972762627726,0.5,0.0,True
2.0,24.3,0.4,Cs_diag,28,24,-0.21641028521927064,-0.2168620313045042,2.2192440239675606,0.5,0.14285714285714285,True
2.0,33.7,0.4,C1,168,168,-0.2983936492139416,-0.466356066060177,2.52542768394191,0.5,0.0,True
2.0,33.7,0.4,C2v,2,2,-0.1901163588266297,-0.1901163588266297,2.6749527629620893,0.5,0.0,False
2.0,33.7,0.4,C4v,2,2,2.804631518828275,2.804631518828275,0.867858254437716,0.0,0.0,False
2.0,33.7,0.4,Cs_axis,56,56,-0.4602652771770897,-0.2529703934833245,2.620160041851074,0.5,0.0,True
2.0,33.7,0.4,Cs_diag,28,12,-1.3524781829327026,-2.664869725705383,2.1405698632161907,0.6666666666666666,0.5714285714285714,True
2.0,48.2,0.4,C1,168,160,-0.2590625142502371,-0.39964708980620567,2.51821327036634,0.5,0.047619047619047616,True
2.0,48.2,0.4,C2v,2,2,-0.3951413070865726,-0.3951413070865726,2.6002789940338467,0.5,0.0,False
2.0,48.2,0.4,C4v,2,2,2.8253705370481725,2.8253705370481725,0.6158405845176829,0.0,0.0,False
2.0,48.2,0.4,Cs_axis,56,56,-0.3326976727442686,-0.18301482817281933,2.612270756051683,0.5,0.0,True
2.0,48.2,0.4,Cs_diag,28,16,0.7961351718720353,1.8328598554163578,2.1787385235477044,0.25,0.42857142857142855,True
4.0,24.3,0.4,C1,168,168,-1.2782669040794672,-0.717061122292352,3.302397175150598,0.5,0.0,True
4.0,24.3,0.4,C2v,2,2,-1.0617527509780584,-1.0617527509780584,1.8460531520482204,0.5,0.0,False
4.0,24.3,0.4,C4v,2,2,1.6855347306645263,1.6855347306645263,0.12815727453545545,0.0,0.0,False
4.0,24.3,0.4,Cs_axis,56,56,-0.7709326742404631,-0.6656665290324626,2.685370529498865,0.5,0.0,True
4.0,24.3,0.4,Cs_diag,28,4,2.9439381613260345,2.943938161325301,2.7048532955057266e-12,0.0,0.8571428571428571,True
4.0,33.7,0.4,C1,168,168,-1.3121442395698706,-0.8691010580967033,3.1394449732956096,0.5,0.0,True
4.0,33.7,0.4,C2v,2,2,-2.733698896842016,-2.733698896842016,3.4951043036139797,0.5,0.0,False
4.0,33.7,0.4,C4v,2,2,3.536093654124001,3.536093654124001,3.1702257433174856,0.0,0.0,False
4.0,33.7,0.4,Cs_axis,56,56,-1.6497319474948087,-0.07234645748020882,3.905864790763474,0.5,0.0,True
4.0,33.7,0.4,Cs_diag,28,8,-2.8323876368449117,-2.8323876368449192,0.3037367269647502,1.0,0.7142857142857143,True
4.0,48.2,0.4,C1,168,168,-1.2530915075311224,-0.8456756653586621,3.135232899019103,0.5,0.0,True
4.0,48.2,0.4,C2v,2,2,-2.411223250863496,-2.411223250863496,3.4458075890739703,0.5,0.0,False
4.0,48.2,0.4,C4v,2,2,3.5206189441740436,3.5206189441740436,2.996241186157535,0.0,0.0,False
4.0,48.2,0.4,Cs_axis,56,56,-1.6957993361062333,0.057928756602656395,3.7999580424241675,0.5,0.0,True
4.0,48.2,0.4,Cs_diag,28,8,1.3896897471218546,1.3896897470840222,2.0125835833682517,0.5,0.7142857142857143,True
