a0,xi,ecdf_D,w1,mean2,mean4,median2,median4,q05_2,q05_4
24.3,0.05,0.1644965277777778,1.6665073925603864,-0.011022186059198635,-1.427350375651609,5.183861152835422e-13,-2.5787986858232488e-11,-4.486645741171534,-14.384865821086267
24.3,0.1,0.15079365079365079,1.7153870938504627,-0.24496716690955653,-0.8322876280414238,0.23456553349865084,3.0274318208595163e-13,-5.062438826594667,-9.438564852124777
24.3,0.2,0.23724219989423578,1.1698020574497698,-0.2961076134780428,-0.8776896158271796,0.8650079157781212,0.2536336316819826,-4.285311690148291,-6.650961484572219
24.3,0.4,0.3017241379310345,1.0086561894889683,-0.36591375516936847,-1.0555937630954282,1.1633140495462517,0.45168218855565,-3.538840626980862,-5.916647995838985
24.3,0.8,0.3855932203389831,1.1695350032398044,-0.4336881287280078,-1.3695722607826248,-2.351516479904707,0.4917309775360489,-3.1311383001110054,-6.263980508266469
33.7,0.05,0.18557787698412698,1.667788236105621,-0.10475017693787911,-0.40656076499441973,0.775624954455395,-1.0796864704371023e-14,-5.574179823130891,-12.502936151519615
33.7,0.1,0.214484126984127,0.9922980186615376,-0.03711302636841991,-0.47145639123220817,0.8571056540698715,-0.3308302278797,-4.060433239206338,-6.664609610963401
33.7,0.2,0.2668330773169483,1.1912379453839583,-0.3549840893089668,-1.0171602446133325,1.0020630859797999,-0.333195060017927,-3.6856858614558337,-6.519173088106295
33.7,0.4,0.3190677966101695,1.205328874111576,-0.36210706860436814,-1.4147437834222156,-1.8225948969233579,-2.052493221167901,-3.33518147980532,-6.410672285236634
33.7,0.8,0.35526315789473684,1.191819635998796,-0.36319332391449777,-0.9434258112859388,-2.4960967104984606,0.7806321768121965,-2.888729342125583,-5.471839650345159
48.2,0.05,0.19610855094726065,1.56034306345379,0.05058214133073887,-0.028336029420155267,0.7609878121780701,0.15387442025807294,-4.468726597412539,-12.621307333932856
48.2,0.1,0.17849462365591395,0.9358454889269539,-0.20976182179864722,-0.35554392562070525,0.70650531074254,0.258121605930448,-3.7556360506596995,-6.602757582192123
48.2,0.2,0.24381772714642946,1.2814332180843475,-0.2058144822978767,-0.8682119772037351,1.0902720824267194,-0.4404111017504977,-3.5185024781979912,-6.221567946957951
48.2,0.4,0.3008474576271187,1.2278562284902153,-0.18001038450780169,-1.2379145200151767,1.3743858314976931,0.518542449544457,-3.220259902324832,-6.324484711092902
48.2,0.8,0.35526315789473684,1.1190327991169384,-0.18265504490024118,-0.8996344173456478,-2.403578658395503,0.9447068407942665,-2.8471192130219207,-5.344870931019289
