n,path,value,metric,mean_24.3,mean_33.7,mean_48.2,std_exponent,iqr_exponent,std_24.3,std_48.2
2.0,xi,0.05,raw,-9.597795886441866e-05,-0.0005194313163250815,0.00012328213018276653,1.8938892182926619,1.5439295472972934,0.02362473414772939,0.006473355894151984
2.0,xi,0.05,dimless,-0.011022186059198635,-0.10475017693787911,0.05058214133073887,-0.08219258609852594,-0.4322469407147261,2.4899612797134525,2.640573377206372
2.0,xi,0.1,raw,-0.002325014292428627,-0.00018298217098225477,-0.0005148768723817013,1.9957916302713905,1.7761385979782653,0.02437952221762145,0.006216027537958847
2.0,xi,0.1,dimless,-0.24496716690955653,-0.03711302636841991,-0.20976182179864722,0.018510949147569674,-0.2015585600460534,2.5674005362794907,2.5356410945078105
2.0,xi,0.2,raw,-0.002823731010060659,-0.0017690607262735524,-0.0005054012227419571,1.9997590154993876,1.9233354444246173,0.024363999030201266,0.006197188583779377
2.0,xi,0.2,dimless,-0.2961076134780428,-0.3549840893089668,-0.2058144822978767,0.022083045645297186,-0.055152329484858396,2.565115594844391,2.5279966851462117
2.0,xi,0.4,raw,-0.0034943935856713683,-0.001806115786565554,-0.00044284148880199966,1.9490754599832625,1.9044867509314254,0.023651637378682755,0.00622772022914789
2.0,xi,0.4,dimless,-0.36591375516936847,-0.36210706860436814,-0.18001038450780169,-0.028894616673840065,-0.07373867978353905,2.489272751714884,2.5401067616134076
2.0,xi,0.8,raw,-0.00413351764292298,-0.0018088567322131343,-0.0004478373709755243,1.9639457739788708,1.9672549270553987,0.023878646349100332,0.006220457517902559
2.0,xi,0.8,dimless,-0.4336881287280078,-0.36319332391449777,-0.18265504490024118,-0.014746928571007014,-0.01309027672748662,2.511708596598754,2.5369334267558643
2.0,delta,0.001,raw,-0.0009202272205303258,0.001260415762027381,0.000181924296771728,2.0671413781752017,1.182733693951729,0.026980381373081397,0.00654480495126726
2.0,delta,0.001,dimless,-0.09716150149442704,0.25285473483650717,0.07450737846996461,0.0905984019869679,-0.7981024816315461,2.842737635976141,2.6697211891266877
2.0,delta,0.002,raw,-0.0007078663722117837,0.00046750260161189383,-0.0005632570534467071,1.9521642305978328,1.4488009504176396,0.024040108679062932,0.0063150656871623825
2.0,delta,0.002,dimless,-0.07554816098621278,0.0933581287211576,-0.22949662205134058,-0.02395937388803791,-0.5252511035653842,2.533721443090367,2.5760615900243224
2.0,delta,0.004,raw,-0.0023865116213451017,-0.0006033021918524841,-0.0006853247753965004,2.0221451042373526,1.6712462040858982,0.02453978652802432,0.006148701955366981
2.0,delta,0.004,dimless,-0.25132697278336213,-0.12141767527538204,-0.279225787383112,0.044886298208732876,-0.30498067458587075,2.5843537663515845,2.5082039319068463
2.0,delta,0.008,raw,-0.0030505380089699973,-0.0019860426384562856,-0.0005817875603854185,1.9987842218988239,1.879656526986243,0.02435802088996733,0.006198219496654627
2.0,delta,0.008,dimless,-0.32019966500847546,-0.3984985911577381,-0.23673965861393725,0.02127639682397913,-0.09988249815604736,2.5644562333731336,2.528098245262188
4.0,xi,0.05,raw,-0.011813072912230391,-0.0017662820122253372,-6.463370722846363e-05,1.8642058004422415,1.8468444710759917,0.03960273116727253,0.01104576958447793
4.0,xi,0.05,dimless,-1.427350375651609,-0.40656076499441973,-0.028336029420155267,-0.1154143481667606,-0.12307183013610301,4.775837442274345,5.16832534087071
4.0,xi,0.1,raw,-0.006892993140395566,-0.002053204000198509,-0.0007627206547965126,2.641571155538866,1.5673535200629294,0.04227083535284328,0.006881400161881179
4.0,xi,0.1,dimless,-0.8322876280414238,-0.47145639123220817,-0.35554392562070525,0.6614855366564335,-0.4000274034907194,5.101543995451369,3.223385164611402
4.0,xi,0.2,raw,-0.0072661470709298156,-0.00441420805126826,-0.0018566385686784282,2.0449334137013784,1.627803501347956,0.029627712390616966,0.007299514047157514
4.0,xi,0.2,dimless,-0.8776896158271796,-1.0171602446133325,-0.8682119772037351,0.0674201915837445,-0.33813612334787285,3.582209028253396,3.4193535231704915
4.0,xi,0.4,raw,-0.008741618301914557,-0.006153870498997228,-0.0026524373146239923,1.896854006138856,1.9348803386218685,0.026242701979120767,0.00716384561219288
4.0,xi,0.4,dimless,-1.0555937630954282,-1.4147437834222156,-1.2379145200151767,-0.07867871304212967,-0.036491320624680815,3.17230479970077,3.3504173264170714
4.0,xi,0.8,raw,-0.011338286887504965,-0.00411839983722971,-0.0019311581084580228,1.9588677934574728,1.7829393918846654,0.02552923159505489,0.006676404580254488
4.0,xi,0.8,dimless,-1.3695722607826248,-0.9434258112859388,-0.8996344173456478,-0.014772403329713963,-0.1836367666046351,3.088448259181233,3.1207346358964028
