a0,count,frac_neg,frac_pos,frac_zero,iqr,max,mean,mean_all,mean_amb_hi,mean_amb_lo,median,median_id,median_swap,metric,min,n,n_ambiguous,n_total,path,q05,q25,q75,q95,std,value
24.3,256,0.4765625,0.5078125,0.015625,3.307986497811644,5.296107193318916,-0.011022186059198635,-0.011022186059198635,-0.011022186059198635,-0.011022186059198635,5.183861152835422e-13,5.183861152835422e-13,5.183861152835422e-13,dimless_chi_split,-6.779409067037234,2.0,0,256,xi,-4.486645741171534,-1.3202541222174966,1.9877323755941472,3.826555360373896,2.4899612797134525,0.05
24.3,256,0.5078125,0.48046875,0.01171875,1.6505098142628296,3.384099860195827,0.0059723538088635834,,,,-4.0035974535612695e-11,,,dimless_chi_minus,-2.6401000398515793,2.0,0,256,xi,-1.9114241642505734,-0.994936831430995,0.6555729828318347,2.2443768582811163,1.243535555029635,0.05
24.3,256,0.4765625,0.515625,0.0078125,1.6563665244891697,2.6560071536279555,-0.005049832250330878,,,,4.019784505260304e-11,,,dimless_chi_plus,-3.395309206853688,2.0,0,256,xi,-2.24226888290457,-0.663570980333475,0.9927955441556946,1.9151311961059545,1.2464541107916145,0.05
24.3,256,0.4453125,0.54296875,0.01171875,0.006452992635748499,0.01858511002302654,0.0004612607791285203,,,,5.2000256964390694e-05,,,dimless_chi_center,-0.024762274516069823,2.0,0,256,xi,-0.007218581479174534,-0.0031494036888382033,0.003303588946910296,0.010344933795835674,0.006121261963376145,0.05
24.3,252,0.43253968253968256,0.5555555555555556,0.011904761904761904,4.217185687544442,5.114681420397096,-0.24496716690955653,-0.23234670911260338,-0.23234670911260336,-0.28609695644484673,0.23456553349865084,0.2502981994571997,0.191932443537258,dimless_chi_split,-6.2752854656823445,2.0,4,256,xi,-5.062438826594667,-2.3692201606309955,1.8479655269134456,3.208263608253892,2.5674005362794907,0.1
24.3,252,0.5476190476190477,0.44047619047619047,0.011904761904761904,2.1027513812886607,3.1367093637129964,0.12243915926549641,,,,-0.11972318003161397,,,dimless_chi_minus,-2.5536541339955425,2.0,4,256,xi,-1.5971604431670194,-0.9219807379785696,1.1807706433100909,2.520421990796939,1.2829911174868645,0.1
24.3,252,0.4246031746031746,0.5674603174603174,0.007936507936507936,2.1131562666619566,2.561027286488118,-0.12252800764406303,,,,0.11484235342691827,,,dimless_chi_plus,-3.138576101987073,2.0,4,256,xi,-2.542016835794843,-1.1871714776882638,0.9259847889736926,1.611103165079398,1.2844259605176425,0.1
24.3,252,0.46825396825396826,0.5198412698412699,0.011904761904761904,0.005574100343316401,0.014490069763643863,-4.442418957623882e-05,,,,4.0197845052603036e-11,,,dimless_chi_center,-0.014645137038920229,2.0,4,256,xi,-0.0076126843271253734,-0.0025582158594285027,0.003015884483887898,0.00595810531263047,0.00466362293444505,0.1
24.3,248,0.43951612903225806,0.5604838709677419,0.0,4.792458036402875,3.588896193465623,-0.2961076134780428,-0.30846550754598245,-0.2316559379438779,-0.3683016193129139,0.8650079157781212,0.8650079157781212,0.8650079157781212,dimless_chi_split,-4.917113854251899,2.0,8,256,xi,-4.285311690148291,-2.8503832513701917,1.9420747850326836,2.8460516348583544,2.565115594844391,0.2
24.3,248,0.5604838709677419,0.43951612903225806,0.0,2.397946094851285,2.4606164597401077,0.14783034847139784,,,,-0.4331713551849912,,,dimless_chi_minus,-1.7919243656048431,2.0,8,256,xi,-1.4219376838140738,-0.9720622325058625,1.4258838623454229,2.144237299451715,1.2825559585806954,0.2
24.3,248,0.43951612903225806,0.5604838709677419,0.0,2.3945119415666722,1.7969718278839468,-0.14827726500664606,,,,0.4318365605931245,,,dimless_chi_plus,-2.4564973945434763,2.0,8,256,xi,-2.1410743906893552,-1.42449938903119,0.9700125525354821,1.42411395106134,1.2825641265123011,0.2
24.3,248,0.5040322580645161,0.4959677419354839,0.0,0.0025299557536077877,0.00576638271623131,-0.00022345826784226166,,,,-7.03164735743056e-05,,,dimless_chi_center,-0.006641064963360032,2.0,8,256,xi,-0.004269614280359368,-0.001443834463458443,0.0010861212901493444,0.0038573433330316383,0.0023997968826858437,0.2
24.3,248,0.4879032258064516,0.5120967741935484,0.0,4.760877645014244,3.1309916560830766,-0.36591375516936847,-0.3802865722830928,-0.2838874787021822,-0.46112855370483685,1.1633140495462517,1.1633140495462517,1.1633140495462517,dimless_chi_split,-3.703839622826918,2.0,8,256,xi,-3.538840626980862,-2.7623852338262016,1.998492411188042,2.6633792875831976,2.489272751714884,0.4
24.3,248,0.5120967741935484,0.4879032258064516,0.0,2.382869374130455,1.8517067661641564,0.1822550089085525,,,,-0.5818059430212523,,,dimless_chi_minus,-1.5653964899346275,2.0,8,256,xi,-1.3319178702837016,-0.9994050665406478,1.3834643075898074,1.7682317168230615,1.2445955699202784,0.4
24.3,248,0.4879032258064516,0.5120967741935484,0.0,2.3780082708745724,1.5655951661540741,-0.1836587462608167,,,,0.5815081065249951,,,dimless_chi_plus,-1.8521328566671496,2.0,8,256,xi,-1.7706089101568343,-1.3789209262307458,0.9990873446438266,1.3314614172957224,1.2446784877609636,0.4
24.3,248,0.782258064516129,0.21774193548387097,0.0,0.0014044000151416656,0.0042284806528291585,-0.000701868676286837,,,,-0.000522038755205817,,,dimless_chi_center,-0.003943447496592534,2.0,8,256,xi,-0.002804863826369069,-0.0014970332892056818,-9.263327406401621e-05,0.0012476930388368695,0.0012756067195789907,0.4
24.3,244,0.5122950819672131,0.48770491803278687,0.0,4.964349618336858,2.9727371062832675,-0.4336881287280078,-0.46639194618111035,-0.3010938703285084,-0.5469722290676506,-2.351516479904707,-2.364712402270926,-2.351516479901814,dimless_chi_split,-3.331690141817739,2.0,12,256,xi,-3.1311383001110054,-2.900236719850185,2.0641128984866732,2.3697124295038443,2.511708596598754,0.8
24.3,244,0.48770491803278687,0.5122950819672131,0.0,2.4818693922188375,1.6651074727244963,0.21563141442348696,,,,1.1764152036551225,,,dimless_chi_minus,-1.4863823526965125,2.0,12,256,xi,-1.1847140729330248,-1.0332292117903912,1.4486401804284461,1.5640312571545767,1.2557783797565183,0.8
24.3,244,0.5122950819672131,0.48770491803278687,0.0,2.482480226113128,1.4863547535938109,-0.21805671430452137,,,,-1.1751012762542472,,,dimless_chi_plus,-1.6665826690947156,2.0,12,256,xi,-1.5671070429557754,-1.4515965394155996,1.0308836866975282,1.1849983565661726,1.2559307115127654,0.8
24.3,244,0.9180327868852459,0.08196721311475409,0.0,0.0009922776563876107,0.0007458868706807785,-0.0012126499405027268,,,,-0.0012510870035603583,,,dimless_chi_center,-0.0029787665992272723,2.0,12,256,xi,-0.0023735856350941276,-0.0017298758422576927,-0.0007375981858700821,0.000341333543987228,0.00079185567707841,0.8
24.3,256,0.5078125,0.44921875,0.04296875,2.5967820656313245,5.757763995763983,-0.09716150149442704,-0.09716150149442704,-0.09716150149442704,-0.09716150149442704,-2.5457067009959644e-13,-2.5457067009959644e-13,-2.5457067009959644e-13,dimless_chi_split,-8.979912375085343,2.0,0,256,delta,-4.873281696479943,-1.338931901279771,1.2578501643515536,4.948390989790646,2.842737635976141,0.001
24.3,256,0.5078125,0.453125,0.0390625,1.2890466570057435,4.476724316813341,0.04867827787950925,,,,-2.475797344914099e-11,,,dimless_chi_minus,-2.892975614152027,2.0,0,256,delta,-2.4813332358177287,-0.622810729648815,0.6662359273569285,2.4401335581595296,1.4203079998195274,0.001
24.3,256,0.5234375,0.43359375,0.04296875,1.3077354086325488,2.879824463976055,-0.04848322361493407,,,,-3.608224830031759e-11,,,dimless_chi_plus,-4.503188058509577,2.0,0,256,delta,-2.4331481384970988,-0.6726959738940219,0.6350394347385269,2.467057754003632,1.4224702544526522,0.001
24.3,256,0.50390625,0.41796875,0.078125,0.005831184054783112,0.038240967147329386,9.752713346980468e-05,,,,-2.4980018054066022e-11,,,dimless_chi_center,-0.024292756056532028,2.0,0,256,delta,-0.013231870777119514,-0.0034859744939552684,0.0023452095608278434,0.012107943984984715,0.007674817795203129,0.001
24.3,256,0.5,0.4921875,0.0078125,3.4361298205793025,5.448669951950802,-0.07554816098621278,-0.07554816098621278,-0.07554816098621278,-0.07554816098621278,-3.4389537658524594e-16,-3.4389537658524594e-16,-3.4389537658524594e-16,dimless_chi_split,-6.974700686228938,2.0,0,256,delta,-4.615890680235147,-1.391137664623418,2.044992155955885,3.8134181752620258,2.533721443090367,0.002
24.3,256,0.484375,0.51171875,0.00390625,1.7180481416210203,3.481584218391065,0.03849526999422917,,,,2.958744360626042e-11,,,dimless_chi_minus,-2.716152304456654,2.0,0,256,delta,-1.9045928201608386,-1.0235975631469052,0.6944505784741151,2.3090296895544036,1.2652553493918912,0.002
24.3,256,0.484375,0.50390625,0.01171875,1.716939539985779,2.732517647742072,-0.037052890991985145,,,,1.7930101847696278e-11,,,dimless_chi_plus,-3.493116467933155,2.0,0,256,delta,-2.3068609906696516,-0.6955449471889863,1.0213945927967927,1.9088253550392509,1.268493816360663,0.002
24.3,256,0.3984375,0.58984375,0.01171875,0.005570198472054644,0.019120483596868354,0.0007211895009799803,,,,0.00027093026711000334,,,dimless_chi_center,-0.025475591089230143,2.0,0,256,delta,-0.006890392466513129,-0.0021714444464193683,0.0033987540256352755,0.010642936009414017,0.006143521875446238,0.002
24.3,252,0.4246031746031746,0.5714285714285714,0.003968253968253968,4.000112328033947,5.038699237840869,-0.25132697278336213,-0.2383538511648162,-0.23835385116481617,-0.2936524595315027,0.24132256532782098,0.2575084356552638,0.1974613616636529,dimless_chi_split,-6.456055005834465,2.0,4,256,delta,-4.770812617604177,-2.4374693010489574,1.5626430269849896,3.3006827245410615,2.5843537663515845,0.004
