shape_n,scale_a0,placement_x,placement_y,symmetry_class,n_events,J_gap,V_gap,abs_variation_gap,largest_event_frac,telescope_sum_delta_gap,gap_span_direct,telescope_residual
2.0,24.3,0.0,0.0,C4v,12,0.09277869074901719,0.0008454347866142764,0.09277869074901719,0.12457891592153358,0.000879322791734527,0.000879322791734527,0.0
2.0,33.7,0.0,0.0,C4v,14,0.056019268225230665,0.0002568905080806368,0.056019268225230665,0.10768005314552849,0.00027885387434301023,0.00027885387434301023,0.0
2.0,24.3,0.5,0.5,C4v,10,0.08235226888303883,0.0007427306771059655,0.08235226888303883,0.1392936491996463,0.0007864569151418976,0.0007864569151418976,0.0
2.0,33.7,0.5,0.5,C4v,14,0.06353503446932324,0.00030980409936506105,0.06353503446932324,0.09364952914871195,0.0003166550121576073,0.0003166550121576073,0.0
2.0,24.3,0.5,0.3,Cs_axis,23,0.08589317391402426,0.00038965365286865693,0.08972978028348358,0.06622422644704791,0.0008158839182268451,0.0008158839182268451,0.0
2.0,33.7,0.5,0.3,Cs_axis,28,0.0633100871941473,0.00015374541801156148,0.0633100871941473,0.04774386961317071,0.0003154476662103889,0.0003154476662103889,0.0
2.0,24.3,0.0,0.4,Cs_axis,16,0.06837959511522523,0.00031163486239220065,0.06837959511522523,0.08807749725650167,0.0006512113168262168,0.0006512113168262168,0.0
2.0,33.7,0.0,0.4,Cs_axis,36,0.06308434417886678,0.00016232352187256713,0.07140592033269769,0.04263416723164936,0.00031419046079816937,0.00031419046079816937,0.0
2.0,24.3,0.31,0.17,C1,47,0.07113604616699294,0.00017640476304412456,0.08032798994447726,0.038172438916435694,0.0006761103510566357,0.0006761103510566357,0.0
2.0,33.7,0.31,0.17,C1,53,0.056540100974808674,6.827161950249775e-05,0.057130362639947044,0.027075887369063613,0.00028181663990656247,0.00028181663990656247,0.0
2.0,24.3,0.23,0.41,C1,31,0.06575884734764108,0.00016068763844515714,0.06632970655309403,0.045076898883544776,0.0006246449626314821,0.0006246449626314821,0.0
2.0,33.7,0.23,0.41,C1,53,0.057320458336631984,6.9179400469448e-05,0.05736327403711974,0.02651389422102284,0.0002854549061854783,0.0002854549061854783,0.0
2.0,24.3,0.6875,0.75,C1,45,0.07265186798079278,0.00018469956282914633,0.0821201208441058,0.03775518239707318,0.0006916624536348337,0.0006916624536348337,0.0
2.0,33.7,0.6875,0.75,C1,59,0.0545055755213278,7.458076377632183e-05,0.0625747975089786,0.02432891993646528,0.00027164090476938796,0.00027164090476938796,0.0
2.0,24.3,0.13,0.62,C1,34,0.06948327824763258,0.00016433064633525937,0.0703725688748417,0.043303226602769265,0.0006611516145120788,0.0006611516145120788,0.0
2.0,33.7,0.13,0.62,C1,63,0.058555123753769284,7.030803356148614e-05,0.06194798096946613,0.024548005322997037,0.0002916773797623229,0.0002916773797623229,0.0
4.0,24.3,0.0,0.0,C4v,15,0.11900661838145626,0.0011519575892596327,0.11900661838145626,0.10487933647586357,0.0009709611262516127,0.0009709611262516127,0.0
4.0,33.7,0.0,0.0,C4v,18,0.07185861483822117,0.00035607802300164813,0.07185861483822117,0.08703470457151634,0.000313350479478558,0.000313350479478558,0.0
4.0,24.3,0.5,0.5,C4v,15,0.10492632701544885,0.0009466743228864889,0.10492632701544885,0.1107452083934302,0.0008800472929331171,0.0008800472929331171,0.0
4.0,33.7,0.5,0.5,C4v,22,0.08490259021973402,0.0004276390829797491,0.08490259021973402,0.07714390430064937,0.0003649432689729615,0.0003649432689729615,0.0
4.0,24.3,0.5,0.3,Cs_axis,30,0.10567134434348577,0.0004842387442403086,0.10567134434348577,0.05536510286816737,0.0008848670273602366,0.0008848670273602366,0.0
4.0,33.7,0.5,0.3,Cs_axis,33,0.054581510552398654,0.00012421544870172346,0.054581510552398654,0.06018105541601173,0.00023636215182287756,0.00023636215182287756,0.0
4.0,24.3,0.0,0.4,Cs_axis,15,0.01791387728485892,2.931823024540331e-05,0.01791387728485892,0.13023007151260582,0.0001480249908714093,0.0001480249908714093,0.0
4.0,33.7,0.0,0.4,Cs_axis,61,0.07742250951669458,0.00036077742474426234,0.13351388787057364,0.02467957463422029,0.0003351208908886072,0.0003351208908886072,0.0
4.0,24.3,0.31,0.17,C1,75,0.05750258000481464,0.00034787808234592075,0.1449025070300024,0.02139434539133506,0.00047615286208557706,0.00047615286208557706,0.0
4.0,33.7,0.31,0.17,C1,53,0.03487040983069564,3.196568361989657e-05,0.03487040983069564,0.043242237876076506,0.0001514573929886076,0.0001514573929886076,0.0
4.0,24.3,0.23,0.41,C1,29,0.024668060729011964,3.0835185158838605e-05,0.024668060729011964,0.0975998770838748,0.00020432865803066136,0.00020432865803066136,0.0
4.0,33.7,0.23,0.41,C1,106,0.05360982002246329,0.00014326426437267665,0.11036687091938589,0.015340939101082444,0.00023220241464150249,0.00023220241464150249,0.0
4.0,24.3,0.6875,0.75,C1,70,0.0579014579095813,0.0003016821837687152,0.1287078249585847,0.025006965360842688,0.00048016557643615343,0.00048016557643615343,0.0
4.0,33.7,0.6875,0.75,C1,58,0.03965285870689693,3.832391429727741e-05,0.0396588856296648,0.0377650843784512,0.0001722568100479549,0.0001722568100479549,0.0
4.0,24.3,0.13,0.62,C1,25,0.017574746025206103,1.6976359646782673e-05,0.017651193595063674,0.08949419496792936,0.00014528612003150698,0.00014528612003150698,0.0
4.0,33.7,0.13,0.62,C1,99,0.05480675987525648,0.0001331152819223467,0.10175905977851755,0.0164389610935949,0.00023743584560165232,0.00023743584560165232,0.0
