shape_n,scale_a0,placement_x,placement_y,symmetry_class,theta,event_index,delta_event,xi_event,delta_left,delta_right,event_type,added_count,removed_count,net_site_change,changed_edge_count,event_rank,max_row_length,max_column_length,local_normal_angle,axis_aligned_normal,flatness_proxy,E0_before,E1_before,E2_before,E3_before,E0_after,E1_after,E2_after,E3_after,gap_before,gap_after,center_before,center_after,delta_E0,delta_E1,delta_E2,delta_gap,delta_center,eta_E0,eta_E1,eta_E2,eta_gap,eta_center,projector_distance,principal_angle_1,principal_angle_2,frozen_mode_shift_1,frozen_mode_shift_2,relaxation_residual_1,relaxation_residual_2,bare_event_size,boundary_weight_mode1,boundary_weight_mode2,changed_bond_weight,schur_predictor,K_ref
2.0,24.3,0.0,0.0,C4v,0.0,0,0.0040492622005,0.09839707147215,0.0,0.0040492622005,MULTI_ADD,4,0,4,8,4,1,1,-170.46198992251058,0,9.538010077489417,-3.9905223625744703,-3.9759617751561933,-3.975961775156193,-3.9569197104844163,-3.9905438351535643,-3.976068709184488,-3.97596407108342,-3.957102761338948,4.440892098500626e-16,0.00010463810106831062,-3.9759617751561933,-3.976016390133954,-2.147257909390632e-05,-0.00010693402829486942,-2.295927227002892e-06,0.00010463810106786653,-5.461497776071411e-05,-0.002265604615351314,-0.011282772646147465,-0.00024224678829962582,0.011040525857847839,-0.005762509717200117,0.013656042098367321,0.06632834519827689,0.5492822105243099,1.0408340855860843e-16,-3.5041414214731503e-16,-0.0001069340282949735,-2.2959272266524777e-06,4,0.00010946237719112575,8.442600591067838e-05,0.0,-2.5036371280447368e-05,0.00947763742552965
2.0,24.3,0.0,0.0,C4v,0.0,1,0.007495064687500001,0.18213007190625002,0.0040492622005,0.007495064687500001,MULTI_ADD,4,0,4,8,4,1,1,-160.55191161348063,0,19.448088386519373,-3.9905438351535643,-3.976068709184488,-3.97596407108342,-3.957102761338948,-3.9905652935420055,-3.976166162170575,-3.975975081795614,-3.957231393083059,0.00010463810106831062,0.0001910803749609613,-3.976016390133954,-3.9760706219830944,-2.1458388441253362e-05,-9.745298608665465e-05,-1.1010712194003958e-05,8.644227389265069e-05,-5.42318491403293e-05,-0.0022641073379164613,-0.01028241340232622,-0.0011617570602927589,0.009120656342033462,-0.00572208523130949,0.012384300999652183,0.16144320278661808,0.47506297861746183,8.326672684688674e-16,8.916478666520788e-16,-9.745298608748731e-05,-1.1010712194895605e-05,4,0.00016810647860088964,2.0146090725202683e-05,0.0,-0.00014796038787568696,0.00947763742552965
2.0,24.3,0.0,0.0,C4v,0.0,2,0.0130691212545,0.31757964648435,0.007495064687500001,0.0130691212545,MULTI_REMOVE,0,4,-4,8,4,1,1,-96.94182689655527,0,6.94182689655527,-3.9905652935420055,-3.976166162170575,-3.975975081795614,-3.957231393083059,-3.9905432564640564,-3.97616493762821,-3.9758643121731096,-3.9570541657240823,0.0001910803749609613,0.0003006254551003451,-3.9760706219830944,-3.97601462490066,2.2037077949121908e-05,1.2245423648415965e-06,0.0001107696225042254,0.0001095450801393838,5.5997082434533496e-05,0.0023251657517263996,0.00012920333516273588,0.011687472049294514,0.011558268714131778,0.005908337692228625,0.014351505813775636,0.045835419676701496,0.579640718137942,1.5129908280710203e-06,0.0001409230992026056,-2.8844846322942375e-07,-3.01534766983802e-05,4,3.815787617764866e-06,0.0003065238754261539,0.0002788102285946174,0.00030270808780838903,0.00947763742552965
2.0,24.3,0.0,0.0,C4v,0.0,3,0.0172726016695,0.41972422056885,0.0130691212545,0.0172726016695,MULTI_REMOVE,0,4,-4,8,4,1,1,-113.70045107888583,0,23.700451078885834,-3.9905432564640564,-3.97616493762821,-3.9758643121731096,-3.9570541657240823,-3.990520611590456,-3.9761457489270904,-3.975769013168468,-3.956977425083882,0.0003006254551003451,0.000376735758622182,-3.97601462490066,-3.9759573810477793,2.2644873600263793e-05,1.918870111961013e-05,9.529900464144703e-05,7.61103035218369e-05,5.724385288052858e-05,0.002389295199167033,0.0020246291621076424,0.010055143530258156,0.008030514368150513,0.0060398863461829,0.01260213701934969,0.21899198633854391,0.46122110543087813,2.4088643783348046e-05,0.00011929958298264806,-4.899942663737916e-06,-2.4000578341201034e-05,4,5.188435617488715e-05,0.00024883952825908247,0.00019041501108630794,0.00019695517208419532,0.00947763742552965
2.0,24.3,0.0,0.0,C4v,0.0,4,0.018000934490499998,0.43742270811914996,0.0172726016695,0.018000934490499998,MULTI_REMOVE,0,4,-4,8,4,1,1,-118.85657666120926,0,28.85657666120926,-3.990520611590456,-3.9761457489270904,-3.975769013168468,-3.956977425083882,-3.9905003516010753,-3.976120828586288,-3.975691808996657,-3.9569406326274446,0.000376735758622182,0.0004290195896308191,-3.9759573810477793,-3.9759063187914725,2.0259989380821963e-05,2.4920340802481178e-05,7.720417181111827e-05,5.2283831008637094e-05,5.1062256306799725e-05,0.002137662422730816,0.0026293832190028648,0.008145930082021868,0.005516546863019003,0.005387656650512366,0.011628905016330416,0.24388806882435624,0.40310166426397787,3.115941498146521e-05,9.629279697562915e-05,-6.239074178984033e-06,-1.9088625164510875e-05,4,6.554888154990916e-05,0.00019777564539786335,0.0001302625880580493,0.00013222676384795417,0.00947763742552965
2.0,24.3,0.0,0.0,C4v,0.0,5,0.0185489676735,0.45073991446605,0.018000934490499998,0.0185489676735,MULTI_REMOVE,0,4,-4,8,4,1,1,-94.58932148838555,1,4.589321488385551,-3.9905003516010753,-3.976120828586288,-3.975691808996657,-3.9569406326274446,-3.9904797561311427,-3.9761203886341314,-3.975587328743942,-3.956781387257665,0.0004290195896308191,0.0005330598901895911,-3.9759063187914725,-3.9758538586890366,2.059546993260497e-05,4.3995215648351405e-07,0.00010448025271525552,0.000104040300558772,5.2460102435869516e-05,0.0021730594881301875,4.6420023971209016e-05,0.01102387103708145,0.010977451013110241,0.00553514553052633,0.014287373773286404,0.025104436177336632,0.5783071795961965,5.31374856956035e-07,0.00013570701905477045,-9.142270047252099e-08,-3.122676633951493e-05,4,1.5000904664228985e-06,0.00029801642824222967,0.00027034202435538595,0.00029651633777580676,0.00947763742552965
2.0,24.3,0.0,0.0,C4v,0.0,6,0.0210067252705,0.51046342407315,0.0185489676735,0.0210067252705,MULTI_ADD,4,0,4,8,4,1,1,-167.73639895002276,0,12.26360104997724,-3.9904797561311427,-3.9761203886341314,-3.975587328743942,-3.956781387257665,-3.9905008474679025,-3.976223659224089,-3.9755912185002584,-3.9569760965085945,0.0005330598901895911,0.0006324407238307295,-3.9758538586890366,-3.9759074388621736,-2.1091336759759827e-05,-0.00010327058995773797,-3.889756316599602e-06,9.938083364113837e-05,-5.358017313694674e-05,-0.002225379154402623,-0.010896237672013157,-0.0004104141298043194,0.010485823542208837,-0.00565332590088531,0.013113832684348355,0.09014876997189175,0.5236002502203825,-3.677613769070831e-16,-8.673617379884035e-17,-0.00010327058995737021,-3.889756316512866e-06,4,0.00018225478741377193,7.663432476788754e-06,0.0,-0.00017459135493698316,0.00947763742552965
2.0,24.3,0.0,0.0,C4v,0.0,7,0.0237305618525,0.57665265301575,0.0210067252705,0.0237305618525,MULTI_REMOVE,0,4,-4,8,4,1,1,-92.27416843654032,1,2.2741684365403216,-3.9905008474679025,-3.976223659224089,-3.9755912185002584,-3.9569760965085945,-3.9904849667403877,-3.9762235825206527,-3.975510934971342,-3.9568617359763736,0.0006324407238307295,0.0007126475493106632,-3.9759074388621736,-3.975867258745997,1.58807275147943e-05,7.670343649124334e-08,8.028352891642498e-05,8.020682547993374e-05,4.0180116176458114e-05,0.0016755998147826193,8.09309673364687e-06,0.008470837753316819,0.008462744656583173,0.004239465425025233,0.012210218664690351,0.008858327272051722,0.4946144832711987,8.308954880034691e-08,0.00011320572075385407,-6.386112309103575e-09,-3.292219183742909e-05,4,3.3038262280259946e-07,0.0002577449113952305,0.00022623881548837537,0.00025741452877242794,0.00947763742552965
2.0,24.3,0.0,0.0,C4v,0.0,8,0.02491809587,0.605509729641,0.0237305618525,0.02491809587,MULTI_REMOVE,0,2,-2,2,2,1,1,-90.0,1,0.0,-3.9904849667403877,-3.9762235825206527,-3.975510934971342,-3.9568617359763736,-3.9904813221779745,-3.976223582520653,-3.975492652257796,-3.956836300008574,0.0007126475493106632,0.00073093026285731,-3.975867258745997,-3.9758581173892242,3.6445624131964394e-06,-4.440892098500626e-16,1.82827135462027e-05,1.828271354664679e-05,9.141356772879305e-06,0.000384543346570653,-4.6856530790451194e-14,0.0019290370295190929,0.0019290370295659495,0.0009645185147361182,0.003870884646435909,0.0,0.1568261230033476,-9.71445146547012e-17,2.0157885924233093e-05,-3.469446951953614e-16,-1.875172378030393e-06,2,1.1358109404763808e-29,8.013748957960874e-05,4.0315567427906646e-05,8.013748957960874e-05,0.00947763742552965
2.0,24.3,0.0,0.0,C4v,0.0,9,0.026534629755,0.6447915030465,0.02491809587,0.026534629755,MULTI_REMOVE,0,4,-4,8,4,1,1,-106.0881219271441,0,16.0881219271441,-3.9904813221779745,-3.976223582520653,-3.975492652257796,-3.956836300008574,-3.990460897285355,-3.9762153537443794,-3.975397190753407,-3.9567391179646565,0.00073093026285731,0.0008181629909724819,-3.9758581173892242,-3.975806272248893,2.0424892619441692e-05,8.228776273710992e-06,9.54615043888829e-05,8.723272811517191e-05,5.18451403310749e-05,0.002155061615294939,0.0008682307524811368,0.01007228912679661,0.009204058374315472,0.005470259939615444,0.012099593527250816,0.13620617339920507,0.47090827096658894,1.0302480682417708e-05,0.00011951745616770038,-2.073704408706717e-06,-2.4055951778817475e-05,4,2.3007464689509347e-05,0.00025485878540520236,0.00021842281833386613,0.000231851320715693,0.00947763742552965
