n,candidate_rank,candidate_type,a,b,aspect_ratio,Ekin_target,Ekin_pred,dE1_pred,Q_pred,E0_Kwant,E1_Kwant,E2_Kwant,E3_Kwant,Ekin_Kwant,dE1_Kwant,Q_Kwant,Ekin_error,dE1_error,Q_error,passes_Ekin_constraint_pred,passes_Ekin_constraint_Kwant,geometry_hash,N_sites,N_A,N_B,imbalance_ratio,Q_gain_vs_isotropic_same_n,Q_gain_vs_best_training,Q_gain_vs_random_best_of_5,beats_isotropic_same_n,beats_best_training,beats_random_best_of_5,meaningful_gain_vs_isotropic,meaningful_gain_vs_best_training,meaningful_gain_vs_random_best_of_5,failure_mode
1.2,1,inverse_candidate,26.994275135346882,26.994275135346882,1.0,0.010689289799576063,0.01068928979957606,0.016158421113112796,1.5116459012790209,-3.989309478283279,-3.9731023310610145,-3.97310233106093,-3.955561003239388,0.010690521716720802,0.016207147222264684,1.5160295869298364,1.231917144742939e-06,4.872610915188785e-05,0.004383685650815483,True,True,b643817a42134e574c5b1e9c260c390e9dc528531f43823c3e66d2a43e568c91,1717,865,852,0.007571345369831101,-6.856737400084967e-12,0.00010316911211605273,0.04805984390814633,False,True,True,False,False,True,candidate_not_better_than_isotropic
1.2,2,inverse_candidate,27.398335465272964,26.71337707864114,0.975,0.010689289799576063,0.010689289799576063,0.01587634066953486,1.4852568287712171,-3.989399537491345,-3.973581475585058,-3.9731017300571585,-3.956116341621476,0.010600462508655095,0.015818061906287095,1.492204881944719,8.882729092096753e-05,5.8278763247765486e-05,0.006948053173501778,True,True,00ce3574bff47f42a57074714d8b424b9da609e60e3eb212677e0bde9ba816ed,1731,869,862,0.004043905257076834,-0.0238247049919742,-0.02372153587300141,0.024235138923028865,False,False,True,False,False,False,candidate_not_better_than_isotropic
1.2,3,inverse_candidate,27.819061890636277,26.42810879610446,0.95,0.010689289799576063,0.010689289799576063,0.015594972562446007,1.4589343964708024,-3.9893912863385435,-3.9738881298535995,-3.9727790043242477,-3.956373588590949,0.010608713661456548,0.015503156484943936,1.4613606304852793,8.05761381195147e-05,9.18160775020705e-05,0.0024262340144769468,True,True,c9549cae5c00b111181ace4177e7cb91785110c792b39d38dd583471a4fecbc5,1735,873,862,0.006340057636887608,-0.054668956451413786,-0.054565787332440996,-0.006609112536410722,False,False,False,False,False,False,candidate_not_better_than_isotropic
1.2,4,inverse_candidate,28.25758505895529,26.138266179533645,0.925,0.010689289799576063,0.01068928979957605,0.015314337855140626,1.4326805748823472,-3.9893849810355784,-3.9740277965853803,-3.972613903280319,-3.956506103279978,0.01061501896442163,0.01535718445019807,1.4467411223353213,7.427083515442086e-05,4.2846595057443454e-05,0.014060547452974026,True,True,cc62212c9b6e0c5d581d5bb835a2be6a5648f96292f4df6a743283576711b5ea,1737,879,858,0.012089810017271158,-0.06928846460137184,-0.06918529548239905,-0.02122862068636877,False,False,False,False,False,False,candidate_not_better_than_isotropic
1.2,5,inverse_candidate,28.809058147471543,25.78410704198703,0.895,0.010689289799576063,0.010689289799576049,0.014978575193618301,1.4012694458159765,-3.989387627484675,-3.9741986597942827,-3.9724640393976607,-3.9567422832123844,0.010612372515324875,0.015188967690392463,1.4312508978043055,7.691728425117395e-05,0.00021039249677416196,0.029981451988329022,True,True,2b74e2221fe8f80707fbc43101c6467873e2c5326206a6a2a544b6124d7dec16,1739,881,858,0.013225991949396205,-0.08477868913238762,-0.08467552001341483,-0.036718845217384555,False,False,False,False,False,False,candidate_not_better_than_isotropic
1.2,,isotropic_same_n_baseline,26.994275135346882,26.994275135346882,1.0,0.010689289799576063,0.01068928979957606,0.016158421113112796,1.5116459012790209,-3.9893094782833085,-3.973102331061015,-3.9731023310609213,-3.9555610032393775,0.010690521716691492,0.01620714722229355,1.516029586936693,1.231917115433051e-06,4.872610918075365e-05,0.0043836856576722205,True,True,b643817a42134e574c5b1e9c260c390e9dc528531f43823c3e66d2a43e568c91,1717,865,852,0.007571345369831101,0.0,0.00010316911897279013,0.048059843915003064,False,False,False,False,False,False,ok
1.2,,best_training_baseline,27.0,27.0,1.0,0.010689289799576063,0.010689289799576063,0.016204176794886838,1.5159264178177203,-3.989310710200424,-3.973106533405537,-3.9731065334054456,-3.9555771094381025,0.010689289799576063,0.016204176794886838,1.5159264178177203,0.0,0.0,0.0,True,True,07a17a912adb2eb5265aef7be17413afaed0b30846c24281605bf13c2fa6f2be,1721,865,856,0.005229517722254503,-0.00010316911897279013,0.0,0.047956674796030274,False,False,False,False,False,False,ok
1.2,,random_feasible_baseline,28.250323911049627,26.143005011728516,0.9254054960234679,0.010689289799576063,0.01068928979957605,0.015318883739720693,1.4331058495886468,-3.989384981035554,-3.974027796585378,-3.9726139032803136,-3.956506103279968,0.010615018964446055,0.015357184450175865,1.4467411223299007,7.427083512999595e-05,3.8300710455171916e-05,0.013635272741253868,True,True,cc62212c9b6e0c5d581d5bb835a2be6a5648f96292f4df6a743283576711b5ea,1737,879,858,0.012089810017271158,-0.06928846460679239,-0.0691852954878196,-0.021228620691789324,False,False,False,False,False,False,ok
1.2,,random_feasible_baseline,30.436453361991404,24.800531796356214,0.8148298851181772,0.010689289799576063,0.010689289799576061,0.014086949593231556,1.3178564579463685,-3.989446668515517,-3.975314816125678,-3.971651066751777,-3.9583945402008913,0.010553331484482786,0.01413185238983905,1.3390892165775314,0.00013595831509327465,4.490279660749469e-05,0.021232758631162918,True,True,6abd3a79cbf38227e1b08074f1a277472f5945a9f67e8ea9699e820d44a23b1d,1769,879,890,0.006218202374222725,-0.17694037035916166,-0.17683720124018887,-0.1288805264441586,False,False,False,False,False,False,ok
1.2,,random_feasible_baseline,27.761894516387887,26.466449937887937,0.9533373135707562,0.010689289799576063,0.010689289799576066,0.01563249115817393,1.4624443205566295,-3.9893684496440227,-3.9737616554000366,-3.9727744644323812,-3.956153965035337,0.010631550355977293,0.015606794243986144,1.46796974302169,5.773944359877339e-05,2.5696914187786635e-05,0.005525422465060492,True,True,cadcd6d4e3af948193f605c7603e2bbb4ac963a98850214958ed74a0d4213e0b,1731,869,862,0.004043905257076834,-0.048059843915003064,-0.047956674796030274,0.0,False,False,False,False,False,False,ok
