n,requested_aspect_ratio,surrogate_a_root,selected_a,selected_b,Ekin_target,E0_Kwant,E1_Kwant,E2_Kwant,E3_Kwant,Ekin_Kwant,abs_Ekin_error,dE1_Kwant,dE2_Kwant,Q_Kwant,S_Kwant,geometry_hash,N_sites,N_A,N_B,imbalance_ratio,n_local_candidates,n_unique_local_geometries,failure_mode
1.2,0.9,28.715144408004033,28.515144408004,25.6636299672036,0.010689289799576063,-3.989287232009651,-3.9740761762181087,-3.9720562699728625,-3.9563319136997306,0.010712767990348926,2.3478190772863172e-05,0.01521105579154236,0.0020199062452461725,1.4198996753449638,0.1885512919784966,6ac0fc7487bfd2ce3cc75604f6a59588e4c36941c2ee71e4d37374300abec8fa,1723,869,854,0.008705745792222866,9,7,ok
1.2,0.94,27.992268716072033,27.892268716072,26.218732593107678,0.010689289799576063,-3.9893208490345313,-3.9738379887195663,-3.972475155153255,-3.9561662513542792,0.010679150965468676,1.013883410738714e-05,0.015482860314965041,0.0013628335663113944,1.4498212793347796,0.1276162843580125,6c1aec141da984a20cbad2a6cfe36f3bc2ca362f9d2c63145690bf56baf95292,1723,869,854,0.008705745792222866,9,8,ok
1.2,0.97,27.481112747349123,27.381112747349,26.55967936492853,0.010689289799576063,-3.9892981137270356,-3.9733983667633597,-3.9727511086262384,-3.9555967530111142,0.010701886272964423,1.2596473388359897e-05,0.01589974696367591,0.0006472581371212982,1.4856957510231212,0.06048075270211292,1ad8f72e71b70f5f3be71642c48e2f8dac90b558fd42a2ae84d3f71b1e74483c,1715,857,858,0.0005830903790087463,9,8,ok
1.2,0.985,27.234771345565697,27.184771345566,26.776999775382507,0.010689289799576063,-3.989317794813391,-3.9733251095727633,-3.972941137330228,-3.9557217256262778,0.010682205186609117,7.084612966945514e-06,0.01599268524062758,0.0003839722425351688,1.4971333129488578,0.03594503530193415,ccf475dbae1b717d37f70d312ea44dd61d17ceee17cead72d35f51d366ca7b1e,1719,861,858,0.0017452006980802793,9,9,ok
1.2,0.995,27.073804842604154,27.023804842604,26.888685818390982,0.010689289799576063,-3.9893041942539047,-3.9731065049009207,-3.9730630377152796,-3.95549626587376,0.0106958057460953,6.515946519236593e-06,0.016197689352984046,4.346718564107732e-05,1.5143963659677824,0.0040639468098928235,d52b57758f9e92ff460c2d95ab2640e4870f02326451ca96185a23e62e4a53ca,1715,861,854,0.004081632653061225,9,9,ok
1.2,1.0,26.994275135346882,26.994275135347,26.994275135347,0.010689289799576063,-3.989309478283316,-3.973102331061001,-3.973102331060927,-3.9555610032393878,0.010690521716683943,1.231917107880065e-06,0.016207147222314866,7.416289804496046e-14,1.5160295869397575,6.9372571339731396e-12,b643817a42134e574c5b1e9c260c390e9dc528531f43823c3e66d2a43e568c91,1717,865,852,0.007571345369831101,9,8,ok
2.0,0.9,28.70209540202091,28.502095402021,25.6518858618189,0.007727409624868287,-3.9922875989815125,-3.981441285822537,-3.9794353085492826,-3.966060412582758,0.007712401018487469,1.5008606380817469e-05,0.010846313158975551,0.0020059772732543557,1.4063471457171057,0.26009763605987407,1fe9eb83edd768e9561700f673ece036c621883ad5e512465f3d288870d0a2ac,2303,1153,1150,0.0013026487190620929,9,9,ok
2.0,0.94,27.955027996383723,27.855027996384,26.183726316600957,0.007727409624868287,-3.992298045305616,-3.9810051919778093,-3.9799202645846417,-3.965346043058931,0.00770195469438395,2.5454930484336558e-05,0.011292853327806718,0.0010849273931676784,1.466232115860296,0.14086390224533224,b669a38797cb613041716d899219c90081b70c5a9412c9ca853adb7990a9c275,2299,1145,1154,0.0039147455415398,9,9,ok
2.0,0.97,27.427152104297907,27.377152104298,26.55583754116906,0.007727409624868287,-3.9922792594936074,-3.9807095831106336,-3.9801196746260405,-3.965056088683283,0.007720740506392598,6.669118475688407e-06,0.011569676382973793,0.0005899084845930602,1.4985190051905466,0.0764056872659597,3cdbf9dc5da0459312f8752493e8f7993352f8b908dc3f2df95f60ac48fe2018,2291,1145,1146,0.00043649061545176777,9,8,ok
2.0,0.985,27.172871452879612,27.22287145288,26.8145283810868,0.007727409624868287,-3.9922795898362518,-3.9805937575654498,-3.980236697213172,-3.964937740268793,0.007720410163748248,6.999461120038575e-06,0.011685832270801999,0.0003570603522775606,1.5136284242608873,0.0462488837645134,4d44db0cb0569c0f0477d6ff083a62e80375052bea6e60e639e1fa14a633783c,2291,1149,1142,0.0030554343081623746,9,9,ok
2.0,0.995,27.006759840383697,27.056759840384,26.92147604118208,0.007727409624868287,-3.9922803050419766,-3.9804479069152556,-3.980386018803719,-3.9648700214226547,0.007719694958023382,7.714666844904627e-06,0.011832398126720989,6.188811153684526e-05,1.5327546219197576,0.008016911532562891,4a20fd13b102cc1b6cb76e0016dd988ca228d6c7cc91bf64847c9cb7eb9a0a62,2291,1141,1150,0.00392841553906591,9,9,ok
2.0,1.0,26.924700642325856,26.974700642326,26.974700642326,0.007727409624868287,-3.992267997670109,-3.98038597961154,-3.980385979611475,-3.9648697433473328,0.007732002329890797,4.592705022510302e-06,0.011882018058569255,6.483702463810914e-14,1.5367323432683277,8.385541270138865e-12,9001ddc3f0fbf2c8d94a38c8777148d6f2843bc180ce3bae5ee09b87ff180fd1,2285,1137,1148,0.004814004376367615,9,8,ok
3.0,0.9,28.576254088983085,28.276254088983,25.4486286800847,0.007053480364534792,-3.992972587405913,-3.983249286419203,-3.9812106022801625,-3.969694966819446,0.00702741259408679,2.606777044800168e-05,0.00972330098671037,0.002038684139040292,1.3836246067140034,0.2901045173803714,8c61908a6b1460984f97e4d71f179af22b5581b386d844d2cb29aa0f9535151d,2555,1277,1278,0.0003913894324853229,9,9,ok
3.0,0.94,27.844284740132437,27.744284740132,26.079627655724078,0.007053480364534792,-3.992982235486919,-3.9828038020995136,-3.9817077683563804,-3.969758674635371,0.007017764513081115,3.571585145367706e-05,0.010178433387405317,0.0010960337431331624,1.4503811532052286,0.15617989761414125,3bab1e4ab04d79f8d8a73621348d45758328aa2babb56ac81fd5119eba9d2c46,2551,1281,1270,0.00431203449627597,9,9,ok
3.0,0.97,27.326897466929825,27.12689746693,26.3130905429221,0.007053480364534792,-3.99294422232492,-3.9824443391198647,-3.9818548869510266,-3.9694427071578984,0.007055777675080144,2.2973105453516496e-06,0.010499883205055127,0.0005894521688381005,1.4881255743274058,0.08354177186165451,992b25182e7ac5af3d9285f7dc27ae1b870d9855d3665509840bf11ef37e989b,2531,1269,1262,0.002765705254839984,9,8,ok
3.0,0.985,27.07761408888923,27.027614088889,26.622199877555662,0.007053480364534792,-3.9929614470317456,-3.982321422654031,-3.98209869181352,-3.9697811554215994,0.007038552968254397,1.49273962803953e-05,0.010640024377714496,0.00022273084051116498,1.511677815838514,0.031644407808783394,1d0b2e7ab86c0f339ec381b502c92ebc0ffacec0023e32fdca324986873ca28b,2543,1277,1266,0.004325599685410932,9,9,ok
3.0,0.995,26.914747171348765,26.964747171349,26.829923435492255,0.007053480364534792,-3.992928454378008,-3.9821406151105823,-3.9821406151104854,-3.9698370828761975,0.007071545621991859,1.806525745706722e-05,0.01078783926742588,9.681144774731365e-14,1.5255277762582324,1.369028115243136e-11,fac5256eac28d31c8bd4e01915b3287449ff0a494e2103f0c5a5831db19ceb8c,2533,1273,1260,0.005132254243979471,9,8,ok
3.0,1.0,26.834284998222778,26.834284998223,26.834284998223,0.007053480364534792,-3.9929284543780184,-3.982140615110611,-3.9821406151104632,-3.9698370828761695,0.007071545621981645,1.8065257446853167e-05,0.010787839267407229,1.4788170688007085e-13,1.5255277762577983,2.0912218457643247e-11,fac5256eac28d31c8bd4e01915b3287449ff0a494e2103f0c5a5831db19ceb8c,2533,1273,1260,0.005132254243979471,9,6,ok
4.0,0.9,28.55687508747837,28.256875087478,25.431187578730203,0.006858160651241896,-3.9932255693764827,-3.9839923425851227,-3.981885835238673,-3.971681331700573,0.006774430623517347,8.373002772454896e-05,0.00923322679135996,0.002106507346449682,1.3629524464103204,0.3109497260385204,a2f65d95ea81c5c753686ecc7969ab0c88cb8a9d9da4c62552245505a5b8cd8e,2691,1341,1350,0.0033444816053511705,9,9,ok
4.0,0.94,27.836502640956045,27.636502640956,25.978312482498637,0.006858160651241896,-3.993075826227268,-3.9833358628552697,-3.981846062893459,-3.9713554155464657,0.006924173772731912,6.601312149001615e-05,0.00973996337199834,0.001489799961810867,1.4066607355169636,0.21515923931283298,0cd3a83434680582d88d801604e1455a9a31f07ca6efb54238ed5a78e79993fd,2637,1315,1322,0.0026545316647705727,9,8,ok
4.0,0.97,27.3271880071734,27.027188007173,26.21637236695781,0.006858160651241896,-3.9931451444982806,-3.982964895894597,-3.982467824063407,-3.9711129687169353,0.006854855501719381,3.3051495225144834e-06,0.010180248603683495,0.0004970718311900768,1.4851149818008587,0.07251383068036925,0d1503308eeedfb0b47122c38ebdff60bfa61fcec9eefd8990fc1005d778a7e6,2639,1321,1318,0.0011367942402425162,9,8,ok
4.0,0.985,27.081755414772125,26.981755414772,26.577029083550418,0.006858160651241896,-3.993103311625737,-3.9826758101341584,-3.9826434661077847,-3.9714657077323845,0.00689668837426316,3.852772302126439e-05,0.01042750149157845,3.2344026373642976e-05,1.5119577579424155,0.004689790899403744,7904ee526cdcf989fb5d98351f3bcc04a094f2c0e60d1101aa185e17271ac6ab,2641,1325,1316,0.0034078000757288905,9,9,ok
4.0,0.995,26.921390348464683,26.971390348465,26.836533396722675,0.006858160651241896,-3.9931204119109256,-3.9827181990996614,-3.982706405364601,-3.9716316498382414,0.0068795880890744066,2.1427437832510776e-05,0.010402212811264189,1.1793735060550148e-05,1.5120400635299842,0.0017143083143713188,8f415d83f9a707ee42f375f003375333f79134664a4818fd13a9ed06af98bdab,2653,1329,1324,0.0018846588767433095,9,9,ok
4.0,1.0,26.842160022920158,26.94216002292,26.94216002292,0.006858160651241896,-3.9931367373639137,-3.9827640796191153,-3.982764079618997,-3.9718016775236666,0.006863262636086276,5.10198484438007e-06,0.010372657744798452,1.1812772982011666e-13,1.5113304407527937,1.7211599800802337e-11,49b3f0db7163faa4e4a710bbb530ce9a328bd227afb80bbf8ea89aebf0dedffb,2665,1333,1332,0.000375234521575985,9,7,ok
