n,rAR,level_index,model,lambda_candidate,p_used,lambda_raw_251,lambda_raw_501,lambda_bessel_if_available,abs_error_vs_bessel_if_available,rel_error_vs_bessel_if_available,used_for_uncertainty_true_false,notes
1.2,1.0,0,raw_N501,8.04033102885062,,8.010106083110168,8.04033102885062,,,,True,raw finest-grid FD value
1.2,1.0,0,richardson_p1,8.070555974591072,1.0,8.010106083110168,8.04033102885062,,,,True,
1.2,1.0,0,richardson_p2,8.050406010764103,2.0,8.010106083110168,8.04033102885062,,,,True,
1.2,1.0,0,richardson_observed_p,8.078294457776755,0.8449154922155621,8.010106083110168,8.04033102885062,,,,True,primary triple observed p
1.2,1.0,1,raw_N501,20.223430448896785,,20.14943152615257,20.223430448896785,,,,True,raw finest-grid FD value
1.2,1.0,1,richardson_p1,20.297429371641,1.0,20.14943152615257,20.223430448896785,,,,True,
1.2,1.0,1,richardson_p2,20.24809675647819,2.0,20.14943152615257,20.223430448896785,,,,True,
1.2,1.0,1,richardson_observed_p,20.30953230303417,0.8948640980816218,20.14943152615257,20.223430448896785,,,,True,primary triple observed p
1.2,1.0,2,raw_N501,20.223430448996663,,20.149431526157233,20.223430448996663,,,,True,raw finest-grid FD value
1.2,1.0,2,richardson_p1,20.297429371836092,1.0,20.149431526157233,20.223430448996663,,,,True,
1.2,1.0,2,richardson_p2,20.248096756609804,2.0,20.149431526157233,20.223430448996663,,,,True,
1.2,1.0,2,richardson_observed_p,20.309532303493192,0.8948640961582145,20.149431526157233,20.223430448996663,,,,True,primary triple observed p
1.2,1.0,3,raw_N501,33.24044067145104,,33.139967293336966,33.24044067145104,,,,True,raw finest-grid FD value
1.2,1.0,3,richardson_p1,33.340914049565114,1.0,33.139967293336966,33.24044067145104,,,,True,
1.2,1.0,3,richardson_p2,33.27393179748906,2.0,33.139967293336966,33.24044067145104,,,,True,
1.2,1.0,3,richardson_observed_p,33.3256567130934,1.123694671716953,33.139967293336966,33.24044067145104,,,,True,primary triple observed p
1.2,1.0,4,raw_N501,39.51448741783985,,39.340505339645794,39.51448741783985,,,,True,raw finest-grid FD value
1.2,1.0,4,richardson_p1,39.68846949603391,1.0,39.340505339645794,39.51448741783985,,,,True,
1.2,1.0,4,richardson_p2,39.572481443904536,2.0,39.340505339645794,39.51448741783985,,,,True,
1.2,1.0,4,richardson_observed_p,39.76386169402317,0.7635598895180224,39.340505339645794,39.51448741783985,,,,True,primary triple observed p
1.2,1.0,5,raw_N501,41.07624619909692,,40.9349917296652,41.07624619909692,,,,True,raw finest-grid FD value
1.2,1.0,5,richardson_p1,41.21750066852864,1.0,40.9349917296652,41.07624619909692,,,,True,
1.2,1.0,5,richardson_p2,41.123331022240826,2.0,40.9349917296652,41.07624619909692,,,,True,
1.2,1.0,5,richardson_observed_p,41.21891883685833,0.992811916716805,40.9349917296652,41.07624619909692,,,,True,primary triple observed p
2.0,1.0,0,raw_N501,5.767724660684243,,5.752993833808078,5.767724660684243,5.783185962946783,0.0154613022625405,0.0026734921480308575,True,raw finest-grid FD value
2.0,1.0,0,richardson_p1,5.782455487560408,1.0,5.752993833808078,5.767724660684243,5.783185962946783,0.0007304753863754954,0.00012631020186030584,True,
2.0,1.0,0,richardson_p2,5.772634936309631,2.0,5.752993833808078,5.767724660684243,5.783185962946783,0.01055102663715246,0.0018244314993073915,True,
2.0,1.0,0,richardson_observed_p,5.781098503551283,1.0713957900534805,5.752993833808078,5.767724660684243,5.783185962946783,0.0020874593954998133,0.00036095318547151863,True,primary triple observed p
2.0,1.0,1,raw_N501,14.642587607133716,,14.6047963185657,14.642587607133716,14.681970642123895,0.0393830349901787,0.002682407964853521,True,raw finest-grid FD value
2.0,1.0,1,richardson_p1,14.680378895701732,1.0,14.6047963185657,14.642587607133716,14.681970642123895,0.0015917464221626432,0.00010841503916346076,True,
2.0,1.0,1,richardson_p2,14.655184703323055,2.0,14.6047963185657,14.642587607133716,14.681970642123895,0.026785938800840015,0.0018244103229568343,True,
2.0,1.0,1,richardson_observed_p,14.676292099853924,1.084917204420403,14.6047963185657,14.642587607133716,14.681970642123895,0.005678542269970777,0.0003867697605714132,True,primary triple observed p
2.0,1.0,2,raw_N501,14.642587610924581,,14.604796379863082,14.642587610924581,14.681970642123895,0.03938303119931419,0.0026824077066549042,True,raw finest-grid FD value
2.0,1.0,2,richardson_p1,14.68037884198608,1.0,14.604796379863082,14.642587610924581,14.681970642123895,0.0015918001378150137,0.00010841869777671369,True,
2.0,1.0,2,richardson_p2,14.65518468794508,2.0,14.604796379863082,14.642587610924581,14.681970642123895,0.026785954178814464,0.001824411370362174,True,
2.0,1.0,2,richardson_observed_p,14.676291906575162,1.0849205028238453,14.604796379863082,14.642587610924581,14.681970642123895,0.005678735548732661,0.00038678292493242407,True,primary triple observed p
2.0,1.0,3,raw_N501,26.30292931198997,,26.231413621348473,26.30292931198997,26.374616427163392,0.07168711517342174,0.0027180344165912006,True,raw finest-grid FD value
2.0,1.0,3,richardson_p1,26.374445002631468,1.0,26.231413621348473,26.30292931198997,26.374616427163392,0.00017142453192420248,6.499602843423771e-06,True,
2.0,1.0,3,richardson_p2,26.326767875537136,2.0,26.231413621348473,26.30292931198997,26.374616427163392,0.0478485516262559,0.0018141894786752749,True,
2.0,1.0,3,richardson_observed_p,26.360842971075495,1.1601892468112234,26.231413621348473,26.30292931198997,26.374616427163392,0.013773456087896818,0.0005222239392915471,True,primary triple observed p
2.0,1.0,4,raw_N501,26.30419048826698,,26.238070624374185,26.30419048826698,26.374616427163392,0.07042593889641324,0.002670216611145901,True,raw finest-grid FD value
