n,rAR,level_index,triple,method,N_grid_1,N_grid_2,N_grid_3,h1,h2,h3,lambda1,lambda2,lambda3,reference_lambda_if_available,p_estimate,p_status,delta12,delta23,delta_ratio
1.2,1.0,0,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,7.955817258767214,8.010106083110168,8.04033102885062,,0.8449154922155621,stable_root_found,-0.054288824342954456,-0.03022494574045176,1.7961595302484412
1.2,1.0,0,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,7.963886847982434,7.994381560793345,8.010106083110168,,1.5850789584797165,stable_root_found,-0.030494712810910762,-0.015724522316823197,1.939309328225849
1.2,1.0,1,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,20.011835360095013,20.14943152615257,20.223430448896785,,0.8948640980816218,stable_root_found,-0.13759616605755554,-0.0739989227442166,1.8594347181670208
1.2,1.0,1,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,20.033095009385182,20.110019695506907,20.14943152615257,,1.6098267517087899,stable_root_found,-0.07692468612172476,-0.039411830645661894,1.9518171285502555
1.2,1.0,2,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,20.01183536010608,20.149431526157233,20.223430448996663,,0.8948640961582145,stable_root_found,-0.13759616605115355,-0.07399892283942933,1.8594347156880138
1.2,1.0,2,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,20.033095009389285,20.110019695508495,20.149431526157233,,1.6098267512824693,stable_root_found,-0.07692468611920944,-0.039411830648738544,1.951817128334067
1.2,1.0,3,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,32.921031481212864,33.139967293336966,33.24044067145104,,1.123694671716953,stable_root_found,-0.2189358121241014,-0.10047337811407431,2.1790430085423083
1.2,1.0,3,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,32.957347612771805,33.07940211129142,33.139967293336966,,1.7328636325556783,stable_root_found,-0.12205449851961703,-0.06056518204554351,2.015258509878416
1.2,1.0,4,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,39.04514039872827,39.340505339645794,39.51448741783985,,0.7635598895180224,stable_root_found,-0.29536494091752274,-0.17398207819405798,1.6976745190276177
1.2,1.0,4,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,39.0931020759863,39.25508669609489,39.340505339645794,,1.4988210064437053,stable_root_found,-0.1619846201085906,-0.08541864355090212,1.896361419179664
1.2,1.0,5,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,40.65388686251528,40.9349917296652,41.07624619909692,,0.992811916716805,stable_root_found,-0.2811048671499208,-0.14125446943172193,1.9900599838067299
1.2,1.0,5,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,40.70045075143113,40.85594993209527,40.9349917296652,,1.6402397745096016,stable_root_found,-0.15549918066414392,-0.07904179756992846,1.9673031920430888
2.0,1.0,0,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,5.722037508949555,5.752993833808078,5.767724660684243,,1.0713957900534805,stable_root_found,-0.030956324858522954,-0.014730826876165004,2.101465526596567
2.0,1.0,0,primary_126_251_501,bessel_error,126,251,501,0.016,0.008,0.004,0.06114845399722846,0.030192129138705504,0.0154613022625405,5.783185962946783,1.0713957900534805,stable_root_found,0.030956324858522954,0.014730826876165004,2.101465526596567
2.0,1.0,0,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,5.734380039341994,5.743903123568527,5.752993833808078,,,not_found,-0.00952308422653303,-0.009090710239550326,1.047562178926527
2.0,1.0,0,consistency_151_201_251,bessel_error,151,201,251,0.013333333333333334,0.01,0.008,0.04880592360478886,0.03928283937825583,0.030192129138705504,5.783185962946783,,not_found,0.00952308422653303,0.009090710239550326,1.047562178926527
2.0,1.0,1,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,14.524631406294551,14.6047963185657,14.642587607133716,,1.084917204420403,stable_root_found,-0.08016491227114919,-0.03779128856801606,2.121253741503677
2.0,1.0,1,primary_126_251_501,bessel_error,126,251,501,0.016,0.008,0.004,0.15733923582934395,0.07717432355819476,0.0393830349901787,14.681970642123895,1.084917204420403,stable_root_found,0.08016491227114919,0.03779128856801606,2.121253741503677
2.0,1.0,1,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,14.555707074823799,14.581423060998993,14.6047963185657,,,not_found,-0.02571598617519477,-0.02337325756670694,1.1002311552765685
2.0,1.0,1,consistency_151_201_251,bessel_error,151,201,251,0.013333333333333334,0.01,0.008,0.12626356730009647,0.1005475811249017,0.07717432355819476,14.681970642123895,,not_found,0.02571598617519477,0.02337325756670694,1.1002311552765685
2.0,1.0,2,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,14.524631406298557,14.604796379863082,14.642587610924581,,1.0849205028238453,stable_root_found,-0.0801649735645249,-0.037791231061499175,2.1212585912872024
2.0,1.0,2,primary_126_251_501,bessel_error,126,251,501,0.016,0.008,0.004,0.15733923582533826,0.07717426226081336,0.03938303119931419,14.681970642123895,1.0849205028238453,stable_root_found,0.0801649735645249,0.037791231061499175,2.1212585912872024
2.0,1.0,2,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,14.557505415521332,14.581423061022576,14.604796379863082,,,not_found,-0.023917645501244422,-0.02337331884050542,1.0232883769931593
2.0,1.0,2,consistency_151_201_251,bessel_error,151,201,251,0.013333333333333334,0.01,0.008,0.1244652266025632,0.10054758110131878,0.07717426226081336,14.681970642123895,,not_found,0.023917645501244422,0.02337331884050542,1.0232883769931593
2.0,1.0,3,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,26.071585534483187,26.231413621348473,26.30292931198997,,1.1601892468112234,stable_root_found,-0.1598280868652857,-0.07151569064149754,2.234867417648124
2.0,1.0,3,primary_126_251_501,bessel_error,126,251,501,0.016,0.008,0.004,0.303030892680205,0.1432028058149193,0.07168711517342174,26.374616427163392,1.1601892468112234,stable_root_found,0.1598280868652857,0.07151569064149754,2.234867417648124
2.0,1.0,3,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,26.13917049650014,26.189264789170988,26.231413621348473,,,not_found,-0.05009429267084897,-0.04214883217748522,1.188509623704545
2.0,1.0,3,consistency_151_201_251,bessel_error,151,201,251,0.013333333333333334,0.01,0.008,0.23544593066325348,0.1853516379924045,0.1432028058149193,26.374616427163392,,not_found,0.05009429267084897,0.04214883217748522,1.188509623704545
2.0,1.0,4,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,26.10248832081348,26.238070624374185,26.30419048826698,,1.0360132277132041,stable_root_found,-0.1355823035607031,-0.06611986389279423,2.050553276705685
2.0,1.0,4,primary_126_251_501,bessel_error,126,251,501,0.016,0.008,0.004,0.2721281063499106,0.13654580278920747,0.07042593889641324,26.374616427163392,1.0360132277132041,stable_root_found,0.1355823035607031,0.06611986389279423,2.050553276705685
2.0,1.0,4,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,26.15275503970217,26.1948541352889,26.238070624374185,,,not_found,-0.0420990955867282,-0.0432164890852853,0.9741442786721524
2.0,1.0,4,consistency_151_201_251,bessel_error,151,201,251,0.013333333333333334,0.01,0.008,0.22186138746122097,0.17976229187449277,0.13654580278920747,26.374616427163392,,not_found,0.0420990955867282,0.0432164890852853,0.9741442786721524
2.0,1.0,5,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,30.136973880810967,30.30916244945362,30.389044060910486,,1.108054025647892,stable_root_found,-0.1721885686426532,-0.0798816114568659,2.155547008908687
2.0,1.0,5,primary_126_251_501,bessel_error,126,251,501,0.016,0.008,0.004,0.33428846285112,0.16209989420846682,0.08221828275160092,30.471262343662087,1.108054025647892,stable_root_found,0.1721885686426532,0.0798816114568659,2.155547008908687
2.0,1.0,5,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,30.205711011253392,30.2595683879728,30.30916244945362,,,not_found,-0.0538573767194066,-0.04959406148082124,1.085964228604952
2.0,1.0,5,consistency_151_201_251,bessel_error,151,201,251,0.013333333333333334,0.01,0.008,0.26555133240869466,0.21169395568928806,0.16209989420846682,30.471262343662087,,not_found,0.0538573767194066,0.04959406148082124,1.085964228604952
4.0,1.0,0,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,5.029664222577228,5.040779685328803,5.047641002452271,,0.6960105578391392,stable_root_found,-0.011115462751575045,-0.006861317123467714,1.6200188027393323
4.0,1.0,0,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,5.034120368684673,5.037632040953055,5.040779685328803,,,not_found,-0.0035116722683818935,-0.0031476443757485484,1.1156508960917082
4.0,1.0,1,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,12.652713036975566,12.686362681296401,12.706170952942065,,0.7644882509676566,stable_root_found,-0.03364964432083539,-0.019808271645663567,1.6987673090701976
4.0,1.0,1,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,12.666467390053148,12.677136798152985,12.686362681296401,,,not_found,-0.01066940809983663,-0.00922588314341688,1.1564646911282175
4.0,1.0,2,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,12.65271303697595,12.686362681314517,12.706170952945524,,0.7644882527953735,stable_root_found,-0.033649644338566986,-0.019808271631006846,1.6987673112223265
4.0,1.0,2,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,12.666467390055757,12.677136798157338,12.686362681314517,,,not_found,-0.010669408101581013,-0.009225883157178316,1.1564646895922959
4.0,1.0,3,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,20.819795011482466,20.912941573533637,20.96463017379748,,0.8496563872975919,stable_root_found,-0.09314656205117089,-0.051688600263844364,1.8020716671704096
4.0,1.0,3,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,20.859627277902852,20.88860863441627,20.912941573533637,,,not_found,-0.028981356513416046,-0.024332939117368113,1.1910339467676567
4.0,1.0,4,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,24.713768363589402,24.74317845512022,24.761955607538017,,0.6473329814239855,stable_root_found,-0.029410091530817084,-0.018777152417797538,1.5662700539694898
4.0,1.0,4,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,24.724046282517698,24.73442837418007,24.74317845512022,,,not_found,-0.010382091662371806,-0.00875008094014973,1.1865137858020947
4.0,1.0,5,primary_126_251_501,self_convergence,126,251,501,0.016,0.008,0.004,25.730899179024032,25.824008561814185,25.875193527794078,,0.8632064330826036,stable_root_found,-0.09310938279015346,-0.05118496597989264,1.8190767739638685
4.0,1.0,5,consistency_151_201_251,self_convergence,151,201,251,0.013333333333333334,0.01,0.008,25.770220571446597,25.799784021653142,25.824008561814185,,,not_found,-0.029563450206545383,-0.02422454016104325,1.2203926270636878
