n,rAR,level_index,lambda_recommended,recommendation_model,p_observed_primary,p_observed_consistency,reference_uncertainty_estimate,relative_reference_uncertainty,validation_status,downstream_use_allowed_true_false
1.2,1.0,0,8.04033102885062,FD_REFERENCE_INSUFFICIENT_FOR_SHAPE_CONTRAST,0.8449154922155621,1.5850789584797165,0.03796342892613502,0.0047216251159203785,insufficient_for_unqualified_shape_contrast,False
1.2,1.0,1,20.223430448896785,FD_REFERENCE_INSUFFICIENT_FOR_SHAPE_CONTRAST,0.8948640980816218,1.6098267517087899,0.08610185413738591,0.004257529619169179,insufficient_for_unqualified_shape_contrast,False
1.2,1.0,2,20.223430448996663,FD_REFERENCE_INSUFFICIENT_FOR_SHAPE_CONTRAST,0.8948640961582145,1.6098267512824693,0.08610185449652974,0.004257529636906951,insufficient_for_unqualified_shape_contrast,False
1.2,1.0,3,33.24044067145104,FD_REFERENCE_INSUFFICIENT_FOR_SHAPE_CONTRAST,1.123694671716953,1.7328636325556783,0.10047337811407431,0.0030226247331422143,insufficient_for_unqualified_shape_contrast,False
1.2,1.0,4,39.51448741783985,FD_REFERENCE_INSUFFICIENT_FOR_SHAPE_CONTRAST,0.7635598895180224,1.4988210064437053,0.24937427618331753,0.00631095814419526,insufficient_for_unqualified_shape_contrast,False
1.2,1.0,5,41.07624619909692,FD_REFERENCE_INSUFFICIENT_FOR_SHAPE_CONTRAST,0.992811916716805,1.6402397745096016,0.14267263776140737,0.0034733611506239364,insufficient_for_unqualified_shape_contrast,False
2.0,1.0,0,5.783185962946783,BESSEL_FOR_N2_AND_OBSERVED_P_FOR_NONCIRCLE,1.0713957900534805,,0.0,0.0,bessel_exact_reference,True
2.0,1.0,1,14.681970642123895,BESSEL_FOR_N2_AND_OBSERVED_P_FOR_NONCIRCLE,1.084917204420403,,0.0,0.0,bessel_exact_reference,True
2.0,1.0,2,14.681970642123895,BESSEL_FOR_N2_AND_OBSERVED_P_FOR_NONCIRCLE,1.0849205028238453,,0.0,0.0,bessel_exact_reference,True
2.0,1.0,3,26.374616427163392,BESSEL_FOR_N2_AND_OBSERVED_P_FOR_NONCIRCLE,1.1601892468112234,,0.0,0.0,bessel_exact_reference,True
2.0,1.0,4,26.374616427163392,BESSEL_FOR_N2_AND_OBSERVED_P_FOR_NONCIRCLE,1.0360132277132041,,0.0,0.0,bessel_exact_reference,True
2.0,1.0,5,30.471262343662087,BESSEL_FOR_N2_AND_OBSERVED_P_FOR_NONCIRCLE,1.108054025647892,,0.0,0.0,bessel_exact_reference,True
4.0,1.0,0,5.047641002452271,FD_REFERENCE_INSUFFICIENT_FOR_SHAPE_CONTRAST,0.6960105578391392,,0.011066304913905256,0.0021923716263753637,insufficient_for_unqualified_shape_contrast,False
4.0,1.0,1,12.706170952942065,FD_REFERENCE_INSUFFICIENT_FOR_SHAPE_CONTRAST,0.7644882509676566,,0.028347450415248332,0.0022309986635812252,insufficient_for_unqualified_shape_contrast,False
4.0,1.0,2,12.706170952945524,FD_REFERENCE_INSUFFICIENT_FOR_SHAPE_CONTRAST,0.7644882527953735,,0.028347450306965172,0.0022309986550585257,insufficient_for_unqualified_shape_contrast,False
4.0,1.0,3,20.96463017379748,FD_REFERENCE_INSUFFICIENT_FOR_SHAPE_CONTRAST,0.8496563872975919,,0.06444386752395204,0.003073932952296808,insufficient_for_unqualified_shape_contrast,False
4.0,1.0,4,24.761955607538017,FD_REFERENCE_INSUFFICIENT_FOR_SHAPE_CONTRAST,0.6473329814239855,,0.033159359719221015,0.0013391252389260671,insufficient_for_unqualified_shape_contrast,False
4.0,1.0,5,25.875193527794078,FD_REFERENCE_INSUFFICIENT_FOR_SHAPE_CONTRAST,0.8632064330826036,,0.06249104797855409,0.0024150949020508294,insufficient_for_unqualified_shape_contrast,False
