n,rAR,N_grid,h,num_interior_points,level_index,lambda_fd_unit,lambda_bessel_unit_if_available,abs_error_vs_bessel_if_available,rel_error_vs_bessel_if_available,degeneracy_group_if_available
1.2,1.0,101,0.02,5885,0,7.921193674225315,,,,
1.2,1.0,101,0.02,5885,1,19.92673973474535,,,,
1.2,1.0,101,0.02,5885,2,19.92673973474753,,,,
1.2,1.0,101,0.02,5885,3,32.81041032323925,,,,
1.2,1.0,101,0.02,5885,4,38.832288036962346,,,,
1.2,1.0,101,0.02,5885,5,40.49230891537967,,,,
1.2,1.0,151,0.013333333333333334,13249,0,7.963886847982434,,,,
1.2,1.0,151,0.013333333333333334,13249,1,20.033095009385182,,,,
1.2,1.0,151,0.013333333333333334,13249,2,20.033095009389285,,,,
1.2,1.0,151,0.013333333333333334,13249,3,32.957347612771805,,,,
1.2,1.0,151,0.013333333333333334,13249,4,39.0931020759863,,,,
1.2,1.0,151,0.013333333333333334,13249,5,40.70045075143113,,,,
1.2,1.0,201,0.01,23533,0,7.994381560793345,,,,
1.2,1.0,201,0.01,23533,1,20.110019695506907,,,,
1.2,1.0,201,0.01,23533,2,20.110019695508495,,,,
1.2,1.0,201,0.01,23533,3,33.07940211129142,,,,
1.2,1.0,201,0.01,23533,4,39.25508669609489,,,,
1.2,1.0,201,0.01,23533,5,40.85594993209527,,,,
1.2,1.0,251,0.008,36761,0,8.010106083110168,,,,
1.2,1.0,251,0.008,36761,1,20.14943152615257,,,,
1.2,1.0,251,0.008,36761,2,20.149431526157233,,,,
1.2,1.0,251,0.008,36761,3,33.139967293336966,,,,
1.2,1.0,251,0.008,36761,4,39.340505339645794,,,,
1.2,1.0,251,0.008,36761,5,40.9349917296652,,,,
2.0,1.0,101,0.02,7825,0,5.717858858393393,5.783185962946783,0.06532710455338986,0.011296040793421568,m0_s1
2.0,1.0,101,0.02,7825,1,14.512857825779209,14.681970642123895,0.16911281634468622,0.011518400388261664,m1_s1
2.0,1.0,101,0.02,7825,2,14.512857825780989,14.681970642123895,0.1691128163429063,0.011518400388140433,m1_s1
2.0,1.0,101,0.02,7825,3,26.048448554306685,26.374616427163392,0.3261678728567077,0.012366734271092004,m2_s1
2.0,1.0,101,0.02,7825,4,26.07782135650338,26.374616427163392,0.29679507066001065,0.011253057328042862,m2_s1
2.0,1.0,101,0.02,7825,5,30.108247907319004,30.471262343662087,0.3630144363430823,0.011913337631008516,m0_s2
2.0,1.0,151,0.013333333333333334,17647,0,5.734380039341994,5.783185962946783,0.04880592360478886,0.00843927964922645,m0_s1
2.0,1.0,151,0.013333333333333334,17647,1,14.555707074823799,14.681970642123895,0.12626356730009647,0.008599905992035901,m1_s1
2.0,1.0,151,0.013333333333333334,17647,2,14.557505415521332,14.681970642123895,0.1244652266025632,0.008477419662280298,m1_s1
2.0,1.0,151,0.013333333333333334,17647,3,26.13917049650014,26.374616427163392,0.23544593066325348,0.00892698975598243,m2_s1
2.0,1.0,151,0.013333333333333334,17647,4,26.15275503970217,26.374616427163392,0.22186138746122097,0.00841192849472967,m2_s1
2.0,1.0,151,0.013333333333333334,17647,5,30.205711011253392,30.471262343662087,0.26555133240869466,0.008714812317709193,m0_s2
2.0,1.0,201,0.01,31397,0,5.743903123568527,5.783185962946783,0.03928283937825583,0.006792594882810845,m0_s1
2.0,1.0,201,0.01,31397,1,14.581423060998993,14.681970642123895,0.1005475811249017,0.006848370942550562,m1_s1
2.0,1.0,201,0.01,31397,2,14.581423061022576,14.681970642123895,0.10054758110131878,0.006848370940944312,m1_s1
2.0,1.0,201,0.01,31397,3,26.189264789170988,26.374616427163392,0.1853516379924045,0.007027652459108737,m2_s1
2.0,1.0,201,0.01,31397,4,26.1948541352889,26.374616427163392,0.17976229187449277,0.0068157310409016755,m2_s1
2.0,1.0,201,0.01,31397,5,30.2595683879728,30.471262343662087,0.21169395568928806,0.006947331334742672,m0_s2
2.0,1.0,251,0.008,49053,0,5.752993833808078,5.783185962946783,0.030192129138705504,0.0052206740942014095,m0_s1
2.0,1.0,251,0.008,49053,1,14.6047963185657,14.681970642123895,0.07717432355819476,0.005256400890543581,m1_s1
2.0,1.0,251,0.008,49053,2,14.604796379863082,14.681970642123895,0.07717426226081336,0.0052563967155330946,m1_s1
2.0,1.0,251,0.008,49053,3,26.231413621348473,26.374616427163392,0.1432028058149193,0.0054295692303389775,m2_s1
2.0,1.0,251,0.008,49053,4,26.238070624374185,26.374616427163392,0.13654580278920747,0.005177167340662367,m2_s1
2.0,1.0,251,0.008,49053,5,30.30916244945362,30.471262343662087,0.16209989420846682,0.005319763007527091,m0_s2
4.0,1.0,101,0.02,9213,0,5.021543334281237,,,,
4.0,1.0,101,0.02,9213,1,12.627197941339396,,,,
4.0,1.0,101,0.02,9213,2,12.627197941340466,,,,
4.0,1.0,101,0.02,9213,3,20.743259652382626,,,,
4.0,1.0,101,0.02,9213,4,24.697275967513598,,,,
4.0,1.0,101,0.02,9213,5,25.655729234828,,,,
4.0,1.0,151,0.013333333333333334,20757,0,5.034120368684673,,,,
4.0,1.0,151,0.013333333333333334,20757,1,12.666467390053148,,,,
4.0,1.0,151,0.013333333333333334,20757,2,12.666467390055757,,,,
4.0,1.0,151,0.013333333333333334,20757,3,20.859627277902852,,,,
4.0,1.0,151,0.013333333333333334,20757,4,24.724046282517698,,,,
4.0,1.0,151,0.013333333333333334,20757,5,25.770220571446597,,,,
4.0,1.0,201,0.01,36965,0,5.037632040953055,,,,
4.0,1.0,201,0.01,36965,1,12.677136798152985,,,,
4.0,1.0,201,0.01,36965,2,12.677136798157338,,,,
4.0,1.0,201,0.01,36965,3,20.88860863441627,,,,
4.0,1.0,201,0.01,36965,4,24.73442837418007,,,,
4.0,1.0,201,0.01,36965,5,25.799784021653142,,,,
