n,rAR,N_grid_selected,h,level_index,lambda_fd_unit,degeneracy_group_if_available,validation_status
1.2,1.0,251,0.008,0,8.010106083110168,,selected_reference
1.2,1.0,251,0.008,1,20.14943152615257,,selected_reference
1.2,1.0,251,0.008,2,20.149431526157233,,selected_reference
1.2,1.0,251,0.008,3,33.139967293336966,,selected_reference
1.2,1.0,251,0.008,4,39.340505339645794,,selected_reference
1.2,1.0,251,0.008,5,40.9349917296652,,selected_reference
2.0,1.0,251,0.008,0,5.752993833808078,m0_s1,selected_reference
2.0,1.0,251,0.008,1,14.6047963185657,m1_s1,selected_reference
2.0,1.0,251,0.008,2,14.604796379863082,m1_s1,selected_reference
2.0,1.0,251,0.008,3,26.231413621348473,m2_s1,selected_reference
2.0,1.0,251,0.008,4,26.238070624374185,m2_s1,selected_reference
2.0,1.0,251,0.008,5,30.30916244945362,m0_s2,selected_reference
4.0,1.0,251,0.008,0,5.040779685328803,,selected_reference
4.0,1.0,251,0.008,1,12.686362681296401,,selected_reference
4.0,1.0,251,0.008,2,12.686362681314517,,selected_reference
4.0,1.0,251,0.008,3,20.912941573533637,,selected_reference
4.0,1.0,251,0.008,4,24.74317845512022,,selected_reference
4.0,1.0,251,0.008,5,25.824008561814185,,selected_reference
