n,model,lambda_TB_inf,lambda_rel_error_vs_bessel_if_n2,delta_if_available,p_TB_if_available,c1_if_available,c2_if_available,RMSE,R2,AIC_or_BIC_if_available,leave_one_size_out_stability,model_notes
1.2,linear_inverse_size,8.028532033468572,,,,-4.368389200251022,,0.032639987635764624,0.6611086109734267,-43.91103978769547,lambda_range=0.0659755; stable=True,Y=lambda+c1/a
1.2,quadratic_inverse_size,8.184338595127207,,,,-18.927091631994653,281.8355608660132,0.019866842750683976,0.8744495506786663,-48.86184382460264,lambda_range=0.149133; stable=True,Y=lambda+c1/a+c2/a^2
1.2,power_law_residual,8.987806711258175,,,0.10000000000001663,-1.5594937776098599,,0.02777169587735887,0.7546616928926229,-44.17233075181452,lambda_range=0.900804; p_range=0.665508; stable=False,Y=lambda+C/a^p
1.2,effective_radius,8.02997104795634,,0.27906669566307835,,,,0.032508040245375555,0.6638430147275223,-43.96774959308415,lambda_range=0.0667279; delta_range=0.211616; stable=True,Ekin=lambda/(a+delta)^2
2.0,linear_inverse_size,5.778235014466244,0.0008560935982796461,,,-3.126180918529935,,0.007933555360475934,0.9441675159959763,-63.7131560104975,lambda_range=0.0147033; stable=True,Y=lambda+c1/a
2.0,quadratic_inverse_size,5.802384404916024,0.003319699918392144,,,-5.382721244711075,43.683378476049484,0.0068431800661058265,0.9584599349161342,-63.78303826823144,lambda_range=0.0641664; stable=True,Y=lambda+c1/a+c2/a^2
2.0,power_law_residual,5.840247419097799,0.009866785629341993,,0.5332825748871706,-1.0265914898750175,,0.007287037046866183,0.9528964985307367,-62.9032155887614,lambda_range=0.735138; p_range=1.73095; stable=False,Y=lambda+C/a^p
2.0,effective_radius,5.779016586279214,0.0007209480542874929,0.27654413026109254,,,,0.007874601986940144,0.944994203073863,-63.81757691644083,lambda_range=0.0147957; delta_range=0.0810935; stable=True,Ekin=lambda/(a+delta)^2
4.0,linear_inverse_size,5.049204200131397,,,,-1.3044433577788366,,0.0020163424277966475,0.9785323884059299,-82.89058123394447,lambda_range=0.00279145; stable=True,Y=lambda+c1/a
4.0,quadratic_inverse_size,5.047735770818439,,,,-1.1672320286678117,-2.656214183817553,0.002001515414479349,0.9788469483335643,-80.99390949336815,lambda_range=0.0145638; stable=True,Y=lambda+c1/a+c2/a^2
4.0,power_law_residual,5.04778526651646,,,1.0516256034280165,-1.5019087934153519,,0.0020126788768773983,0.9786103277861421,-80.91604137581346,lambda_range=0.0747177; p_range=1.00621; stable=False,Y=lambda+C/a^p
4.0,effective_radius,5.049343349769357,,0.13047028456603266,,,,0.0020192841821848966,0.9784697021200599,-82.87017073876721,lambda_range=0.00285695; delta_range=0.0184395; stable=True,Ekin=lambda/(a+delta)^2
