n,rAR,a,E0_TB,Ekin0_TB,Y_a2E,N_sites,N_boundary_sites,boundary_fraction,A_continuum,P_continuum,area_pixelation_proxy,boundary_pixelation_proxy
1.2,1.0,24.0,-3.986292155684027,0.013707844315972828,7.895718326000349,1341.0,104.0,0.07755406413124534,1354.9710666835233,137.4390435505964,0.010310970490107511,0.24330090407160215
1.2,1.0,30.0,-3.9912764587037333,0.008723541296266735,7.851187166640061,2121.0,132.0,0.06223479490806223,2117.142291693005,171.7988044382455,0.0018221299164120242,0.2316593795188575
1.2,1.0,36.0,-3.9939391931345236,0.006060806865476387,7.8548056976573974,3057.0,160.0,0.05233889434085705,3048.6849000379275,206.15856532589459,0.0027274383003533962,0.2238983631503611
1.2,1.0,48.0,-3.996548699449683,0.003451300550317171,7.9517964679307624,5409.0,212.0,0.03919393603253836,5419.884266734093,274.8780871011928,0.002008210175427204,0.22874899838067145
1.2,1.0,60.0,-3.9977951114069024,0.0022048885930976425,7.937598935151513,8485.0,268.0,0.031585150265173834,8468.56916677202,343.597608876491,0.0019402136186652552,0.22001785496611292
1.2,1.0,72.0,-3.998459454262204,0.0015405457377961618,7.986189104735303,12185.0,320.0,0.026261797291752154,12194.73960015171,412.31713065178917,0.0007986722530416966,0.2238983631503611
1.2,1.0,96.0,-3.999131568524274,0.000868431475725906,8.00346448028995,21669.0,428.0,0.019751719045641238,21679.537066936373,549.7561742023856,0.00048603745106914794,0.22147304553520608
2.0,1.0,24.0,-3.9901748927483616,0.009825107251638432,5.659261776943737,1793.0,132.0,0.0736196319018405,1809.5573684677206,150.79644675218452,0.009149954986915333,0.12464780939483394
2.0,1.0,30.0,-3.9937139130333588,0.0062860869666412356,5.657478269977112,2821.0,168.0,0.05955334987593052,2827.4333882308133,188.4955584402307,0.0022753456394736917,0.10873231502019476
2.0,1.0,36.0,-3.995608282027709,0.004391717972290987,5.691666492089119,4053.0,200.0,0.04934616333580064,4071.5040790523713,226.1946701282768,0.004544777235413704,0.11580586807558996
2.0,1.0,48.0,-3.997519491313106,0.0024805086868942006,5.715092014604238,7213.0,268.0,0.03715513655899071,7238.229473870882,301.59289350436904,0.003485586352568363,0.11138489741596778
2.0,1.0,60.0,-3.9984101629916937,0.001589837008306283,5.723413229902619,11289.0,336.0,0.0297634865798565,11309.733552923253,376.9911168804614,0.001833248575329538,0.10873231502019476
2.0,1.0,72.0,-3.9988927316484704,0.0011072683515296333,5.740079134329619,16241.0,404.0,0.024875315559386737,16286.016316209485,452.3893402565536,0.002764108504833084,0.10696392675634585
2.0,1.0,96.0,-3.9993765042418357,0.0006234957581643386,5.746136907242544,28917.0,540.0,0.018674136321195144,28952.91789548353,603.1857870087381,0.001240562198711332,0.10475344142653471
4.0,1.0,24.0,-3.9913316374335484,0.008668362566451648,4.9929768382761495,2105.0,160.0,0.07600950118764846,2135.8940282511803,168.4247501260716,0.01446421397435884,0.05002085572200866
4.0,1.0,30.0,-3.9944332659649553,0.005566734035044707,5.010060631540236,3293.0,200.0,0.06073489219556635,3337.3344191424694,210.5309376575895,0.01328438015925931,0.050020855722008754
4.0,1.0,36.0,-3.996132993966154,0.0038670060338459322,5.011639819864328,4761.0,240.0,0.05040957781978576,4805.7615635651555,252.6371251891074,0.009314145733844753,0.05002085572200871
4.0,1.0,48.0,-3.9978211708310782,0.0021788291689217587,5.020022405195732,8489.0,320.0,0.03769584167746495,8543.576113004721,336.8495002521432,0.006387970597189096,0.05002085572200866
4.0,1.0,60.0,-3.9986034201480276,0.0013965798519723904,5.0276874671006055,13273.0,400.0,0.0301363670609508,13349.337676569878,421.061875315179,0.005718461725922322,0.050020855722008754
4.0,1.0,72.0,-3.9990293980229135,0.0009706019770865382,5.031600649216614,19137.0,484.0,0.025291320478653918,19223.046254260622,505.2742503782148,0.004476202841240656,0.04210436285302545
4.0,1.0,96.0,-3.9994535859425175,0.0005464140574824583,5.035751953758336,34073.0,644.0,0.018900595779649577,34174.304452018885,673.6990005042863,0.002964345687301922,0.04408348607027121
