a,alpha,zero_field_best_shape,current_best_shape,zero_field_best_dE1,current_best_dE1,zero_field_best_rank_at_alpha,best_zero_field_carried_across_alpha,circle_rank_dE1,ellipse_rank_dE1,strongest_baseline,notes
30.0,0.0,diamond_n12_r1,diamond_n12_r1,0.013194497057400945,0.013194497057400945,1,True,3,2,best_zero_field_geometry_carried_across_alpha,baseline is sufficient if no thresholded size-stable crossover survives
30.0,0.00125,diamond_n12_r1,ellipse_n2_r067,0.013194497057400945,0.007306421689649234,2,False,3,1,best_zero_field_geometry_carried_across_alpha,baseline is sufficient if no thresholded size-stable crossover survives
30.0,0.0025,diamond_n12_r1,ellipse_n2_r067,0.013194497057400945,0.0034472153817861617,2,False,3,1,best_zero_field_geometry_carried_across_alpha,baseline is sufficient if no thresholded size-stable crossover survives
30.0,0.005,diamond_n12_r1,ellipse_n2_r067,0.013194497057400945,0.0003368674225829871,2,False,3,1,best_zero_field_geometry_carried_across_alpha,baseline is sufficient if no thresholded size-stable crossover survives
30.0,0.01,diamond_n12_r1,ellipse_n2_r067,0.013194497057400945,4.1004068407346494e-07,2,False,3,1,best_zero_field_geometry_carried_across_alpha,baseline is sufficient if no thresholded size-stable crossover survives
30.0,0.02,diamond_n12_r1,diamond_n12_r1,0.013194497057400945,2.104162222238415e-08,1,True,3,2,best_zero_field_geometry_carried_across_alpha,baseline is sufficient if no thresholded size-stable crossover survives
30.0,0.04,diamond_n12_r1,diamond_n12_r1,0.013194497057400945,1.2165419338572292e-08,1,True,4,3,best_zero_field_geometry_carried_across_alpha,baseline is sufficient if no thresholded size-stable crossover survives
36.0,0.0,diamond_n12_r1,diamond_n12_r1,0.009187503664123575,0.009187503664123575,1,True,3,2,best_zero_field_geometry_carried_across_alpha,baseline is sufficient if no thresholded size-stable crossover survives
36.0,0.00125,diamond_n12_r1,ellipse_n2_r067,0.009187503664123575,0.003833778456557191,2,False,3,1,best_zero_field_geometry_carried_across_alpha,baseline is sufficient if no thresholded size-stable crossover survives
36.0,0.0025,diamond_n12_r1,ellipse_n2_r067,0.009187503664123575,0.0010089697646553653,2,False,3,1,best_zero_field_geometry_carried_across_alpha,baseline is sufficient if no thresholded size-stable crossover survives
36.0,0.005,diamond_n12_r1,ellipse_n2_r067,0.009187503664123575,0.00020847345929686512,2,False,3,1,best_zero_field_geometry_carried_across_alpha,baseline is sufficient if no thresholded size-stable crossover survives
36.0,0.01,diamond_n12_r1,ellipse_n2_r067,0.009187503664123575,1.776716107571019e-08,4,False,3,1,best_zero_field_geometry_carried_across_alpha,baseline is sufficient if no thresholded size-stable crossover survives
36.0,0.02,diamond_n12_r1,ellipse_n2_r067,0.009187503664123575,2.3564989959368177e-09,4,False,2,1,best_zero_field_geometry_carried_across_alpha,baseline is sufficient if no thresholded size-stable crossover survives
36.0,0.04,diamond_n12_r1,circle_n2_r1,0.009187503664123575,1.7046918987517756e-08,3,False,1,4,best_zero_field_geometry_carried_across_alpha,baseline is sufficient if no thresholded size-stable crossover survives
