a,alpha,shape_id,n,rAR,dE1,min_gap_low,rank_dE1_desc,rank_min_gap_low_desc,zero_field_rank_dE1_desc,dE1_rank_changed_from_alpha0
30.0,0.0,circle_n2_r1,2.0,1.0,0.009662438446901955,1.1546319456101628e-14,3,3,3,False
30.0,0.0,ellipse_n2_r067,2.0,0.67,0.010532613397908008,0.0056573090186962105,2,1,2,False
30.0,0.0,diamond_n12_r1,1.2,1.0,0.013194497057400945,7.993605777301127e-15,1,4,1,False
30.0,0.0,squircle_n4_r1,4.0,1.0,0.008423231477634907,3.730349362740526e-14,4,2,4,False
30.0,0.00125,circle_n2_r1,2.0,1.0,0.0034934355663032157,0.0034934355663032157,3,3,3,False
30.0,0.00125,ellipse_n2_r067,2.0,0.67,0.007306421689649234,0.007027028447557537,1,1,2,True
30.0,0.00125,diamond_n12_r1,1.2,1.0,0.006674655781868211,0.004773415864453678,2,2,1,True
30.0,0.00125,squircle_n4_r1,4.0,1.0,0.0025792569024787326,0.0025792569024787326,4,4,4,False
30.0,0.0025,circle_n2_r1,2.0,1.0,0.0007089626487397638,0.0007089626487397638,3,3,3,False
30.0,0.0025,ellipse_n2_r067,2.0,0.67,0.0034472153817861617,0.0034472153817861617,1,1,2,True
30.0,0.0025,diamond_n12_r1,1.2,1.0,0.002568714146888418,0.002568714146888418,2,2,1,True
30.0,0.0025,squircle_n4_r1,4.0,1.0,0.0003694345535816268,0.0003694345535816268,4,4,4,False
30.0,0.005,circle_n2_r1,2.0,1.0,9.970245956836266e-05,9.970245956836266e-05,3,3,3,False
30.0,0.005,ellipse_n2_r067,2.0,0.67,0.0003368674225829871,0.0003368674225829871,1,1,2,True
30.0,0.005,diamond_n12_r1,1.2,1.0,0.0001364196579678456,0.0001364196579678456,2,2,1,True
30.0,0.005,squircle_n4_r1,4.0,1.0,5.056036181727563e-06,5.056036181727563e-06,4,4,4,False
30.0,0.01,circle_n2_r1,2.0,1.0,1.4099757361663023e-08,1.4099757361663023e-08,3,3,3,False
30.0,0.01,ellipse_n2_r067,2.0,0.67,4.1004068407346494e-07,4.1004068407346494e-07,1,1,2,True
30.0,0.01,diamond_n12_r1,1.2,1.0,3.024644712468216e-08,3.024644712468216e-08,2,2,1,True
30.0,0.01,squircle_n4_r1,4.0,1.0,5.227060562162933e-09,5.227060562162933e-09,4,4,4,False
30.0,0.02,circle_n2_r1,2.0,1.0,4.499013606107383e-09,4.499013606107383e-09,3,3,3,False
30.0,0.02,ellipse_n2_r067,2.0,0.67,7.3448922499608216e-09,7.3448922499608216e-09,2,2,2,False
30.0,0.02,diamond_n12_r1,1.2,1.0,2.104162222238415e-08,2.104162222238415e-08,1,1,1,False
30.0,0.02,squircle_n4_r1,4.0,1.0,1.6702945693225502e-09,1.6702945693225502e-09,4,4,4,False
30.0,0.04,circle_n2_r1,2.0,1.0,2.802772236520923e-09,2.802772236520923e-09,4,4,3,True
30.0,0.04,ellipse_n2_r067,2.0,0.67,5.780565359714274e-09,5.780565359714274e-09,3,3,2,True
30.0,0.04,diamond_n12_r1,1.2,1.0,1.2165419338572292e-08,1.2165419338572292e-08,1,1,1,False
30.0,0.04,squircle_n4_r1,4.0,1.0,6.3175518150160315e-09,6.3175518150160315e-09,2,2,4,True
36.0,0.0,circle_n2_r1,2.0,1.0,0.006752842558119365,1.021405182655144e-14,3,3,3,False
36.0,0.0,ellipse_n2_r067,2.0,0.67,0.007388808418411941,0.0040034569529820985,2,1,2,False
36.0,0.0,diamond_n12_r1,1.2,1.0,0.009187503664123575,1.4654943925052066e-14,1,2,1,False
36.0,0.0,squircle_n4_r1,4.0,1.0,0.005852668121478555,4.884981308350689e-15,4,4,4,False
36.0,0.00125,circle_n2_r1,2.0,1.0,0.0013312245792054256,0.0013312245792054256,3,3,3,False
36.0,0.00125,ellipse_n2_r067,2.0,0.67,0.003833778456557191,0.003833778456557191,1,1,2,True
36.0,0.00125,diamond_n12_r1,1.2,1.0,0.0031762761104738857,0.0031762761104738857,2,2,1,True
36.0,0.00125,squircle_n4_r1,4.0,1.0,0.0008465733379829921,0.0008465733379829921,4,4,4,False
36.0,0.0025,circle_n2_r1,2.0,1.0,7.509954168183341e-05,7.509954168183341e-05,3,3,3,False
36.0,0.0025,ellipse_n2_r067,2.0,0.67,0.0010089697646553653,0.0010089697646553653,1,1,2,True
36.0,0.0025,diamond_n12_r1,1.2,1.0,0.0005813449011151661,0.0005813449011151661,2,2,1,True
36.0,0.0025,squircle_n4_r1,4.0,1.0,2.4918521545735928e-05,2.4918521545735928e-05,4,4,4,False
