spectrum_role,shape_id,shape_role,n,a,b,rAR,alpha,gauge,l_B,l_B_over_a,N_sites,N_plaquettes_inside_dot,phi_total,phi_total_area_proxy,geometry_hash,max_hermiticity_error,max_eigen_imag,E0,E1,E2,E3,E4,E5,dE1,dE2,dE3,dE4,dE5,min_gap_low
primary,circle_n2_r1,circle_baseline;symmetry_baseline,2.0,30.0,30.0,1.0,0.0,landau,inf,inf,2821,2700,0.0,0.0,5ef36d6c1ecc57cc8335a7c83ba03eb383e51e6d31206f88e7401eed820da404,0.0,0.0,-3.9937139130333685,-3.9840514745864666,-3.984051474586455,-3.9714681583159597,-3.971278585123546,-3.9669379939198848,0.009662438446901955,1.1546319456101628e-14,0.01258331627049536,0.00018957319241375004,0.004340591203661148,1.1546319456101628e-14
primary,circle_n2_r1,circle_baseline;symmetry_baseline,2.0,30.0,30.0,1.0,0.00125,landau,11.283791670955125,0.3761263890318375,2821,2700,3.375,3.5342917352885177,5ef36d6c1ecc57cc8335a7c83ba03eb383e51e6d31206f88e7401eed820da404,0.0,0.0,-3.990844133657622,-3.9873506980913187,-3.9813827248167604,-3.97286810765849,-3.971678236843362,-3.9625166562504437,0.0034934355663032157,0.005967973274558336,0.008514617158270177,0.0011898708151281134,0.009161580592918384,0.0034934355663032157
primary,circle_n2_r1,circle_baseline;symmetry_baseline,2.0,30.0,30.0,1.0,0.0025,landau,7.978845608028654,0.2659615202676218,2821,2700,6.75,7.068583470577035,5ef36d6c1ecc57cc8335a7c83ba03eb383e51e6d31206f88e7401eed820da404,0.0,0.0,-3.9841836554313588,-3.983474692782619,-3.9816244717870113,-3.978157409747044,-3.972760999954437,-3.965249541446851,0.0007089626487397638,0.001850220995607721,0.0034670620399674945,0.005396409792606693,0.007511458507586166,0.0007089626487397638
primary,circle_n2_r1,circle_baseline;symmetry_baseline,2.0,30.0,30.0,1.0,0.005,landau,5.641895835477563,0.18806319451591874,2821,2700,13.5,14.13716694115407,5ef36d6c1ecc57cc8335a7c83ba03eb383e51e6d31206f88e7401eed820da404,0.0,0.0,-3.9687041074270293,-3.968604404967461,-3.9677472252669492,-3.9643787399897734,-3.956259910147703,-3.941636234499655,9.970245956836266e-05,0.0008571797005116899,0.0033684852771758145,0.008118829842070241,0.014623675648048007,9.970245956836266e-05
primary,circle_n2_r1,circle_baseline;symmetry_baseline,2.0,30.0,30.0,1.0,0.01,landau,3.989422804014327,0.1329807601338109,2821,2700,27.0,28.27433388230814,5ef36d6c1ecc57cc8335a7c83ba03eb383e51e6d31206f88e7401eed820da404,0.0,0.0,-3.9376603555763103,-3.937660341476553,-3.937659975632373,-3.9376579228220985,-3.9376520683878815,-3.9376353381661793,1.4099757361663023e-08,3.6584417983931417e-07,2.0528102746553145e-06,5.854434216967519e-06,1.6730221702232484e-05,1.4099757361663023e-08
primary,circle_n2_r1,circle_baseline;symmetry_baseline,2.0,30.0,30.0,1.0,0.02,landau,2.8209479177387813,0.09403159725795937,2821,2700,54.0,56.54866776461628,5ef36d6c1ecc57cc8335a7c83ba03eb383e51e6d31206f88e7401eed820da404,0.0,0.0,-3.8763002127214303,-3.8763002082224167,-3.8763001742965235,-3.8762999530569253,-3.8762993221627067,-3.876298163177186,4.499013606107383e-09,3.3925893205832836e-08,2.2123959819708716e-07,6.308942186450395e-07,1.1589855208882227e-06,4.499013606107383e-09
primary,circle_n2_r1,circle_baseline;symmetry_baseline,2.0,30.0,30.0,1.0,0.04,landau,1.9947114020071635,0.06649038006690546,2821,2700,108.0,113.09733552923257,5ef36d6c1ecc57cc8335a7c83ba03eb383e51e6d31206f88e7401eed820da404,0.0,0.0,-3.7564910874758644,-3.756491084673092,-3.7564910758967764,-3.756491046808023,-3.7564909533735866,-3.7564906676773537,2.802772236520923e-09,8.776315674197122e-09,2.9088753628059294e-08,9.343443618803349e-08,2.856962328934287e-07,2.802772236520923e-09
primary,ellipse_n2_r067,ellipse_aspect_ratio_baseline,2.0,30.0,20.1,0.67,0.0,landau,inf,inf,1897,1796,0.0,0.0,9abc85f33f428ff8e4ae39abbc9e27068b3bec675852fb586aa20a430bf0b847,0.0,0.0,-3.99001362147158,-3.9794810080736718,-3.96997336747287,-3.9643160584541737,-3.954904496983329,-3.944524044331406,0.010532613397908008,0.009507640600801892,0.0056573090186962105,0.009411561470844543,0.010380452651923111,0.0056573090186962105
primary,ellipse_n2_r067,ellipse_aspect_ratio_baseline,2.0,30.0,20.1,0.67,0.00125,landau,11.283791670955125,0.3761263890318375,1897,1796,2.245,2.367975462643307,9abc85f33f428ff8e4ae39abbc9e27068b3bec675852fb586aa20a430bf0b847,0.0,0.0,-3.9881284897924454,-3.980822068102796,-3.9698278391415833,-3.962800810694026,-3.9551277807806766,-3.9477969342113464,0.007306421689649234,0.010994228961212826,0.007027028447557537,0.007673029913349172,0.007330846569330252,0.007027028447557537
primary,ellipse_n2_r067,ellipse_aspect_ratio_baseline,2.0,30.0,20.1,0.67,0.0025,landau,7.978845608028654,0.2659615202676218,1897,1796,4.49,4.735950925286614,9abc85f33f428ff8e4ae39abbc9e27068b3bec675852fb586aa20a430bf0b847,0.0,0.0,-3.983080472460532,-3.979633257078746,-3.9733705981901037,-3.9640011843805034,-3.9513923783605662,-3.9474749047402753,0.0034472153817861617,0.006262658888642303,0.009369413809600324,0.012608806019937191,0.003917473620290934,0.0034472153817861617
primary,ellipse_n2_r067,ellipse_aspect_ratio_baseline,2.0,30.0,20.1,0.67,0.005,landau,5.641895835477563,0.18806319451591874,1897,1796,8.98,9.471901850573229,9abc85f33f428ff8e4ae39abbc9e27068b3bec675852fb586aa20a430bf0b847,0.0,0.0,-3.968650177213924,-3.9683133097913412,-3.9672580565437467,-3.964927155846216,-3.960792477270194,-3.954435930921056,0.0003368674225829871,0.0010552532475944787,0.0023309006975309465,0.0041346785760216775,0.006356546349138181,0.0003368674225829871
primary,ellipse_n2_r067,ellipse_aspect_ratio_baseline,2.0,30.0,20.1,0.67,0.01,landau,3.989422804014327,0.1329807601338109,1897,1796,17.96,18.943803701146457,9abc85f33f428ff8e4ae39abbc9e27068b3bec675852fb586aa20a430bf0b847,0.0,0.0,-3.937660324474119,-3.9376599144334348,-3.937657094410837,-3.937643742823876,-3.9375953589965795,-3.9374533986185662,4.1004068407346494e-07,2.8200225976604543e-06,1.3351586960919093e-05,4.83838272966608e-05,0.00014196037801328387,4.1004068407346494e-07
primary,ellipse_n2_r067,ellipse_aspect_ratio_baseline,2.0,30.0,20.1,0.67,0.02,landau,2.8209479177387813,0.09403159725795937,1897,1796,35.92,37.887607402292915,9abc85f33f428ff8e4ae39abbc9e27068b3bec675852fb586aa20a430bf0b847,0.0,0.0,-3.876300212736625,-3.8763002053917326,-3.8763001033153763,-3.8762991093370536,-3.876297095310939,-3.8762920021903726,7.3448922499608216e-09,1.0207635625647526e-07,9.939783227608245e-07,2.0140261147716387e-06,5.093120566179721e-06,7.3448922499608216e-09
primary,ellipse_n2_r067,ellipse_aspect_ratio_baseline,2.0,30.0,20.1,0.67,0.04,landau,1.9947114020071635,0.06649038006690546,1897,1796,71.84,75.77521480458583,9abc85f33f428ff8e4ae39abbc9e27068b3bec675852fb586aa20a430bf0b847,0.0,0.0,-3.756491087016145,-3.7564910812355796,-3.7564910562633718,-3.7564909494155914,-3.7564905276261964,-3.7564899936921416,5.780565359714274e-09,2.497220785713239e-08,1.0684778040115361e-07,4.217893949665097e-07,5.339340547472204e-07,5.780565359714274e-09
primary,diamond_n12_r1,diamond_like_baseline,1.2,30.0,30.0,1.0,0.0,landau,inf,inf,2121,2000,0.0,0.0,6ec48aac8224a951c9e03b053a5b8b1bf6f4cc31f031d3c62fccfd7d0dee44fe,0.0,0.0,-3.9912764587037266,-3.9780819616463257,-3.9780819616463177,-3.964080610997005,-3.957156838029727,-3.9555626972432867,0.013194497057400945,7.993605777301127e-15,0.014001350649312627,0.006923772967278197,0.0015941407864401569,7.993605777301127e-15
primary,diamond_n12_r1,diamond_like_baseline,1.2,30.0,30.0,1.0,0.00125,landau,11.283791670955125,0.3761263890318375,2121,2000,2.5,3.5342917352885177,6ec48aac8224a951c9e03b053a5b8b1bf6f4cc31f031d3c62fccfd7d0dee44fe,0.0,0.0,-3.9891410487645604,-3.9824663929826922,-3.972313966913681,-3.967540551049227,-3.957698027976079,-3.953395667671696,0.006674655781868211,0.010152426069011344,0.004773415864453678,0.009842523073148257,0.004302360304382802,0.004773415864453678
primary,diamond_n12_r1,diamond_like_baseline,1.2,30.0,30.0,1.0,0.0025,landau,7.978845608028654,0.2659615202676218,2121,2000,5.0,7.068583470577035,6ec48aac8224a951c9e03b053a5b8b1bf6f4cc31f031d3c62fccfd7d0dee44fe,0.0,0.0,-3.9835963483879127,-3.9810276342410242,-3.975906506634453,-3.96807949820474,-3.9577259172502153,-3.949488905173118,0.002568714146888418,0.005121127606571019,0.007827008429713178,0.010353580954524766,0.008237012077097372,0.002568714146888418
primary,diamond_n12_r1,diamond_like_baseline,1.2,30.0,30.0,1.0,0.005,landau,5.641895835477563,0.18806319451591874,2121,2000,10.0,14.13716694115407,6ec48aac8224a951c9e03b053a5b8b1bf6f4cc31f031d3c62fccfd7d0dee44fe,0.0,0.0,-3.9686906500168333,-3.9685542303588655,-3.968014595105596,-3.966615621865983,-3.963860460986476,-3.9593374936877774,0.0001364196579678456,0.0005396352532693882,0.0013989732396129106,0.0027551608795071125,0.00452296729869861,0.0001364196579678456
primary,diamond_n12_r1,diamond_like_baseline,1.2,30.0,30.0,1.0,0.01,landau,3.989422804014327,0.1329807601338109,2121,2000,20.0,28.27433388230814,6ec48aac8224a951c9e03b053a5b8b1bf6f4cc31f031d3c62fccfd7d0dee44fe,0.0,0.0,-3.9376603542724364,-3.9376603240259893,-3.9376600278322718,-3.9376581324777122,-3.9376492226036417,-3.9376164142217887,3.024644712468216e-08,2.961937175527396e-07,1.8953545595223886e-06,8.909874070539558e-06,3.2808381853044466e-05,3.024644712468216e-08
primary,diamond_n12_r1,diamond_like_baseline,1.2,30.0,30.0,1.0,0.02,landau,2.8209479177387813,0.09403159725795937,2121,2000,40.0,56.54866776461628,6ec48aac8224a951c9e03b053a5b8b1bf6f4cc31f031d3c62fccfd7d0dee44fe,0.0,0.0,-3.8763002120845376,-3.8763001910429153,-3.8762999295043246,-3.8762976294666767,-3.876290142558818,-3.876275487987217,2.104162222238415e-08,2.615385907844825e-07,2.3000376478954365e-06,7.486907858567093e-06,1.4654571601102617e-05,2.104162222238415e-08
primary,diamond_n12_r1,diamond_like_baseline,1.2,30.0,30.0,1.0,0.04,landau,1.9947114020071635,0.06649038006690546,2121,2000,80.0,113.09733552923257,6ec48aac8224a951c9e03b053a5b8b1bf6f4cc31f031d3c62fccfd7d0dee44fe,0.0,0.0,-3.7564910873890502,-3.756491075223631,-3.75649101171644,-3.756490689122368,-3.75648926442331,-3.756487374780267,1.2165419338572292e-08,6.350719106151814e-08,3.225940718998288e-07,1.4246990578392627e-06,1.8896430429293787e-06,1.2165419338572292e-08
primary,squircle_n4_r1,square_like_squircle_baseline,4.0,30.0,30.0,1.0,0.0,landau,inf,inf,3293,3172,0.0,0.0,fcb1526e4d475563f20cae9cec7f051eb883485c0fa336a6cb951099d8a8e34a,0.0,0.0,-3.9944332659649957,-3.986010034487361,-3.9860100344873235,-3.9770462412739245,-3.9726298593753406,-3.9716114457102023,0.008423231477634907,3.730349362740526e-14,0.008963793213399018,0.004416381898583843,0.001018413665138329,3.730349362740526e-14
primary,squircle_n4_r1,square_like_squircle_baseline,4.0,30.0,30.0,1.0,0.00125,landau,11.283791670955125,0.3761263890318375,3293,3172,3.9650000000000003,3.5342917352885177,fcb1526e4d475563f20cae9cec7f051eb883485c0fa336a6cb951099d8a8e34a,0.0,0.0,-3.9912528541332226,-3.988673597230744,-3.984145593175038,-3.9779824716957672,-3.972481869162993,-3.9705424171228687,0.0025792569024787326,0.004528004055706081,0.006163121479270561,0.005500602532774401,0.0019394520401241344,0.0025792569024787326
primary,squircle_n4_r1,square_like_squircle_baseline,4.0,30.0,30.0,1.0,0.0025,landau,7.978845608028654,0.2659615202676218,3293,3172,7.930000000000001,7.068583470577035,fcb1526e4d475563f20cae9cec7f051eb883485c0fa336a6cb951099d8a8e34a,0.0,0.0,-3.984259613425845,-3.9838901788722634,-3.982815235845459,-3.9806492784133884,-3.9771281686323365,-3.9721041703432216,0.0003694345535816268,0.0010749430268042204,0.0021659574320707087,0.003521109781051912,0.005023998289114928,0.0003694345535816268
primary,squircle_n4_r1,square_like_squircle_baseline,4.0,30.0,30.0,1.0,0.005,landau,5.641895835477563,0.18806319451591874,3293,3172,15.860000000000001,14.13716694115407,fcb1526e4d475563f20cae9cec7f051eb883485c0fa336a6cb951099d8a8e34a,0.0,0.0,-3.9687071990819893,-3.9687021430458076,-3.9686808675427763,-3.9686064302272523,-3.9684014968676182,-3.96793677147768,5.056036181727563e-06,2.1275503031326082e-05,7.443731552392308e-05,0.00020493335963411852,0.00046472538993835855,5.056036181727563e-06
primary,squircle_n4_r1,square_like_squircle_baseline,4.0,30.0,30.0,1.0,0.01,landau,3.989422804014327,0.1329807601338109,3293,3172,31.720000000000002,28.27433388230814,fcb1526e4d475563f20cae9cec7f051eb883485c0fa336a6cb951099d8a8e34a,0.0,0.0,-3.93766035567581,-3.9376603504487493,-3.937660241209805,-3.9376596763307714,-3.9376581289918966,-3.937653768252253,5.227060562162933e-09,1.0923894411263291e-07,5.648790337708931e-07,1.5473388748077355e-06,4.3607396436051715e-06,5.227060562162933e-09
primary,squircle_n4_r1,square_like_squircle_baseline,4.0,30.0,30.0,1.0,0.02,landau,2.8209479177387813,0.09403159725795937,3293,3172,63.440000000000005,56.54866776461628,fcb1526e4d475563f20cae9cec7f051eb883485c0fa336a6cb951099d8a8e34a,0.0,0.0,-3.8763002128241557,-3.876300211153861,-3.8763002011585552,-3.8763001470972043,-3.8762998905111417,-3.876299531337409,1.6702945693225502e-09,9.995305916277175e-09,5.406135095142872e-08,2.565860626191352e-07,3.591737325336908e-07,1.6702945693225502e-09
primary,squircle_n4_r1,square_like_squircle_baseline,4.0,30.0,30.0,1.0,0.04,landau,1.9947114020071635,0.06649038006690546,3293,3172,126.88000000000001,113.09733552923257,fcb1526e4d475563f20cae9cec7f051eb883485c0fa336a6cb951099d8a8e34a,0.0,0.0,-3.7564910870093478,-3.756491080691796,-3.7564910637654867,-3.7564910231990036,-3.756490920151554,-3.7564906656089474,6.3175518150160315e-09,1.6926309243103788e-08,4.056648306161037e-08,1.0304744968436808e-07,2.545426065481138e-07,6.3175518150160315e-09
primary,circle_n2_r1,circle_baseline;symmetry_baseline,2.0,36.0,36.0,1.0,0.0,landau,inf,inf,4053,3908,0.0,0.0,8c1aa7d4d3785f75a7f4ad7506502af555961071baf9ca86a8e4343a9d72d45b,0.0,0.0,-3.995608282027698,-3.9888554394695785,-3.9888554394695683,-3.9800045758845464,-3.979978300705251,-3.9768881485312204,0.006752842558119365,1.021405182655144e-14,0.008850863585021962,2.6275179295431883e-05,0.003090152174030525,1.021405182655144e-14
