a,alpha,shape_a,shape_b,dE1_diff_alpha0,dE1_diff_alpha,delta_crossover,alpha0_separated,ranking_reversed,thresholded,weak_field,l_B,l_B_filter_pass,circle_symmetry_artifact_candidate,onset_artifact_candidate,qualifies_before_size_stability,initial_winner,field_winner,notes
30.0,0.00125,circle_n2_r1,ellipse_n2_r067,-0.000870174951006053,-0.0038129861233460183,0.001,False,False,False,True,11.283791670955125,True,True,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
30.0,0.0025,circle_n2_r1,ellipse_n2_r067,-0.000870174951006053,-0.002738252733046398,0.001,False,False,False,True,7.978845608028654,True,True,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
30.0,0.005,circle_n2_r1,ellipse_n2_r067,-0.000870174951006053,-0.00023716496301462442,0.001,False,False,False,True,5.641895835477563,True,True,True,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
30.0,0.01,circle_n2_r1,ellipse_n2_r067,-0.000870174951006053,-3.959409267118019e-07,0.001,False,False,False,False,3.989422804014327,False,True,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
30.0,0.02,circle_n2_r1,ellipse_n2_r067,-0.000870174951006053,-2.845878643853439e-09,0.001,False,False,False,False,2.8209479177387813,False,True,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
30.0,0.04,circle_n2_r1,ellipse_n2_r067,-0.000870174951006053,-2.9777931231933508e-09,0.001,False,False,False,False,1.9947114020071635,False,True,False,False,ellipse_n2_r067,ellipse_n2_r067,no_thresholded_reversal
30.0,0.00125,circle_n2_r1,diamond_n12_r1,-0.0035320586104989893,-0.003181220215564995,0.001,True,False,False,True,11.283791670955125,True,True,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
30.0,0.0025,circle_n2_r1,diamond_n12_r1,-0.0035320586104989893,-0.001859751498148654,0.001,True,False,False,True,7.978845608028654,True,True,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
30.0,0.005,circle_n2_r1,diamond_n12_r1,-0.0035320586104989893,-3.671719839948295e-05,0.001,True,False,False,True,5.641895835477563,True,True,True,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
30.0,0.01,circle_n2_r1,diamond_n12_r1,-0.0035320586104989893,-1.614668976301914e-08,0.001,True,False,False,False,3.989422804014327,False,True,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
30.0,0.02,circle_n2_r1,diamond_n12_r1,-0.0035320586104989893,-1.6542608616276766e-08,0.001,True,False,False,False,2.8209479177387813,False,True,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
30.0,0.04,circle_n2_r1,diamond_n12_r1,-0.0035320586104989893,-9.362647102051369e-09,0.001,True,False,False,False,1.9947114020071635,False,True,False,False,diamond_n12_r1,diamond_n12_r1,no_thresholded_reversal
