a,alpha,shape_a,shape_b,dE1_diff_alpha0,dE1_diff_alpha,delta_crossover,zero_field_near_tie,weak_field_separation,weak_field,l_B,l_B_filter_pass,circle_symmetry_artifact_candidate,onset_artifact_candidate,qualifies_before_size_stability,separation_winner,notes
30.0,0.00125,circle_n2_r1,ellipse_n2_r067,-0.000870174951006053,-0.0038129861233460183,0.001,True,True,True,11.283791670955125,True,True,False,False,ellipse_n2_r067,ROBUSTNESS_DIVERGENCE_CANDIDATE;SYMMETRY_ARTIFACT_CANDIDATE
30.0,0.0025,circle_n2_r1,ellipse_n2_r067,-0.000870174951006053,-0.002738252733046398,0.001,True,True,True,7.978845608028654,True,True,False,False,ellipse_n2_r067,ROBUSTNESS_DIVERGENCE_CANDIDATE;SYMMETRY_ARTIFACT_CANDIDATE
30.0,0.005,circle_n2_r1,ellipse_n2_r067,-0.000870174951006053,-0.00023716496301462442,0.001,True,False,True,5.641895835477563,True,True,False,False,ellipse_n2_r067,no_weak_field_near_tie_separation
30.0,0.00125,circle_n2_r1,diamond_n12_r1,-0.0035320586104989893,-0.003181220215564995,0.001,False,False,True,11.283791670955125,True,True,False,False,diamond_n12_r1,no_weak_field_near_tie_separation
30.0,0.0025,circle_n2_r1,diamond_n12_r1,-0.0035320586104989893,-0.001859751498148654,0.001,False,False,True,7.978845608028654,True,True,False,False,diamond_n12_r1,no_weak_field_near_tie_separation
30.0,0.005,circle_n2_r1,diamond_n12_r1,-0.0035320586104989893,-3.671719839948295e-05,0.001,False,False,True,5.641895835477563,True,True,True,False,diamond_n12_r1,no_weak_field_near_tie_separation
30.0,0.00125,circle_n2_r1,squircle_n4_r1,0.0012392069692670482,0.0009141786638244831,0.001,False,False,True,11.283791670955125,True,True,False,False,circle_n2_r1,no_weak_field_near_tie_separation
30.0,0.0025,circle_n2_r1,squircle_n4_r1,0.0012392069692670482,0.000339528095158137,0.001,False,False,True,7.978845608028654,True,True,False,False,circle_n2_r1,no_weak_field_near_tie_separation
30.0,0.005,circle_n2_r1,squircle_n4_r1,0.0012392069692670482,9.464642338663509e-05,0.001,False,False,True,5.641895835477563,True,True,True,False,circle_n2_r1,no_weak_field_near_tie_separation
30.0,0.00125,ellipse_n2_r067,diamond_n12_r1,-0.0026618836594929363,0.0006317659077810234,0.001,False,False,True,11.283791670955125,True,False,False,False,ellipse_n2_r067,no_weak_field_near_tie_separation
30.0,0.0025,ellipse_n2_r067,diamond_n12_r1,-0.0026618836594929363,0.0008785012348977439,0.001,False,False,True,7.978845608028654,True,False,False,False,ellipse_n2_r067,no_weak_field_near_tie_separation
30.0,0.005,ellipse_n2_r067,diamond_n12_r1,-0.0026618836594929363,0.00020044776461514147,0.001,False,False,True,5.641895835477563,True,False,True,False,ellipse_n2_r067,no_weak_field_near_tie_separation
30.0,0.00125,ellipse_n2_r067,squircle_n4_r1,0.0021093819202731012,0.004727164787170501,0.001,False,False,True,11.283791670955125,True,False,False,False,ellipse_n2_r067,no_weak_field_near_tie_separation
30.0,0.0025,ellipse_n2_r067,squircle_n4_r1,0.0021093819202731012,0.003077780828204535,0.001,False,False,True,7.978845608028654,True,False,False,False,ellipse_n2_r067,no_weak_field_near_tie_separation
30.0,0.005,ellipse_n2_r067,squircle_n4_r1,0.0021093819202731012,0.0003318113864012595,0.001,False,False,True,5.641895835477563,True,False,True,False,ellipse_n2_r067,no_weak_field_near_tie_separation
30.0,0.00125,diamond_n12_r1,squircle_n4_r1,0.0047712655797660375,0.004095398879389478,0.001,False,False,True,11.283791670955125,True,False,False,False,diamond_n12_r1,no_weak_field_near_tie_separation
30.0,0.0025,diamond_n12_r1,squircle_n4_r1,0.0047712655797660375,0.002199279593306791,0.001,False,False,True,7.978845608028654,True,False,False,False,diamond_n12_r1,no_weak_field_near_tie_separation
30.0,0.005,diamond_n12_r1,squircle_n4_r1,0.0047712655797660375,0.00013136362178611805,0.001,False,False,True,5.641895835477563,True,False,True,False,diamond_n12_r1,no_weak_field_near_tie_separation
36.0,0.00125,circle_n2_r1,ellipse_n2_r067,-0.0006359658602925755,-0.0025025538773517653,0.001,True,True,True,11.283791670955125,True,True,False,False,ellipse_n2_r067,ROBUSTNESS_DIVERGENCE_CANDIDATE;SYMMETRY_ARTIFACT_CANDIDATE
36.0,0.0025,circle_n2_r1,ellipse_n2_r067,-0.0006359658602925755,-0.0009338702229735318,0.001,True,False,True,7.978845608028654,True,True,False,False,ellipse_n2_r067,no_weak_field_near_tie_separation
36.0,0.005,circle_n2_r1,ellipse_n2_r067,-0.0006359658602925755,-0.00020835042982803031,0.001,True,False,True,5.641895835477563,True,True,False,False,ellipse_n2_r067,no_weak_field_near_tie_separation
36.0,0.00125,circle_n2_r1,diamond_n12_r1,-0.00243466110600421,-0.0018450515312684601,0.001,False,False,True,11.283791670955125,True,True,False,False,diamond_n12_r1,no_weak_field_near_tie_separation
36.0,0.0025,circle_n2_r1,diamond_n12_r1,-0.00243466110600421,-0.0005062453594333327,0.001,False,False,True,7.978845608028654,True,True,False,False,diamond_n12_r1,no_weak_field_near_tie_separation
36.0,0.005,circle_n2_r1,diamond_n12_r1,-0.00243466110600421,-6.327160255992226e-05,0.001,False,False,True,5.641895835477563,True,True,True,False,diamond_n12_r1,no_weak_field_near_tie_separation
36.0,0.00125,circle_n2_r1,squircle_n4_r1,0.0009001744366408104,0.0004846512412224335,0.001,True,False,True,11.283791670955125,True,True,False,False,circle_n2_r1,no_weak_field_near_tie_separation
36.0,0.0025,circle_n2_r1,squircle_n4_r1,0.0009001744366408104,5.018102013609749e-05,0.001,True,False,True,7.978845608028654,True,True,False,False,circle_n2_r1,no_weak_field_near_tie_separation
36.0,0.005,circle_n2_r1,squircle_n4_r1,0.0009001744366408104,2.622518158190701e-08,0.001,True,False,True,5.641895835477563,True,True,True,False,circle_n2_r1,no_weak_field_near_tie_separation
36.0,0.00125,ellipse_n2_r067,diamond_n12_r1,-0.0017986952457116345,0.0006575023460833052,0.001,False,False,True,11.283791670955125,True,False,False,False,ellipse_n2_r067,no_weak_field_near_tie_separation
36.0,0.0025,ellipse_n2_r067,diamond_n12_r1,-0.0017986952457116345,0.00042762486354019913,0.001,False,False,True,7.978845608028654,True,False,False,False,ellipse_n2_r067,no_weak_field_near_tie_separation
36.0,0.005,ellipse_n2_r067,diamond_n12_r1,-0.0017986952457116345,0.00014507882726810806,0.001,False,False,True,5.641895835477563,True,False,True,False,ellipse_n2_r067,no_weak_field_near_tie_separation
36.0,0.00125,ellipse_n2_r067,squircle_n4_r1,0.001536140296933386,0.002987205118574199,0.001,False,False,True,11.283791670955125,True,False,False,False,ellipse_n2_r067,no_weak_field_near_tie_separation
36.0,0.0025,ellipse_n2_r067,squircle_n4_r1,0.001536140296933386,0.0009840512431096293,0.001,False,False,True,7.978845608028654,True,False,False,False,ellipse_n2_r067,no_weak_field_near_tie_separation
36.0,0.005,ellipse_n2_r067,squircle_n4_r1,0.001536140296933386,0.00020837665500961222,0.001,False,False,True,5.641895835477563,True,False,True,False,ellipse_n2_r067,no_weak_field_near_tie_separation
36.0,0.00125,diamond_n12_r1,squircle_n4_r1,0.0033348355426450205,0.0023297027724908936,0.001,False,False,True,11.283791670955125,True,False,False,False,diamond_n12_r1,no_weak_field_near_tie_separation
36.0,0.0025,diamond_n12_r1,squircle_n4_r1,0.0033348355426450205,0.0005564263795694302,0.001,False,False,True,7.978845608028654,True,False,False,False,diamond_n12_r1,no_weak_field_near_tie_separation
36.0,0.005,diamond_n12_r1,squircle_n4_r1,0.0033348355426450205,6.329782774150416e-05,0.001,False,False,True,5.641895835477563,True,False,True,False,diamond_n12_r1,no_weak_field_near_tie_separation
