a,alpha,shape_id,n,rAR,split_12,delta_crossover,split_12_le_delta,symmetry_artifact_candidate
30.0,0.0,circle_n2_r1,2.0,1.0,1.1546319456101628e-14,0.001,True,True
30.0,0.00125,circle_n2_r1,2.0,1.0,0.005967973274558336,0.001,False,False
30.0,0.0025,circle_n2_r1,2.0,1.0,0.001850220995607721,0.001,False,False
30.0,0.005,circle_n2_r1,2.0,1.0,0.0008571797005116899,0.001,True,True
30.0,0.01,circle_n2_r1,2.0,1.0,3.6584417983931417e-07,0.001,True,True
30.0,0.02,circle_n2_r1,2.0,1.0,3.3925893205832836e-08,0.001,True,True
30.0,0.04,circle_n2_r1,2.0,1.0,8.776315674197122e-09,0.001,True,True
36.0,0.0,circle_n2_r1,2.0,1.0,1.021405182655144e-14,0.001,True,True
36.0,0.00125,circle_n2_r1,2.0,1.0,0.0026840220136450377,0.001,False,False
36.0,0.0025,circle_n2_r1,2.0,1.0,0.0002944272104272727,0.001,True,True
36.0,0.005,circle_n2_r1,2.0,1.0,7.768217091808083e-07,0.001,True,True
36.0,0.01,circle_n2_r1,2.0,1.0,1.1938240795927868e-07,0.001,True,True
36.0,0.02,circle_n2_r1,2.0,1.0,1.0965421459729896e-08,0.001,True,True
36.0,0.04,circle_n2_r1,2.0,1.0,3.327646114215099e-08,0.001,True,True
