n,target,protocol,model,feature_set,seed,left_out_group,mae,rmse,max_abs_error,n_iter,max_iter,converged
1.2,E0,LOAO,ridge,physics_informed,NaN,24.0,0.00038736903074777985,0.0005410215947493601,0.0012573584478166033,NaN,NaN,NaN
1.2,E0,LOAO,ridge,physics_informed,NaN,27.0,0.00017983790557504368,0.00025015225981426056,0.0005631165396748905,NaN,NaN,NaN
1.2,E0,LOAO,ridge,physics_informed,NaN,30.0,0.0001329610810450862,0.0001493435305863573,0.0002357419300693664,NaN,NaN,NaN
1.2,E0,LOAO,ridge,physics_informed,NaN,33.0,0.00020557013964385616,0.00022853277290425943,0.00040553559273304174,NaN,NaN,NaN
1.2,E0,LOAO,ridge,physics_informed,NaN,36.0,0.0002512946903645563,0.0002845377439292512,0.0004670945348954625,NaN,NaN,NaN
1.2,E0,LOAO,mlp,raw,0,24.0,0.0006585199789610156,0.0008421017717170555,0.0018255145619452406,66.0,5000.0,True
1.2,E0,LOAO,mlp,raw,0,27.0,0.00013882153021547796,0.00019564167740308044,0.0004474877766802443,77.0,5000.0,True
1.2,E0,LOAO,mlp,raw,0,30.0,5.176996357622191e-05,6.140387983939758e-05,9.507605309977407e-05,62.0,5000.0,True
1.2,E0,LOAO,mlp,raw,0,33.0,8.1734976090621e-05,8.514149808401871e-05,0.00010684360544654936,64.0,5000.0,True
1.2,E0,LOAO,mlp,raw,0,36.0,0.00023256275348249034,0.00023742376801224436,0.0002726689917729175,119.0,5000.0,True
1.2,E0,LOAO,mlp,raw,1,24.0,0.0003250848091577956,0.0004897689947640439,0.0011714853037543271,92.0,5000.0,True
1.2,E0,LOAO,mlp,raw,1,27.0,0.00011196383255152043,0.00013389600518510494,0.00028343704701683237,119.0,5000.0,True
1.2,E0,LOAO,mlp,raw,1,30.0,4.004948780763787e-05,4.737411498354097e-05,7.499784843023605e-05,186.0,5000.0,True
1.2,E0,LOAO,mlp,raw,1,33.0,7.521960576336742e-05,8.823507255885629e-05,0.00015749942815102003,103.0,5000.0,True
1.2,E0,LOAO,mlp,raw,1,36.0,0.00014857966497964066,0.00020781969786484332,0.00042681200434779853,154.0,5000.0,True
1.2,E0,LOAO,mlp,raw,2,24.0,0.0003940637421222526,0.0005505896755287856,0.0012821563694451754,85.0,5000.0,True
1.2,E0,LOAO,mlp,raw,2,27.0,0.0001631995359275987,0.0001819065894827286,0.0002723671342192979,74.0,5000.0,True
1.2,E0,LOAO,mlp,raw,2,30.0,4.997610486747105e-05,7.599991626982244e-05,0.00016763791214247092,76.0,5000.0,True
1.2,E0,LOAO,mlp,raw,2,33.0,3.266024616215597e-05,4.5671184393807125e-05,9.638335229711359e-05,56.0,5000.0,True
1.2,E0,LOAO,mlp,raw,2,36.0,0.00013617434021475004,0.00018342895137527646,0.0003437709224067831,89.0,5000.0,True
1.2,E0,LOAO,mlp,raw,3,24.0,0.0006146595448575098,0.0007069274493368003,0.0012234722096380324,73.0,5000.0,True
1.2,E0,LOAO,mlp,raw,3,27.0,0.0001823603120363972,0.0002078949290261948,0.00034251217708014536,86.0,5000.0,True
1.2,E0,LOAO,mlp,raw,3,30.0,5.267610716064297e-05,6.170426786168761e-05,0.00011957119639971481,63.0,5000.0,True
1.2,E0,LOAO,mlp,raw,3,33.0,5.7596003479939585e-05,6.469377627936024e-05,9.152296483616595e-05,75.0,5000.0,True
1.2,E0,LOAO,mlp,raw,3,36.0,0.00014013978914251268,0.00015746782451493447,0.00024514626810789863,136.0,5000.0,True
1.2,E0,LOAO,mlp,raw,4,24.0,0.0007871311934227267,0.000960179848118609,0.0020064482519219773,166.0,5000.0,True
1.2,E0,LOAO,mlp,raw,4,27.0,0.0002060448528178327,0.00021728284026332697,0.00027440854466442843,238.0,5000.0,True
1.2,E0,LOAO,mlp,raw,4,30.0,3.461979513901576e-05,4.134693563736327e-05,7.502213468058017e-05,256.0,5000.0,True
1.2,E0,LOAO,mlp,raw,4,33.0,4.828288792062858e-05,4.892854299701716e-05,5.6455697948099015e-05,301.0,5000.0,True
1.2,E0,LOAO,mlp,raw,4,36.0,0.00010301800186437607,0.00011624686110828214,0.00018178131432744493,280.0,5000.0,True
1.2,E0,LOAO,mlp,raw,5,24.0,0.0006606113676737659,0.0008740736577465738,0.0018851903739469655,88.0,5000.0,True
1.2,E0,LOAO,mlp,raw,5,27.0,9.117451168957505e-05,0.00011447953245103056,0.00023956277026027095,103.0,5000.0,True
1.2,E0,LOAO,mlp,raw,5,30.0,3.200340261676006e-05,4.0457946963857266e-05,7.369878293461696e-05,81.0,5000.0,True
