n,target,protocol,ridge_mae,mlp_physics_mae_mean,mlp_physics_mae_std,mlp_physics_mae_se,delta_mae,improvement_percent,passes_15_percent,seed_stable,has_convergence_failures,num_convergence_failures,num_total_mlp_physics_fits,cell_success,mlp_raw_mae_mean,mlp_raw_mae_std
1.2,E0,LOAO,0.00023140656947526444,0.00017020238740575724,5.873722023675448e-05,1.8574339937507873e-05,6.120418206950721e-05,26.448766000158635,True,True,False,0,50,True,0.00019830609063130772,3.150235690502434e-05
1.2,E0,LOARO,0.0002697198654715167,8.202077476843556e-05,5.078356756023606e-06,1.605917411993861e-06,0.00018769909070308113,69.59038422140353,True,True,False,0,70,True,0.00010524225060646638,1.1536321973860538e-05
1.2,dE1,LOAO,0.00013115473979540346,0.00028256360298016704,5.2909657167367586e-05,1.673150268675343e-05,-0.0001514088631847636,-115.44292140791542,False,False,False,0,50,False,0.00033610409129213915,0.00010221172568592468
1.2,dE1,LOARO,0.00013591922919098913,0.0001429641579416265,1.3174872348969463e-05,4.166260450471623e-06,-7.044928750637373e-06,-5.1831729716021835,False,False,False,0,70,False,0.00016526310534540158,1.65422306733925e-05
2.0,E0,LOAO,0.00017903089767750758,0.00012786804033032846,2.8387000717693528e-05,8.976757820874599e-06,5.116285734717911e-05,28.57766900065481,True,True,False,0,50,True,0.00015895858196289582,3.0641238944365305e-05
2.0,E0,LOARO,0.00021726278113650213,4.241567071703502e-05,2.0241060299096422e-06,6.400785280195371e-07,0.0001748471104194671,80.47724948785128,True,True,False,0,70,True,6.0680542900101646e-05,7.626746382217401e-06
2.0,dE1,LOAO,9.344331218264335e-05,0.00024097608200105282,5.21983625308831e-05,1.650657157287818e-05,-0.00014753276981840945,-157.88478209124628,False,False,False,0,50,False,0.0003881658495632189,8.988160433724388e-05
2.0,dE1,LOARO,8.376424098286877e-05,5.202990144263853e-05,5.252908943407987e-06,1.6611156602637761e-06,3.173433954023024e-05,37.88530662710889,True,True,False,0,70,True,6.338809893662384e-05,7.777999988703105e-06
3.0,E0,LOAO,0.0001619107121425069,0.0001110718789727968,2.9263290350738756e-05,9.253864933916206e-06,5.083883316971011e-05,31.39930181084247,True,True,False,0,50,True,0.00012519645873994582,2.7061578556380668e-05
3.0,E0,LOARO,0.00019390608761901923,6.407355900207356e-05,3.860236244121405e-06,1.2207138837757408e-06,0.00012983252861694565,66.95639637267946,True,True,False,0,70,True,7.801177027525568e-05,6.534457605287202e-06
3.0,dE1,LOAO,9.037091662685003e-05,0.0003039838140982051,0.0001417213304414215,4.4816219722424804e-05,-0.00021361289747135506,-236.37349873674813,False,False,False,0,50,False,0.0002814173602952273,4.26824965118363e-05
3.0,dE1,LOARO,9.085816192982835e-05,4.6236867258364396e-05,2.7712632333058267e-06,8.763503813129006e-07,4.462129467146396e-05,49.11093700742693,True,True,False,0,70,True,5.4446797304571486e-05,7.610298332902091e-06
4.0,E0,LOAO,0.00015384268608485487,0.00015085459092513355,2.879818314140355e-05,9.106785120149809e-06,2.9880951597213224e-06,1.9423056342588698,False,False,False,0,50,False,0.0001436758865919861,3.0255305974949225e-05
4.0,E0,LOARO,0.0001785440581652864,8.99864531977939e-05,5.459718526210341e-06,1.7265145926242388e-06,8.855760496749251e-05,49.59986116452594,True,True,False,0,70,True,9.130669682880821e-05,8.541460448486512e-06
4.0,dE1,LOAO,9.880990020746484e-05,0.00030004087708269077,0.000133982401315779,4.236895545366024e-05,-0.00020123097687522594,-203.65467068857888,False,False,False,0,50,False,0.0002529929865711971,5.5094898035954605e-05
4.0,dE1,LOARO,0.0001041253486557378,6.706305389542345e-05,8.12189948641463e-06,2.5683701304022014e-06,3.706229476031435e-05,35.59392140222336,True,True,False,0,70,True,6.760606217252938e-05,7.0604239405418235e-06
