n,a,aspect_ratio,N_sites,E0,E1,E2,E3,dE1,dE2,dE3,E_kin,scaled_E0,scaled_dE1,analytic_area,N_sites_over_area,R_eff,E_Bessel,bessel_relative_error,N_A,N_B,delta_N,imbalance_ratio
1.2,24.0,0.67,905,-3.978659036696258,-3.953602654571815,-3.9394488639881495,-3.9237664323548778,0.025056382124442944,0.014153790583665504,0.015682431633271765,0.021340963303742022,12.292394862955405,14.432476103679136,907.8306146779609,0.9968820012982653,nan,nan,nan,453,452,1,0.0011049723756906078
2.0,24.0,0.67,1205,-3.984454423386692,-3.967848913412535,-3.953515420326659,-3.944142887988976,0.016605509974156885,0.014333493085875837,0.009372532337683204,0.015545576613308132,8.954252129265484,9.564773745114366,1212.4034368733733,0.9938935863688528,nan,nan,nan,605,600,5,0.004149377593360996
3.0,24.0,0.67,1357,-3.9860343156824802,-3.9717179053896596,-3.9577678417175264,-3.9496616804863125,0.014316410292820603,0.01395006367213325,0.008106161231213882,0.013965684317519766,8.044234166891385,8.246252328664667,1363.562453020323,0.9951872735966094,nan,nan,nan,681,676,5,0.0036845983787767134
4.0,24.0,0.67,1425,-3.9865773695408153,-3.972883445041341,-3.95949779253631,-3.951306491866825,0.013693924499474264,0.013385652505030876,0.008191300669485369,0.013422630459184681,7.731435144490376,7.887700511697176,1431.0489989282917,0.9957730315783584,nan,nan,nan,709,716,-7,0.004912280701754386
1.2,24.0,0.72,983,-3.980772670709243,-3.957224200209091,-3.9463099670881405,-3.9288297842152273,0.02354847050015163,0.010914233120950634,0.017480182872913197,0.01922732929075721,11.074941671476154,13.563919008087339,975.5791680121368,1.0076065912754,nan,nan,nan,497,486,11,0.011190233977619531
2.0,24.0,0.72,1303,-3.985955211484365,-3.9696942450359405,-3.9591967739517586,-3.946380182652678,0.01626096644842434,0.010497471084181864,0.012816591299080748,0.014044788515635176,8.089798185005861,9.36631667429242,1302.8813052967594,1.0000911017010974,nan,nan,nan,649,654,-5,0.003837298541826554
3.0,24.0,0.72,1459,-3.9873320331684248,-3.973143123540598,-3.9628514720569896,-3.951081369250228,0.014188909627826707,0.010291651483608444,0.011770102806761606,0.012667966831575228,7.296748894987331,8.172811945628183,1465.3208450367645,0.9956863747225231,nan,nan,nan,733,726,7,0.004797806716929404
4.0,24.0,0.72,1535,-3.9877981345671367,-3.974319916381329,-3.964278831595711,-3.952530333400324,0.013478218185807744,0.010041084785617826,0.011748498195387036,0.01220186543286328,7.028274489329249,7.763453675025261,1537.8437003408505,0.9981508521703342,nan,nan,nan,769,766,3,0.001954397394136808
1.2,24.0,0.78,1053,-3.9823745900182175,-3.9593681609316507,-3.952053014760949,-3.9314378160692085,0.023006429086566804,0.007315146170701503,0.020615198691740666,0.017625409981782525,10.152236149506734,13.25170315386248,1056.877432013148,0.9963312377616368,nan,nan,nan,535,518,17,0.016144349477682812
2.0,24.0,0.78,1413,-3.987253126647984,-3.9715219517107885,-3.9638927431752724,-3.948736433710873,0.015731174937195558,0.007629208535516074,0.015156309464399609,0.012746873352015964,7.342199050761195,9.061156763824641,1411.4547474048225,1.0010947942879633,nan,nan,nan,711,702,9,0.006369426751592357
