n,target,protocol,left_out_group,a,aspect_ratio,y_true,y_pred,residual,abs_residual,squared_residual,N_sites,analytic_area,N_sites_over_area,edge_area_error_signed,edge_area_error_abs,N_A,N_B,delta_N,imbalance_ratio,abs_delta_N_over_N
1.2,E0,LOAO,24.0,24.0,0.67,-3.978659036696258,-3.9799163951440746,-0.0012573584478166033,0.0012573584478166033,1.580950266295778e-06,905.0,907.8306146779609,0.9968820012982653,-0.003117998701734681,0.003117998701734681,453.0,452.0,1.0,0.0011049723756906078,0.0011049723756906078
1.2,E0,LOAO,24.0,24.0,0.72,-3.980772670709243,-3.981112761009032,-0.0003400902997894306,0.0003400902997894306,1.1566141201086479e-07,983.0,975.5791680121368,1.0076065912754,0.0076065912753999765,0.0076065912753999765,497.0,486.0,11.0,0.011190233977619531,0.011190233977619531
1.2,E0,LOAO,24.0,24.0,0.78,-3.9823745900182175,-3.9823959057908818,-2.1315772664287636e-05,2.1315772664287636e-05,4.5436216427559203e-10,1053.0,1056.877432013148,0.9963312377616368,-0.00366876223836321,0.00366876223836321,535.0,518.0,17.0,0.016144349477682812,0.016144349477682812
1.2,E0,LOAO,24.0,24.0,0.83,-3.9835555589355227,-3.9833626116315934,0.0001929473039292695,0.0001929473039292695,3.72286620935739e-08,1127.0,1124.625985347324,1.0021109370436099,0.002110937043609873,0.002110937043609873,563.0,564.0,-1.0,0.0008873114463176575,0.0008873114463176575
1.2,E0,LOAO,24.0,24.0,0.89,-3.984734610564635,-3.984423073925215,0.00031153663941996257,0.00031153663941996257,9.705507770108378e-08,1203.0,1205.9242493483357,0.9975750969848098,-0.0024249030151901607,0.0024249030151901607,593.0,610.0,-17.0,0.014131338320864505,0.014131338320864505
1.2,E0,LOAO,24.0,24.0,0.94,-3.985681282375892,-3.985237930732061,0.0004433516438311358,0.0004433516438311358,1.9656068008777028e-07,1277.0,1273.672802682512,1.0026122857538298,0.0026122857538297684,0.0026122857538297684,639.0,638.0,1.0,0.0007830853563038371,0.0007830853563038371
1.2,E0,LOAO,24.0,24.0,1.0,-3.9862921556839734,-3.9861471725761897,0.00014498310778376933,0.00014498310778376933,2.1020101542640075e-08,1341.0,1354.9710666835233,0.9896890295098925,-0.01031097049010754,0.01031097049010754,685.0,656.0,29.0,0.02162565249813572,0.02162565249813572
1.2,E0,LOAO,27.0,27.0,0.67,-3.9832375762787633,-3.983800692818438,-0.0005631165396748905,0.0005631165396748905,3.1710023725542253e-07,1155.0,1148.9731217017938,1.0052454475952226,0.005245447595222608,0.005245447595222608,577.0,578.0,-1.0,0.0008658008658008658,0.0008658008658008658
1.2,E0,LOAO,27.0,27.0,0.72,-3.9846332952154384,-3.9848261817016444,-0.0001928864862059676,0.0001928864862059676,3.7205196560884926e-08,1237.0,1234.7173845153604,1.0018486946999094,0.0018486946999094478,0.0018486946999094478,613.0,624.0,-11.0,0.00889248181083266,0.00889248181083266
1.2,E0,LOAO,27.0,27.0,0.78,-3.985940967373032,-3.985937850650977,3.1167220551076014e-06,3.1167220551076014e-06,9.71395636879415e-12,1329.0,1337.610499891641,0.9935627748942323,-0.006437225105767719,0.006437225105767719,655.0,674.0,-19.0,0.014296463506395787,0.014296463506395787
1.2,E0,LOAO,27.0,27.0,0.83,-3.9870026759616506,-3.986784246596662,0.0002184293649887259,0.0002184293649887259,4.7711387489378034e-08,1431.0,1423.3547627052076,1.0053712802283121,0.005371280228312125,0.005371280228312125,717.0,714.0,3.0,0.0020964360587002098,0.0020964360587002098
1.2,E0,LOAO,27.0,27.0,0.89,-3.9877910173719084,-3.9877222638141254,6.875355778301895e-05,6.875355778301895e-05,4.727051707822926e-09,1515.0,1526.2478780814874,0.9926303726655291,-0.007369627334470885,0.007369627334470885,767.0,748.0,19.0,0.012541254125412541,0.012541254125412541
1.2,E0,LOAO,27.0,27.0,0.94,-3.98862243572165,-3.988450245204974,0.00017219051667627383,0.00017219051667627383,2.9649574033242136e-08,1613.0,1611.9921408950543,1.000625225818028,0.0006252258180279302,0.0006252258180279302,799.0,814.0,-15.0,0.009299442033477991,0.009299442033477991
1.2,E0,LOAO,27.0,27.0,1.0,-3.989310710200424,-3.9892703380487826,4.037215164132135e-05,4.037215164132135e-05,1.6299106281498463e-09,1721.0,1714.8852562713341,1.0035656868040028,0.003565686804002821,0.003565686804002821,865.0,856.0,9.0,0.005229517722254503,0.005229517722254503
1.2,E0,LOAO,30.0,30.0,0.67,-3.986416959974035,-3.98654751933116,-0.0001305593571250263,0.0001305593571250263,1.704574573290016e-08,1429.0,1418.4853354343134,1.00741260011861,0.007412600118609891,0.007412600118609891,719.0,710.0,9.0,0.006298110566829951,0.006298110566829951
1.2,E0,LOAO,30.0,30.0,0.72,-3.9875016952579796,-3.9874591424188397,4.2552839139897713e-05,4.2552839139897713e-05,1.8107441188660107e-09,1523.0,1524.3424500189635,0.9991193251759493,-0.0008806748240507423,0.0008806748240507423,767.0,756.0,11.0,0.007222586999343401,0.007222586999343401
1.2,E0,LOAO,30.0,30.0,0.78,-3.9886133789538607,-3.9884567502819155,0.00015662867194521368,0.00015662867194521368,2.4532540875321367e-08,1651.0,1651.3709875205443,0.9997753457440225,-0.00022465425597750777,0.00022465425597750777,837.0,814.0,23.0,0.013930950938824955,0.013930950938824955
1.2,E0,LOAO,30.0,30.0,0.83,-3.989424075897212,-3.9892232832458907,0.00020079265132144641,0.00020079265132144641,4.031768882469596e-08,1765.0,1757.2281021051942,1.0044228167563989,0.004422816756398884,0.004422816756398884,879.0,886.0,-7.0,0.00396600566572238,0.00396600566572238
1.2,E0,LOAO,30.0,30.0,0.89,-3.990203185661657,-3.9900802091166616,0.000122976544995268,0.000122976544995268,1.5123230618973174e-08,1889.0,1884.2566396067748,1.0025173642982175,0.0025173642982174727,0.0025173642982174727,941.0,948.0,-7.0,0.0037056643726839597,0.0037056643726839597
