a,aspect_ratio,n,center_x,center_y,theta,N_sites,N_A,N_B,imbalance_bound,max_matching,structural_nullity,exact_rank_T,exact_nullity,rank_agrees_across_primes,numerical_nullity,largest_counted_abs_E,next_level_abs_E
18,0.6,1.2,0.0,0.0,0.0,457,229,228,1,228,1,226,5,True,5,1.602396061479235e-15,0.023987370211177656
18,0.62,1.2,0.0,0.0,0.0,479,237,242,5,237,5,230,19,True,19,2.1667769474815882e-15,0.03132216430258472
18,0.64,1.2,0.0,0.0,0.0,487,245,242,3,242,3,238,11,True,11,2.4923617742648556e-15,0.020727809108947393
18,0.66,1.2,0.0,0.0,0.0,507,253,254,1,253,1,250,7,True,7,1.7116979266127797e-15,0.02509951354061181
18,0.68,1.2,0.0,0.0,0.0,521,263,258,5,258,5,254,13,True,13,3.3391671972195165e-15,0.02687672204807301
18,0.7,1.2,0.0,0.0,0.0,537,271,266,5,266,5,262,13,True,13,2.320987651567902e-15,0.027311756570219985
18,0.72,1.2,0.0,0.0,0.0,553,279,274,5,274,5,270,13,True,13,2.596727952817293e-15,0.02671644033844807
18,0.74,1.2,0.0,0.0,0.0,567,287,280,7,280,7,280,7,True,7,2.486382857414197e-15,0.021879077319174985
18,0.76,1.2,0.0,0.0,0.0,579,295,284,11,284,11,280,19,True,19,1.5628566455420519e-15,0.027772981337752377
18,0.78,1.2,0.0,0.0,0.0,597,305,292,13,292,13,288,21,True,21,2.8246395757755143e-15,0.028200565392452123
18,0.8,1.2,0.0,0.0,0.0,609,309,300,9,300,9,300,9,True,9,2.785084435287996e-15,0.020984325509434975
18,0.82,1.2,0.0,0.0,0.0,621,317,304,13,304,13,304,13,True,13,1.8633063457942135e-15,0.02034761892017154
18,0.84,1.2,0.0,0.0,0.0,635,325,310,15,310,15,310,15,True,15,2.713729859231132e-15,0.020353877480854
18,0.86,1.2,0.0,0.0,0.0,651,333,318,15,318,15,310,31,True,31,3.135693540138134e-15,0.027165861876996607
18,0.88,1.2,0.0,0.0,0.0,671,337,334,3,334,3,326,19,True,19,2.3002041648308077e-15,0.02116107230057235
18,0.9,1.2,0.0,0.0,0.0,689,343,346,3,343,3,338,13,True,13,2.232451168215357e-15,0.017100410422252636
18,0.92,1.2,0.0,0.0,0.0,705,347,358,11,347,11,346,13,True,13,1.4707966996044022e-15,0.015714089439043667
18,0.94,1.2,0.0,0.0,0.0,717,351,366,15,351,15,350,17,True,17,2.347287091823443e-15,0.018159757506302686
18,0.96,1.2,0.0,0.0,0.0,727,355,372,17,355,17,352,23,True,23,2.30371230568007e-15,0.027686060347460212
