a,n,N_sites,n_zero_modes,perturbation,strength,max_abs_shift,manifold_width,rms_shift
12,1.2,345,25,onsite,0.001,0.0003455962989858968,0.0005635360767596898,0.00016231037612829364
12,1.2,345,25,onsite,0.01,0.0034555901959528045,0.005634498993241182,0.0016229787135161834
12,1.2,345,25,onsite,0.1,0.03417640526976931,0.05547489521064818,0.016102886830918303
12,1.2,345,25,nnn,0.001,0.0038582480931657927,0.00388048566880899,0.0022793184053808684
12,1.2,345,25,nnn,0.01,0.03858194241934839,0.03879883868323884,0.022799785842282195
12,1.2,345,25,nnn,0.1,0.15686091171500102,0.3027356069700431,0.08699111720008025
16,1.2,593,33,onsite,0.001,0.0003565955810592897,0.0006196660369742775,0.0001737746894454149
16,1.2,593,33,onsite,0.01,0.0035654601305641783,0.00619584558435189,0.0017374857916287417
16,1.2,593,33,onsite,0.1,0.03509690550701325,0.06107287086712909,0.01709641913196448
16,1.2,593,33,nnn,0.001,0.0038986684077090077,0.00395165822766917,0.002320400047681122
16,1.2,593,33,nnn,0.01,0.03659780431584368,0.04865830876315641,0.02135406246308355
16,1.2,593,33,nnn,0.1,0.12087626550249417,0.23195891753954212,0.07049837475225272
12,2.0,441,25,onsite,0.001,0.00036461664046410667,0.0005536942233142117,0.00016591290120997803
12,2.0,441,25,onsite,0.01,0.0036459633879718898,0.005536057789340322,0.0016590238476558103
12,2.0,441,25,onsite,0.1,0.03624553574430169,0.054424400626026284,0.01648019630536112
12,2.0,441,25,nnn,0.001,0.003914576706184468,0.00380302192392748,0.002289369290449081
12,2.0,441,25,nnn,0.01,0.03584822480598452,0.06511050469049287,0.021740077530975153
12,2.0,441,25,nnn,0.1,0.11940583471905565,0.23793667676121716,0.07703595669584386
16,2.0,797,33,onsite,0.001,0.0003165314109855586,0.00054200644496586,0.0001363733157040009
16,2.0,797,33,onsite,0.01,0.0031649003720539684,0.005418885637751762,0.001363524565928662
16,2.0,797,33,onsite,0.1,0.031149715623189217,0.05282332038698426,0.013410290597358992
16,2.0,797,33,nnn,0.001,0.00395416082553391,0.003806129060340506,0.0023311746016236356
16,2.0,797,33,nnn,0.01,0.03509584372197205,0.06757247206206493,0.020885511205133638
16,2.0,797,33,nnn,0.1,0.09635384857034307,0.1910863645062857,0.06245897081185093
12,4.0,513,25,onsite,0.001,0.0003752978472714528,0.0005523817488944874,0.00014955438636901
12,4.0,513,25,onsite,0.01,0.003752843628343056,0.005523433626706851,0.001495487875008963
12,4.0,513,25,onsite,0.1,0.03738344897903892,0.054838044625756345,0.014894647006519364
12,4.0,513,25,nnn,0.001,0.003929136084463562,0.003796522447899354,0.002303070911634115
12,4.0,513,25,nnn,0.01,0.03727229143381106,0.05608441560889965,0.020911083512436507
12,4.0,513,25,nnn,0.1,0.12342469498538591,0.24048875374351925,0.07405956901118091
16,4.0,925,33,onsite,0.001,0.00020876480707840393,0.00041331782238859663,0.00011638119467721044
16,4.0,925,33,onsite,0.01,0.0020871340125240517,0.004131639114091462,0.0011635194390767173
16,4.0,925,33,onsite,0.1,0.02030802461957902,0.03992364636567194,0.011341301257512718
16,4.0,925,33,nnn,0.001,0.003961478067941731,0.0039671041978694074,0.0023555910424145707
16,4.0,925,33,nnn,0.01,0.036520293108670304,0.050131820792792874,0.019692212088266617
16,4.0,925,33,nnn,0.1,0.09477967660307984,0.18577531969877856,0.05204046373821959
