a,aspect_ratio,n,N_sites,imbalance_bound,exact_nullity,primes_agree,svd_nullity,nullity_tol_1e8,nullity_tol_1e12,largest_zero_abs_E,next_level_abs_E
8,0.67,1.2,99,1,1,True,1,1,1,8.485564838342564e-16,0.06942803432425311
8,0.83,1.2,129,5,5,True,5,5,5,6.491703346908269e-16,0.08527313263457784
8,1.0,1.2,145,17,17,True,17,17,17,1.2523426140739109e-15,0.12061475842818262
12,0.67,1.2,229,5,13,True,13,13,13,1.355971742211346e-15,0.0645230834110816
12,0.83,1.2,279,11,11,True,11,11,11,1.44305024494908e-15,0.044789318220239835
12,1.0,1.2,345,7,25,True,25,25,25,3.4191273934401207e-15,0.08055793490631674
16,0.67,1.2,405,1,9,True,9,9,9,1.8155583340601383e-15,0.03502713655462355
16,0.83,1.2,499,15,15,True,15,15,15,1.8936449580252386e-15,0.02542678519458869
16,1.0,1.2,593,15,33,True,33,33,33,1.857070039904699e-15,0.04663043383090791
20,0.67,1.2,635,7,15,True,15,15,15,1.939604466474072e-15,0.022403887071278675
20,0.83,1.2,773,21,21,True,21,21,21,3.30570206935827e-15,0.017272595124991172
20,1.0,1.2,941,13,41,True,41,41,41,2.9601345965655578e-15,0.031331144577261855
8,0.67,2.0,135,5,5,True,5,5,5,5.695401060707869e-16,0.055346331380885794
8,0.83,2.0,169,5,5,True,5,5,5,5.142422317469315e-16,0.03814108749575166
8,1.0,2.0,197,5,17,True,17,17,17,1.174204302686628e-15,0.14186904129905029
12,0.67,2.0,301,5,5,True,5,5,5,1.0855745644086913e-15,0.024415195540812697
12,0.83,2.0,371,1,9,True,9,9,9,1.0707297576959473e-15,0.010049847443857824
12,1.0,2.0,441,9,25,True,25,25,25,2.098378528114831e-15,0.06219271236735131
16,0.67,2.0,537,3,5,True,5,5,5,1.5110415179816257e-15,0.010345861215156278
16,0.83,2.0,663,11,11,True,11,11,11,1.999730493823277e-15,0.0096490601797341
16,1.0,2.0,797,13,33,True,33,33,33,2.9304807932945637e-15,0.035270373250620206
20,0.67,2.0,843,1,7,True,7,7,7,2.3147602651635298e-15,0.009041034811206036
20,0.83,2.0,1037,11,19,True,19,19,19,1.694955874355011e-15,0.00435767767498143
20,1.0,2.0,1257,9,41,True,41,41,41,2.191384068687298e-15,0.022289232295346663
8,0.67,3.0,151,3,5,True,5,5,5,4.0102466540073424e-16,0.03385751626949905
8,0.83,3.0,185,3,5,True,5,5,5,9.842029826642623e-16,0.03935946312750568
8,1.0,3.0,217,9,17,True,17,17,17,1.5199952459040882e-15,0.12715209648599343
12,0.67,3.0,337,1,7,True,7,7,7,2.220985553215306e-15,0.018233033550318946
12,0.83,3.0,411,1,1,True,1,1,1,7.553697623511734e-16,0.008349885580791533
12,1.0,3.0,493,13,25,True,25,25,25,2.147227737089381e-15,0.05644687961989565
16,0.67,3.0,601,3,3,True,3,3,3,1.987287826291008e-15,0.01138413632375562
16,0.83,3.0,755,1,1,True,1,1,1,2.577186875061074e-16,0.0031715889390441033
16,1.0,3.0,889,7,33,True,33,33,33,3.4368562815317055e-15,0.03139504696646338
20,0.67,3.0,947,7,9,True,9,9,9,3.89443137701114e-15,0.007759565134248887
20,0.83,3.0,1165,3,9,True,9,9,9,2.102848055714986e-15,0.002926839301591444
20,1.0,3.0,1389,3,41,True,41,41,41,3.37039862010403e-15,0.02021344221434515
8,0.67,4.0,159,3,3,True,3,3,3,8.5186000910764715e-16,0.03281010142062389
8,0.83,4.0,193,5,5,True,5,5,5,1.978851977012321e-15,0.02779907352290915
8,1.0,4.0,225,1,17,True,17,17,17,1.8571139268681583e-15,0.1233974674983503
12,0.67,4.0,353,9,9,True,9,9,9,1.7057806118109594e-15,0.020442533547532844
12,0.83,4.0,427,7,7,True,7,7,7,2.0284501426689823e-15,0.009671207038763665
12,1.0,4.0,513,1,25,True,25,25,25,1.348226457808612e-15,0.05474136983729012
16,0.67,4.0,625,5,11,True,11,11,11,3.0105214312365955e-15,0.011384214077122824
16,0.83,4.0,787,7,7,True,7,7,7,1.703494844197069e-15,0.004207573418390113
16,1.0,4.0,925,13,33,True,33,33,33,2.374625642284361e-15,0.030620803928137735
20,0.67,4.0,991,3,9,True,9,9,9,2.1718449719676614e-15,0.006795941791823493
20,0.83,4.0,1217,9,9,True,9,9,9,2.1677741809507475e-15,0.0031034950473429667
20,1.0,4.0,1457,1,41,True,41,41,41,3.786598706037671e-15,0.0195323429292416
