a,aspect_ratio,n,center_x,center_y,N_sites,imbalance_bound,exact_nullity,sublattice_polarisation,boundary_weight_fraction,corner_weight_fraction,ipr
12,0.67,1.2,0.0,0.0,229,5,13,0.3846153846153849,0.21662416481990499,0.17045751682259336,0.007894046394173404
12,0.67,1.2,0.5,0.5,224,0,6,1.1102230246251565e-16,0.20215857202158583,0.1686730316867304,0.011941678623982998
12,1.0,1.2,0.0,0.0,345,7,25,0.2799999999999999,0.1934325503556273,0.1679756141294603,0.0040911318673556435
12,1.0,1.2,0.5,0.5,340,0,24,1.1102230246251565e-16,0.15351909994767132,0.14848246991104128,0.003972216993809559
16,0.67,1.2,0.0,0.0,405,1,9,0.11111111111111105,0.12515877040768192,0.11286195457625084,0.0063611925341592965
16,0.67,1.2,0.5,0.5,408,0,14,0.0,0.14912157158430717,0.12464654048928993,0.0043954104719829325
16,1.0,1.2,0.0,0.0,593,15,33,0.4545454545454546,0.14223613116346676,0.1277177775447671,0.0025287585172477926
16,1.0,1.2,0.5,0.5,596,0,32,5.551115123125783e-17,0.12467486994797916,0.1216736694677871,0.0020447592302227004
20,0.67,1.2,0.0,0.0,635,7,15,0.4666666666666668,0.11939239662437608,0.09659426226546701,0.0033789258790907608
20,0.67,1.2,0.5,0.5,632,0,2,5.551115123125783e-17,0.05952380952380962,0.03571428571428569,0.002976190476190476
20,1.0,1.2,0.0,0.0,941,13,41,0.3170731707317075,0.10924677853002629,0.09783044840313079,0.0015416066812345716
20,1.0,1.2,0.5,0.5,948,0,40,1.1102230246251565e-16,0.0952661383979301,0.09054852810041272,0.00144793317263958
12,0.67,2.0,0.0,0.0,301,5,5,1.0000000000000002,0.2761286892075602,0.14366421084944944,0.010680779410731377
12,0.67,2.0,0.5,0.5,304,0,6,5.551115123125783e-17,0.1706634692246199,0.10931254996003172,0.01005487576365766
12,1.0,2.0,0.0,0.0,441,9,25,0.36,0.16561878794910473,0.10561056967165569,0.0031217540363401427
12,1.0,2.0,0.5,0.5,448,0,24,1.1102230246251565e-16,0.15064258390089597,0.10600511508951412,0.0025856055511087775
16,0.67,2.0,0.0,0.0,537,3,5,0.6000000000000001,0.11741647241647218,0.0922416472416469,0.010062744971078305
16,0.67,2.0,0.5,0.5,544,0,16,1.1102230246251565e-16,0.15090950445185458,0.10413134975609009,0.0033716347340132184
16,1.0,2.0,0.0,0.0,797,13,33,0.3939393939393939,0.12059742560344328,0.0737259032679386,0.0017343480366416913
16,1.0,2.0,0.5,0.5,812,0,32,1.1102230246251565e-16,0.10927044554323659,0.07013156023499645,0.0015764644464573083
20,0.67,2.0,0.0,0.0,843,1,7,0.14285714285714285,0.10420542717316335,0.06317627037706355,0.004503142585919504
20,0.67,2.0,0.5,0.5,832,0,4,2.220446049250313e-16,0.09090909090909113,0.09090909090909113,0.011363636363636367
20,1.0,2.0,0.0,0.0,1257,9,41,0.2195121951219513,0.09457535086011067,0.05625236251437746,0.0010542201098860573
20,1.0,2.0,0.5,0.5,1264,0,40,1.1102230246251565e-16,0.08666983742395906,0.05333287236286955,0.001011206819670852
12,0.67,3.0,0.0,0.0,337,1,7,0.1428571428571428,0.2277227729036278,0.08110625541389155,0.0058233790297151896
12,0.67,3.0,0.5,0.5,344,0,0,nan,nan,nan,nan
12,1.0,3.0,0.0,0.0,493,13,25,0.52,0.1699892729852245,0.08068618291290361,0.002815736521569678
12,1.0,3.0,0.5,0.5,512,0,24,5.551115123125783e-17,0.14211735300310396,0.05570144874381074,0.002272498562100063
16,0.67,3.0,0.0,0.0,601,3,3,1.0,0.1407413695529143,0.048296547821165416,0.004285873328830228
16,0.67,3.0,0.5,0.5,616,0,0,nan,nan,nan,nan
16,1.0,3.0,0.0,0.0,889,7,33,0.2121212121212122,0.1248313235353185,0.05352128888028543,0.0014065213014204624
16,1.0,3.0,0.5,0.5,908,0,32,0.0,0.1080058428120394,0.04560767073039161,0.0012985046278194503
20,0.67,3.0,0.0,0.0,947,7,9,0.7777777777777777,0.11015252690158528,0.04180314233747307,0.002627108271593393
20,0.67,3.0,0.5,0.5,936,0,6,0.0,0.1089868287740631,0.07099290780141858,0.005186651392109582
20,1.0,3.0,0.0,0.0,1389,3,41,0.07317073170731703,0.09497078090977094,0.0403529675362317,0.0008931258516648604
20,1.0,3.0,0.5,0.5,1416,0,40,0.0,0.08692103164081351,0.03727969413111207,0.0008370504407282356
12,0.67,4.0,0.0,0.0,353,9,9,0.9999999999999998,0.21179530697995785,0.12638984251474375,0.007956862569565844
12,0.67,4.0,0.5,0.5,356,0,2,2.7755575615628914e-16,0.1250000000000001,0.1250000000000001,0.03125
12,1.0,4.0,0.0,0.0,513,1,25,0.040000000000000036,0.17279601853126003,0.0549709646346498,0.0023493802727205812
12,1.0,4.0,0.5,0.5,544,0,24,0.0,0.14367388167388168,0.04196681096681097,0.0020558217455944727
16,0.67,4.0,0.0,0.0,625,5,11,0.45454545454545436,0.14859949824940524,0.04659531979340763,0.0027403479197401284
16,0.67,4.0,0.5,0.5,644,0,4,1.1102230246251565e-16,0.09523809523809545,0.09523809523809545,0.011904761904761906
16,1.0,4.0,0.0,0.0,925,13,33,0.39393939393939387,0.12647330669245316,0.045055757498087344,0.0013929486422343288
16,1.0,4.0,0.5,0.5,948,0,32,5.551115123125783e-17,0.11013582342954159,0.039470511567285774,0.0011840173552236065
20,0.67,4.0,0.0,0.0,991,3,9,0.33333333333333337,0.11243195386213914,0.027115366102688596,0.002103808438246784
20,0.67,4.0,0.5,0.5,980,0,4,0.0,0.11348651348651231,0.02837162837162822,0.003776094035834295
20,1.0,4.0,0.0,0.0,1457,1,41,0.024390243902439046,0.09758406688617799,0.03130266149327435,0.0008244488231312537
