a,aspect_ratio,n,center_x,center_y,theta,N_sites,N_A,N_B,imbalance_bound,max_matching,structural_nullity,exact_rank_T,exact_nullity,rank_agrees_across_primes,numerical_nullity,largest_counted_abs_E,next_level_abs_E
8,0.67,1.2,0.0,0.0,0.0,99,49,50,1,49,1,49,1,True,1,8.485564838342564e-16,0.06942803432425311
8,0.67,1.2,0.1,0.0,0.0,102,50,52,2,50,2,50,2,True,2,1.8655977297959487e-15,0.0426083019694648
8,0.67,1.2,0.25,0.0,0.0,102,50,52,2,50,2,50,2,True,2,1.0780528004388038e-15,0.06364960881900475
8,0.67,1.2,0.5,0.0,0.0,104,52,52,0,52,0,50,4,True,4,2.2161381222591995e-15,0.07295032623573522
8,0.67,1.2,0.75,0.0,0.0,102,52,50,2,50,2,50,2,True,2,2.1500315110598966e-15,0.06364960881900512
8,0.67,1.2,0.25,0.25,0.0,102,51,51,0,51,0,50,2,True,2,1.428488846179841e-15,0.0651074561722289
8,0.67,1.2,0.5,0.5,0.0,104,52,52,0,52,0,51,2,True,2,1.548087929771443e-15,0.0516855544388678
8,0.67,1.2,0.5,0.25,0.0,100,50,50,0,50,0,49,2,True,2,6.550004213505554e-16,0.07033167772320502
8,0.67,1.2,0.33,0.17,0.0,101,51,50,1,50,1,49,3,True,3,1.117331057155098e-15,0.07152344678226927
8,1.0,1.2,0.0,0.0,0.0,145,81,64,17,64,17,64,17,True,17,1.2523426140739109e-15,0.12061475842818262
8,1.0,1.2,0.1,0.0,0.0,146,78,68,10,68,10,68,10,True,10,1.8094352603241955e-15,0.06140521966484118
8,1.0,1.2,0.25,0.0,0.0,150,78,72,6,72,6,72,6,True,6,1.1392907178961315e-15,0.05698905375653803
8,1.0,1.2,0.5,0.0,0.0,152,76,76,0,76,0,76,0,True,0,0.0,0.023128117433034993
8,1.0,1.2,0.75,0.0,0.0,150,72,78,6,72,6,72,6,True,6,2.377388212029738e-15,0.05698905375653793
8,1.0,1.2,0.25,0.25,0.0,149,79,70,9,70,9,70,9,True,9,1.2342707940581647e-15,0.06475455323331918
8,1.0,1.2,0.5,0.5,0.0,144,72,72,0,72,0,64,16,True,16,2.875458814076872e-15,0.12061475842818216
8,1.0,1.2,0.5,0.25,0.0,154,77,77,0,77,0,74,6,True,6,1.6303307481713897e-15,0.09912518444139337
8,1.0,1.2,0.33,0.17,0.0,152,79,73,6,73,6,73,6,True,6,9.427082441735816e-16,0.06311727519342107
12,0.67,1.2,0.0,0.0,0.0,229,117,112,5,112,5,108,13,True,13,1.355971742211346e-15,0.0645230834110816
12,0.67,1.2,0.1,0.0,0.0,228,114,114,0,114,0,110,8,True,8,4.791316837497033e-16,0.049985353576948895
12,0.67,1.2,0.25,0.0,0.0,226,112,114,2,112,2,112,2,True,2,1.228442512357524e-15,0.024899759570437215
12,0.67,1.2,0.5,0.0,0.0,224,112,112,0,112,0,110,4,True,4,1.3290405783889314e-15,0.026733725242945216
12,0.67,1.2,0.75,0.0,0.0,226,114,112,2,112,2,112,2,True,2,1.0625083498162338e-15,0.02489975957043681
12,0.67,1.2,0.25,0.25,0.0,229,115,114,1,114,1,111,7,True,7,1.6118015780667007e-15,0.042955523241237956
12,0.67,1.2,0.5,0.5,0.0,224,112,112,0,112,0,109,6,True,6,1.7035530906449465e-15,0.05340329747174168
12,0.67,1.2,0.5,0.25,0.0,228,114,114,0,114,0,112,4,True,4,9.781445053999913e-16,0.026900079818536028
12,0.67,1.2,0.33,0.17,0.0,226,114,112,2,112,2,110,6,True,6,1.2144623530890146e-15,0.0336845804289388
12,1.0,1.2,0.0,0.0,0.0,345,169,176,7,169,7,160,25,True,25,3.4191273934401207e-15,0.08055793490631674
12,1.0,1.2,0.1,0.0,0.0,338,166,172,6,166,6,160,18,True,18,3.163114779862119e-15,0.05424982182816908
12,1.0,1.2,0.25,0.0,0.0,340,166,174,8,166,8,162,16,True,16,1.5198571602814586e-15,0.053266588561203906
12,1.0,1.2,0.5,0.0,0.0,328,164,164,0,164,0,164,0,True,0,0.0,0.009666945968089764
12,1.0,1.2,0.75,0.0,0.0,340,174,166,8,166,8,162,16,True,16,2.915199202658797e-15,0.0532665885612029
12,1.0,1.2,0.25,0.25,0.0,337,167,170,3,167,3,162,13,True,13,1.7153833085539622e-15,0.040052812090027555
12,1.0,1.2,0.5,0.5,0.0,340,170,170,0,170,0,158,24,True,24,1.3372676400488545e-15,0.06913768752982662
12,1.0,1.2,0.5,0.25,0.0,340,170,170,0,170,0,162,16,True,16,2.7799322371882944e-15,0.05639300637466816
12,1.0,1.2,0.33,0.17,0.0,336,167,169,2,167,2,163,10,True,10,2.440341662240106e-15,0.03637965200854277
16,0.67,1.2,0.0,0.0,0.0,405,203,202,1,202,1,198,9,True,9,1.8155583340601383e-15,0.03502713655462355
16,0.67,1.2,0.1,0.0,0.0,404,202,202,0,202,0,198,8,True,8,1.865295199314772e-15,0.02607939740588117
16,0.67,1.2,0.25,0.0,0.0,404,202,202,0,202,0,198,8,True,8,2.2307568064106712e-15,0.01940485200168547
16,0.67,1.2,0.5,0.0,0.0,400,200,200,0,200,0,198,4,True,4,1.9496508157936054e-15,0.01662482762646998
16,0.67,1.2,0.75,0.0,0.0,404,202,202,0,202,0,198,8,True,8,1.9756142901500904e-15,0.019404852001685673
16,0.67,1.2,0.25,0.25,0.0,404,202,202,0,202,0,197,10,True,10,1.5383877459934811e-15,0.026518483709164806
16,0.67,1.2,0.5,0.5,0.0,408,204,204,0,204,0,197,14,True,14,1.7944433455839095e-15,0.05250193322406448
16,0.67,1.2,0.5,0.25,0.0,398,199,199,0,199,0,194,10,True,10,1.7683906868534624e-15,0.021832324241418868
16,0.67,1.2,0.33,0.17,0.0,403,201,202,1,201,1,196,11,True,11,1.4277807856069555e-15,0.026622101364897753
16,1.0,1.2,0.0,0.0,0.0,593,289,304,15,289,15,280,33,True,33,1.857070039904699e-15,0.04663043383090791
16,1.0,1.2,0.1,0.0,0.0,596,292,304,12,292,12,286,24,True,24,4.153110824267305e-15,0.04202887088172142
16,1.0,1.2,0.25,0.0,0.0,604,298,306,8,298,8,296,12,True,12,1.9988012475327924e-15,0.03457938565697959
16,1.0,1.2,0.5,0.0,0.0,608,304,304,0,304,0,304,0,True,0,0.0,0.003997914658670611
16,1.0,1.2,0.75,0.0,0.0,604,306,298,8,298,8,296,12,True,12,4.0642830417068056e-15,0.034579385656978365
16,1.0,1.2,0.25,0.25,0.0,598,296,302,6,296,6,290,18,True,18,2.0894668100491214e-15,0.02672207356629735
16,1.0,1.2,0.5,0.5,0.0,596,298,298,0,298,0,282,32,True,32,5.12535904942165e-15,0.03806541060974872
16,1.0,1.2,0.5,0.25,0.0,604,302,302,0,302,0,294,16,True,16,1.79789066776362e-15,0.03704253368235494
16,1.0,1.2,0.33,0.17,0.0,603,301,302,1,301,1,296,11,True,11,2.028920479831229e-15,0.025838883166853628
8,0.67,2.0,0.0,0.0,0.0,135,65,70,5,65,5,65,5,True,5,5.695401060707869e-16,0.055346331380885794
8,0.67,2.0,0.1,0.0,0.0,134,64,70,6,64,6,64,6,True,6,7.957876443187361e-16,0.055871197437822706
8,0.67,2.0,0.25,0.0,0.0,138,66,72,6,66,6,66,6,True,6,2.4427516989410428e-15,0.050116793054825685
8,0.67,2.0,0.5,0.0,0.0,136,68,68,0,68,0,68,0,True,0,0.0,0.029456414666106028
8,0.67,2.0,0.75,0.0,0.0,138,72,66,6,66,6,66,6,True,6,1.3599263181635571e-15,0.05011679305482457
8,0.67,2.0,0.25,0.25,0.0,136,67,69,2,67,2,66,4,True,4,1.0696244151806093e-15,0.047349641039716756
8,0.67,2.0,0.5,0.5,0.0,132,66,66,0,66,0,66,0,True,0,0.0,0.025573232697258846
8,0.67,2.0,0.5,0.25,0.0,138,69,69,0,69,0,68,2,True,2,1.6630256934708248e-15,0.0445431124863833
8,0.67,2.0,0.33,0.17,0.0,136,67,69,2,67,2,66,4,True,4,3.3350304563959623e-15,0.04557463617391771
8,1.0,2.0,0.0,0.0,0.0,197,101,96,5,96,5,90,17,True,17,1.174204302686628e-15,0.14186904129905029
8,1.0,2.0,0.1,0.0,0.0,198,98,100,2,98,2,94,10,True,10,9.911253983314859e-16,0.047371055963019014
8,1.0,2.0,0.25,0.0,0.0,198,98,100,2,98,2,96,6,True,6,9.009167423604663e-16,0.04734053970271806
8,1.0,2.0,0.5,0.0,0.0,196,98,98,0,98,0,98,0,True,0,0.0,0.009212529565826064
8,1.0,2.0,0.75,0.0,0.0,198,100,98,2,98,2,96,6,True,6,1.710429205419764e-15,0.04734053970271775
8,1.0,2.0,0.25,0.25,0.0,203,101,102,1,101,1,96,11,True,11,2.9155463607897244e-15,0.10146641230181114
8,1.0,2.0,0.5,0.5,0.0,208,104,104,0,104,0,96,16,True,16,2.4642905243765336e-15,0.10857779617582183
8,1.0,2.0,0.5,0.25,0.0,202,101,101,0,101,0,96,10,True,10,1.8625238795201776e-15,0.09874253426366203
8,1.0,2.0,0.33,0.17,0.0,202,101,101,0,101,0,97,8,True,8,1.3059663729553647e-15,0.07875181643388232
12,0.67,2.0,0.0,0.0,0.0,301,153,148,5,148,5,148,5,True,5,1.0855745644086913e-15,0.024415195540812697
12,0.67,2.0,0.1,0.0,0.0,306,154,152,2,152,2,150,6,True,6,1.982571053366834e-15,0.021058550658813693
12,0.67,2.0,0.25,0.0,0.0,302,152,150,2,150,2,147,8,True,8,1.679688306137903e-15,0.022122524163250737
