a,aspect_ratio,n,center_x,center_y,theta,N_sites,N_A,N_B,imbalance_bound,max_matching,structural_nullity,exact_rank_T,exact_nullity,rank_agrees_across_primes,numerical_nullity,largest_counted_abs_E,next_level_abs_E,theta_deg
12,0.67,1.2,0.0,0.0,0.0,229,117,112,5,112,5,108,13,True,13,1.355971742211346e-15,0.0645230834110816,0.0
12,0.67,1.2,0.0,0.0,0.08726646259971647,227,113,114,1,113,1,110,7,True,7,1.5588337172863034e-15,0.026577344265442986,5.0
12,0.67,1.2,0.0,0.0,0.17453292519943295,225,115,110,5,110,5,108,9,True,9,4.395191577400214e-15,0.04917113196211007,10.0
12,0.67,1.2,0.0,0.0,0.2617993877991494,231,117,114,3,114,3,110,11,True,11,1.8337989135666643e-15,0.044211587933019186,15.0
12,0.67,1.2,0.0,0.0,0.3490658503988659,227,115,112,3,112,3,109,9,True,9,8.90631144150589e-16,0.04239681815447034,20.0
12,0.67,1.2,0.0,0.0,0.4363323129985824,227,115,112,3,112,3,110,7,True,7,1.1215552851013648e-15,0.04009842035309035,25.0
12,0.67,1.2,0.0,0.0,0.5235987755982988,229,115,114,1,114,1,111,7,True,7,1.5057954786215543e-15,0.03197883606443625,30.0
12,0.67,1.2,0.0,0.0,0.6108652381980153,231,117,114,3,114,3,113,5,True,5,1.191967283956543e-15,0.03581369563101496,35.0
12,0.67,1.2,0.0,0.0,0.6981317007977318,227,113,114,1,113,1,109,9,True,9,2.631279884349595e-15,0.030599808982342908,40.0
12,0.67,1.2,0.0,0.0,0.7853981633974483,231,115,116,1,115,1,107,17,True,17,1.4046884206775304e-15,0.11086965951022898,45.0
12,1.0,1.2,0.0,0.0,0.0,345,169,176,7,169,7,160,25,True,25,3.4191273934401207e-15,0.08055793490631674,0.0
12,1.0,1.2,0.0,0.0,0.08726646259971647,333,161,172,11,161,11,161,11,True,11,1.527362295095816e-15,0.028429894472430217,5.0
12,1.0,1.2,0.0,0.0,0.17453292519943295,345,173,172,1,172,1,165,15,True,15,1.960938684347526e-15,0.03388865866882388,10.0
12,1.0,1.2,0.0,0.0,0.2617993877991494,341,173,168,5,168,5,168,5,True,5,1.5749388071661173e-15,0.022827948970954685,15.0
12,1.0,1.2,0.0,0.0,0.3490658503988659,341,173,168,5,168,5,168,5,True,5,2.0912711331875482e-15,0.02499733004226828,20.0
12,1.0,1.2,0.0,0.0,0.4363323129985824,337,169,168,1,168,1,164,9,True,9,2.142758825549284e-15,0.02218151658623675,25.0
12,1.0,1.2,0.0,0.0,0.5235987755982988,341,173,168,5,168,5,167,7,True,7,2.7221040012779837e-15,0.04956454012011497,30.0
12,1.0,1.2,0.0,0.0,0.6108652381980153,337,169,168,1,168,1,165,7,True,7,2.3994145570432586e-15,0.04485998810742005,35.0
12,1.0,1.2,0.0,0.0,0.6981317007977318,337,169,168,1,168,1,163,11,True,11,3.049642674150031e-15,0.06436594211510065,40.0
12,1.0,1.2,0.0,0.0,0.7853981633974483,341,169,172,3,169,3,161,19,True,19,2.178748972681667e-15,0.07543815872747964,45.0
16,0.67,1.2,0.0,0.0,0.0,405,203,202,1,202,1,198,9,True,9,1.8155583340601383e-15,0.03502713655462355,0.0
16,0.67,1.2,0.0,0.0,0.08726646259971647,405,203,202,1,202,1,200,5,True,5,1.177713225835106e-15,0.015708223848026746,5.0
16,0.67,1.2,0.0,0.0,0.17453292519943295,403,203,200,3,200,3,197,9,True,9,1.341184795175181e-15,0.0239939853438656,10.0
16,0.67,1.2,0.0,0.0,0.2617993877991494,403,195,208,13,195,13,195,13,True,13,1.1495448528919689e-15,0.024602108997545093,15.0
16,0.67,1.2,0.0,0.0,0.3490658503988659,401,197,204,7,197,7,192,17,True,17,3.905870974009623e-15,0.03754021437378198,20.0
16,0.67,1.2,0.0,0.0,0.4363323129985824,405,203,202,1,202,1,199,7,True,7,1.4777868904763658e-15,0.02864522482205128,25.0
16,0.67,1.2,0.0,0.0,0.5235987755982988,401,201,200,1,200,1,199,3,True,3,1.7070959967405766e-15,0.01671659377713036,30.0
16,0.67,1.2,0.0,0.0,0.6108652381980153,405,205,200,5,200,5,199,7,True,7,1.8044610050246124e-15,0.018842201745603873,35.0
16,0.67,1.2,0.0,0.0,0.6981317007977318,403,201,202,1,201,1,198,7,True,7,2.6616584090267557e-15,0.022121140441931034,40.0
16,0.67,1.2,0.0,0.0,0.7853981633974483,405,205,200,5,200,5,191,23,True,23,2.8635219115636845e-15,0.06453596102864065,45.0
16,1.0,1.2,0.0,0.0,0.0,593,289,304,15,289,15,280,33,True,33,1.857070039904699e-15,0.04663043383090791,0.0
16,1.0,1.2,0.0,0.0,0.08726646259971647,605,305,300,5,300,5,299,7,True,7,1.9527804473655233e-15,0.015860260115411525,5.0
16,1.0,1.2,0.0,0.0,0.17453292519943295,597,305,292,13,292,13,292,13,True,13,2.087726548226899e-15,0.013644514745231082,10.0
16,1.0,1.2,0.0,0.0,0.2617993877991494,605,301,304,3,301,3,296,13,True,13,3.719756105859028e-15,0.017793610389236075,15.0
16,1.0,1.2,0.0,0.0,0.3490658503988659,605,305,300,5,300,5,299,7,True,7,1.847879818720396e-15,0.029799682287623322,20.0
16,1.0,1.2,0.0,0.0,0.4363323129985824,609,305,304,1,304,1,303,3,True,3,3.424975192618256e-15,0.011761144350536944,25.0
16,1.0,1.2,0.0,0.0,0.5235987755982988,601,301,300,1,300,1,299,3,True,3,1.3325350218001398e-15,0.008305134003512071,30.0
16,1.0,1.2,0.0,0.0,0.6108652381980153,605,301,304,3,301,3,300,5,True,5,1.8811463454351547e-15,0.018275531471766353,35.0
16,1.0,1.2,0.0,0.0,0.6981317007977318,593,297,296,1,296,1,290,13,True,13,1.7843287731803288e-15,0.034630691852454404,40.0
16,1.0,1.2,0.0,0.0,0.7853981633974483,597,301,296,5,296,5,286,25,True,25,2.102859918146332e-15,0.04460102171512683,45.0
12,0.67,2.0,0.0,0.0,0.0,301,153,148,5,148,5,148,5,True,5,1.0855745644086913e-15,0.024415195540812697,0.0
12,0.67,2.0,0.0,0.0,0.08726646259971647,297,149,148,1,148,1,147,3,True,3,8.080728649073281e-16,0.021685690792194262,5.0
12,0.67,2.0,0.0,0.0,0.17453292519943295,305,151,154,3,151,3,149,7,True,7,2.4988451881162262e-15,0.025361080732587086,10.0
12,0.67,2.0,0.0,0.0,0.2617993877991494,303,151,152,1,151,1,150,3,True,3,1.840906246629936e-15,0.02068050351477631,15.0
12,0.67,2.0,0.0,0.0,0.3490658503988659,303,151,152,1,151,1,149,5,True,5,9.853244351645698e-16,0.017067692140993948,20.0
12,0.67,2.0,0.0,0.0,0.4363323129985824,301,151,150,1,150,1,149,3,True,3,2.0480089543279427e-15,0.01787535469878786,25.0
12,0.67,2.0,0.0,0.0,0.5235987755982988,303,149,154,5,149,5,146,11,True,11,9.44247535912724e-16,0.0308640863173013,30.0
12,0.67,2.0,0.0,0.0,0.6108652381980153,303,153,150,3,150,3,148,7,True,7,1.0237065918166556e-15,0.010217555139794245,35.0
12,0.67,2.0,0.0,0.0,0.6981317007977318,303,151,152,1,151,1,147,9,True,9,2.501258710332665e-15,0.022677030552388455,40.0
12,0.67,2.0,0.0,0.0,0.7853981633974483,307,155,152,3,152,3,143,21,True,21,1.2855264934789975e-15,0.0727400825893573,45.0
12,1.0,2.0,0.0,0.0,0.0,441,225,216,9,216,9,208,25,True,25,2.098378528114831e-15,0.06219271236735131,0.0
12,1.0,2.0,0.0,0.0,0.08726646259971647,437,221,216,5,216,5,207,23,True,23,1.3078267979458385e-15,0.05849425210141328,5.0
12,1.0,2.0,0.0,0.0,0.17453292519943295,441,225,216,9,216,9,208,25,True,25,2.098378528114831e-15,0.06219271236735131,10.0
12,1.0,2.0,0.0,0.0,0.2617993877991494,441,225,216,9,216,9,208,25,True,25,2.098378528114831e-15,0.06219271236735131,15.0
12,1.0,2.0,0.0,0.0,0.3490658503988659,441,225,216,9,216,9,208,25,True,25,2.098378528114831e-15,0.06219271236735131,20.0
12,1.0,2.0,0.0,0.0,0.4363323129985824,441,225,216,9,216,9,208,25,True,25,2.098378528114831e-15,0.06219271236735131,25.0
12,1.0,2.0,0.0,0.0,0.5235987755982988,441,225,216,9,216,9,208,25,True,25,2.098378528114831e-15,0.06219271236735131,30.0
12,1.0,2.0,0.0,0.0,0.6108652381980153,441,225,216,9,216,9,208,25,True,25,2.098378528114831e-15,0.06219271236735131,35.0
12,1.0,2.0,0.0,0.0,0.6981317007977318,441,225,216,9,216,9,208,25,True,25,2.098378528114831e-15,0.06219271236735131,40.0
12,1.0,2.0,0.0,0.0,0.7853981633974483,441,225,216,9,216,9,208,25,True,25,2.098378528114831e-15,0.06219271236735131,45.0
16,0.67,2.0,0.0,0.0,0.0,537,267,270,3,267,3,266,5,True,5,1.5110415179816257e-15,0.010345861215156278,0.0
16,0.67,2.0,0.0,0.0,0.08726646259971647,529,265,264,1,264,1,262,5,True,5,2.597510115365022e-15,0.009881463278442701,5.0
16,0.67,2.0,0.0,0.0,0.17453292519943295,533,265,268,3,265,3,265,3,True,3,1.1491973557356778e-15,0.012034971222621751,10.0
16,0.67,2.0,0.0,0.0,0.2617993877991494,537,271,266,5,266,5,264,9,True,9,3.2499001202088495e-15,0.010757158322269332,15.0
16,0.67,2.0,0.0,0.0,0.3490658503988659,541,271,270,1,270,1,268,5,True,5,1.933710815063622e-15,0.012335852879981428,20.0
16,0.67,2.0,0.0,0.0,0.4363323129985824,537,267,270,3,267,3,265,7,True,7,1.4151246173074578e-15,0.009975112022543423,25.0
16,0.67,2.0,0.0,0.0,0.5235987755982988,535,265,270,5,265,5,265,5,True,5,1.3028238916794912e-15,0.006105578995497959,30.0
16,0.67,2.0,0.0,0.0,0.6108652381980153,543,271,272,1,271,1,270,3,True,3,2.1696051264262375e-15,0.005379369750667687,35.0
16,0.67,2.0,0.0,0.0,0.6981317007977318,545,275,270,5,270,5,268,9,True,9,3.4655461076013355e-15,0.008193014428922904,40.0
16,0.67,2.0,0.0,0.0,0.7853981633974483,541,269,272,3,269,3,257,27,True,27,2.4537355738117214e-15,0.04781314616375904,45.0
16,1.0,2.0,0.0,0.0,0.0,797,405,392,13,392,13,382,33,True,33,2.9304807932945637e-15,0.035270373250620206,0.0
16,1.0,2.0,0.0,0.0,0.08726646259971647,797,405,392,13,392,13,382,33,True,33,2.9304807932945637e-15,0.035270373250620206,5.0
16,1.0,2.0,0.0,0.0,0.17453292519943295,797,405,392,13,392,13,382,33,True,33,2.9304807932945637e-15,0.035270373250620206,10.0
16,1.0,2.0,0.0,0.0,0.2617993877991494,797,405,392,13,392,13,382,33,True,33,2.9304807932945637e-15,0.035270373250620206,15.0
16,1.0,2.0,0.0,0.0,0.3490658503988659,797,405,392,13,392,13,382,33,True,33,2.9304807932945637e-15,0.035270373250620206,20.0
16,1.0,2.0,0.0,0.0,0.4363323129985824,797,405,392,13,392,13,382,33,True,33,2.9304807932945637e-15,0.035270373250620206,25.0
16,1.0,2.0,0.0,0.0,0.5235987755982988,797,405,392,13,392,13,382,33,True,33,2.9304807932945637e-15,0.035270373250620206,30.0
16,1.0,2.0,0.0,0.0,0.6108652381980153,797,405,392,13,392,13,382,33,True,33,2.9304807932945637e-15,0.035270373250620206,35.0
16,1.0,2.0,0.0,0.0,0.6981317007977318,797,405,392,13,392,13,382,33,True,33,2.9304807932945637e-15,0.035270373250620206,40.0
16,1.0,2.0,0.0,0.0,0.7853981633974483,797,405,392,13,392,13,382,33,True,33,2.9304807932945637e-15,0.035270373250620206,45.0
12,0.67,3.0,0.0,0.0,0.0,337,169,168,1,168,1,165,7,True,7,2.220985553215306e-15,0.018233033550318946,0.0
12,0.67,3.0,0.0,0.0,0.08726646259971647,345,175,170,5,170,5,170,5,True,5,2.2133911008922065e-15,0.021982205029735347,5.0
12,0.67,3.0,0.0,0.0,0.17453292519943295,341,173,168,5,168,5,168,5,True,5,2.0837089047680996e-15,0.02055785295510917,10.0
12,0.67,3.0,0.0,0.0,0.2617993877991494,339,171,168,3,168,3,168,3,True,3,1.7683977937187965e-15,0.017921277355094887,15.0
12,0.67,3.0,0.0,0.0,0.3490658503988659,339,167,172,5,167,5,165,9,True,9,9.06248328658664e-16,0.026634996931665048,20.0
12,0.67,3.0,0.0,0.0,0.4363323129985824,343,171,172,1,171,1,168,7,True,7,1.9256773396288708e-15,0.018326691914545137,25.0
12,0.67,3.0,0.0,0.0,0.5235987755982988,339,171,168,3,168,3,164,11,True,11,9.697928226476771e-16,0.028046490001338766,30.0
12,0.67,3.0,0.0,0.0,0.6108652381980153,341,171,170,1,170,1,166,9,True,9,1.5831546248485958e-15,0.013233040487397263,35.0
12,0.67,3.0,0.0,0.0,0.6981317007977318,337,167,170,3,167,3,164,9,True,9,1.859669794424765e-15,0.026512040128241425,40.0
12,0.67,3.0,0.0,0.0,0.7853981633974483,343,171,172,1,171,1,160,23,True,23,2.018213725592415e-15,0.06451790851117754,45.0
12,1.0,3.0,0.0,0.0,0.0,493,253,240,13,240,13,234,25,True,25,2.147227737089381e-15,0.05644687961989565,0.0
12,1.0,3.0,0.0,0.0,0.08726646259971647,509,257,252,5,252,5,250,9,True,9,3.8658614623247106e-15,0.026159898068119043,5.0
12,1.0,3.0,0.0,0.0,0.17453292519943295,509,257,252,5,252,5,250,9,True,9,1.0806665884624755e-15,0.025578344450034166,10.0
12,1.0,3.0,0.0,0.0,0.2617993877991494,509,257,252,5,252,5,250,9,True,9,2.2006576769248133e-15,0.022916571550279353,15.0
12,1.0,3.0,0.0,0.0,0.3490658503988659,509,257,252,5,252,5,250,9,True,9,1.8852207753907545e-15,0.029953231787383124,20.0
12,1.0,3.0,0.0,0.0,0.4363323129985824,509,257,252,5,252,5,248,13,True,13,5.82692592687525e-15,0.014229535834726921,25.0
12,1.0,3.0,0.0,0.0,0.5235987755982988,509,249,260,11,249,11,249,11,True,11,2.441837193081828e-15,0.012985971136376773,30.0
12,1.0,3.0,0.0,0.0,0.6108652381980153,517,257,260,3,257,3,255,7,True,7,1.102156329700947e-15,0.02631549968455371,35.0
12,1.0,3.0,0.0,0.0,0.6981317007977318,509,257,252,5,252,5,251,7,True,7,1.8750799732800455e-15,0.03733512213272114,40.0
12,1.0,3.0,0.0,0.0,0.7853981633974483,501,257,244,13,244,13,237,27,True,27,2.03986970406489e-15,0.05121068926439672,45.0
16,0.67,3.0,0.0,0.0,0.0,601,299,302,3,299,3,299,3,True,3,1.987287826291008e-15,0.01138413632375562,0.0
16,0.67,3.0,0.0,0.0,0.08726646259971647,601,301,300,1,300,1,297,7,True,7,1.2486826037190283e-15,0.012895463908069713,5.0
16,0.67,3.0,0.0,0.0,0.17453292519943295,609,305,304,1,304,1,303,3,True,3,1.0131149868616848e-15,0.011156836796493111,10.0
16,0.67,3.0,0.0,0.0,0.2617993877991494,609,307,302,5,302,5,300,9,True,9,1.2210255115000268e-15,0.011364181738132929,15.0
16,0.67,3.0,0.0,0.0,0.3490658503988659,607,307,300,7,300,7,296,15,True,15,2.0500200564050687e-15,0.011877554291006476,20.0
16,0.67,3.0,0.0,0.0,0.4363323129985824,605,303,302,1,302,1,297,11,True,11,3.1613713911938783e-15,0.011837243477868478,25.0
16,0.67,3.0,0.0,0.0,0.5235987755982988,599,305,294,11,294,11,291,17,True,17,1.3390944738129868e-15,0.018022947240260614,30.0
16,0.67,3.0,0.0,0.0,0.6108652381980153,605,303,302,1,302,1,296,13,True,13,2.4039908355692303e-15,0.01133987587243853,35.0
16,0.67,3.0,0.0,0.0,0.6981317007977318,607,305,302,3,302,3,298,11,True,11,1.3644553947834949e-15,0.008199403894467742,40.0
16,0.67,3.0,0.0,0.0,0.7853981633974483,613,309,304,5,304,5,291,31,True,31,2.400079587199734e-15,0.04129624014688653,45.0
16,1.0,3.0,0.0,0.0,0.0,889,441,448,7,441,7,428,33,True,33,3.4368562815317055e-15,0.03139504696646338,0.0
16,1.0,3.0,0.0,0.0,0.08726646259971647,909,457,452,5,452,5,448,13,True,13,1.68423528690848e-15,0.006792779242024143,5.0
16,1.0,3.0,0.0,0.0,0.17453292519943295,905,449,456,7,449,7,448,9,True,9,3.0161419758845913e-15,0.00864501614564231,10.0
16,1.0,3.0,0.0,0.0,0.2617993877991494,897,457,440,17,440,17,438,21,True,21,2.5962554776700592e-15,0.02129207036114182,15.0
16,1.0,3.0,0.0,0.0,0.3490658503988659,909,461,448,13,448,13,446,17,True,17,2.740704996861062e-15,0.02287367000214737,20.0
16,1.0,3.0,0.0,0.0,0.4363323129985824,905,453,452,1,452,1,449,7,True,7,2.6518756210745386e-15,0.005622704813245173,25.0
16,1.0,3.0,0.0,0.0,0.5235987755982988,901,449,452,3,449,3,443,15,True,15,3.4573725876045875e-15,0.016054327915447437,30.0
16,1.0,3.0,0.0,0.0,0.6108652381980153,905,449,456,7,449,7,443,19,True,19,2.9621103121333208e-15,0.019830961476453794,35.0
16,1.0,3.0,0.0,0.0,0.6981317007977318,893,453,440,13,440,13,435,23,True,23,1.3624506982217148e-15,0.02385338175813959,40.0
16,1.0,3.0,0.0,0.0,0.7853981633974483,897,453,444,9,444,9,431,35,True,35,1.8010387327693925e-15,0.029288744110810845,45.0
12,0.67,4.0,0.0,0.0,0.0,353,181,172,9,172,9,172,9,True,9,1.7057806118109594e-15,0.020442533547532844,0.0
12,0.67,4.0,0.0,0.0,0.08726646259971647,361,181,180,1,180,1,178,5,True,5,2.0767818730693436e-15,0.01924070306588714,5.0
12,0.67,4.0,0.0,0.0,0.17453292519943295,357,177,180,3,177,3,177,3,True,3,1.3763112109223179e-15,0.017642994827475354,10.0
12,0.67,4.0,0.0,0.0,0.2617993877991494,363,179,184,5,179,5,178,7,True,7,1.3919749243290928e-15,0.017707566872004005,15.0
