a,aspect_ratio,n,center_x,center_y,theta,N_sites,N_A,N_B,imbalance_bound,max_matching,structural_nullity,exact_rank_T,exact_nullity,rank_agrees_across_primes,numerical_nullity,largest_counted_abs_E,next_level_abs_E,predicted_2floor_a_plus_1,law_holds,n_columns_spanned
6.0,1.0,1.0,0.0,0.0,0.0,85,49,36,13,36,13,36,13,True,13,2.7820019667637102e-15,0.19806226419516187,13,True,13
8.0,1.0,1.0,0.0,0.0,0.0,145,81,64,17,64,17,64,17,True,17,1.2523426140739109e-15,0.12061475842818262,17,True,17
10.0,1.0,1.0,0.0,0.0,0.0,221,121,100,21,100,21,100,21,True,21,2.431546675445782e-15,0.08101405277100582,21,True,21
12.0,1.0,1.0,0.0,0.0,0.0,313,169,144,25,144,25,144,25,True,25,2.9409255584228807e-15,0.05811636514789658,25,True,25
14.0,1.0,1.0,0.0,0.0,0.0,421,225,196,29,196,29,196,29,True,29,3.0133441218689324e-15,0.04370479853238823,29,True,29
16.0,1.0,1.0,0.0,0.0,0.0,545,289,256,33,256,33,256,33,True,33,1.71526321800553e-15,0.0340538006321965,33,True,33
18.0,1.0,1.0,0.0,0.0,0.0,685,361,324,37,324,37,324,37,True,37,2.5264324564727756e-15,0.027277393194555175,37,True,37
20.0,1.0,1.0,0.0,0.0,0.0,841,441,400,41,400,41,400,41,True,41,2.9136250575413455e-15,0.022338347549742316,41,True,41
8.5,1.0,1.0,0.0,0.0,0.0,145,81,64,17,64,17,64,17,True,17,1.2523426140739109e-15,0.12061475842818262,17,True,17
10.3,1.0,1.0,0.0,0.0,0.0,221,121,100,21,100,21,100,21,True,21,2.431546675445782e-15,0.08101405277100582,21,True,21
12.5,1.0,1.0,0.0,0.0,0.0,313,169,144,25,144,25,144,25,True,25,2.9409255584228807e-15,0.05811636514789658,25,True,25
12.7,1.0,1.0,0.0,0.0,0.0,313,169,144,25,144,25,144,25,True,25,2.9409255584228807e-15,0.05811636514789658,25,True,25
16.5,1.0,1.0,0.0,0.0,0.0,545,289,256,33,256,33,256,33,True,33,1.71526321800553e-15,0.0340538006321965,33,True,33
18.25,1.0,1.0,0.0,0.0,0.0,685,361,324,37,324,37,324,37,True,37,2.5264324564727756e-15,0.027277393194555175,37,True,37
6.0,1.0,1.2,0.0,0.0,0.0,85,49,36,13,36,13,36,13,True,13,2.7820019667637102e-15,0.19806226419516187,13,True,13
8.0,1.0,1.2,0.0,0.0,0.0,145,81,64,17,64,17,64,17,True,17,1.2523426140739109e-15,0.12061475842818262,17,True,17
10.0,1.0,1.2,0.0,0.0,0.0,237,121,116,5,116,5,108,21,True,21,1.210617720337001e-15,0.13827328138664235,21,True,21
